index,ZINC,ECBD,docking score,smiles
35,nan,EOS100314,-5.214,CC(C)NC(=O)[C@H]1CC[C@@H](n2c(NC(=O)c3ccc(F)cc3)nc3ccc(CN4CCC(C(C)(C)O)CC4)cc32)CC1
36,ZINC000043170519,EOS101230,-5.201,CCn1cc(-c2ccnc3[nH]c(-c4cccc(CN(C)C)c4)cc23)c(-c2ccc(NC(=O)N(C)C)cc2)n1
37,ZINC000072139192,EOS2395,-5.199,Cc1nc(N2CCN(C(=O)Nc3ccc(Cl)cc3)CC2)cc(-n2cccn2)n1
38,ZINC000004077976,EOS434,-5.19,Cc1c(NC(=O)c2cc(-c3ccc4c(c3)OCO4)on2)c(=O)n(-c2ccccc2)n1C
39,ZINC000068202099,EOS101358,-5.186,Cc1c(C(=O)Nc2ccc(N3C[C@H](C)O[C@H](C)C3)nc2)cccc1-c1ccc(OC(F)(F)F)cc1
40,ZINC000003925087,EOS100030,-5.182,CN(c1ccc(NC(=O)Nc2ccc(OC(F)(F)F)cc2)cc1)c1ccnc(Nc2cccc(S(N)(=O)=O)c2)n1
41,ZINC000006716957,nan,-5.157,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1
42,nan,EOS100700,-5.157,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1.Cl.O
43,ZINC000013985427,EOS100472,-5.107,COc1cccc(CNC(=O)c2nc3scc(COCc4ccc(C(=O)O)cc4)c3c(=O)[nH]2)c1
44,ZINC000032606290,EOS374,-5.073,O=C(Nc1ccc(F)cc1)c1cnc2ccc(F)cc2c1O
45,ZINC000000009295,EOS101072,-5.022,O=C(O)c1ccc2c3c1cccc3c(=O)n1c3ccccc3nc21
46,nan,EOS100099,-5.005,Cl.O=C(CN1C(=O)C2(CCCC2)NC[C@H]1c1cc(F)cc(F)c1)Nc1ccc2c(c1)C[C@@]1(C2)C(=O)Nc2ncccc21
