index,Title,docking score,glide gscore,eos,pubchem,zinc,smiles,formula
28,ZINC000064033452,-5.854,-5.854,,,,Cc1ccc(NC(=O)C2(c3ccc4c(c3)OC(F)(F)O4)CC2)nc1-c1cccc(C(=O)O)c1,
29,EOS101275,-5.726,-5.726,EOS101275,CID24857323,ZINC000058631343,Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1cn(C)c(=O)c(Nc2ccc(C(=O)N3CCOCC3)cc2)n1,C34H37N5O4
30,EOS289,-5.726,-5.726,EOS289,CID28381153,ZINC000019819362,O=C(CNC(=O)c1ccccc1)Nc1ccc2c(c1)N(C(=O)c1cccnc1)CC2,C23H20N4O3
31,EOS2055,-5.622,-5.624,EOS2055,CID2981399,ZINC000012846028,Cc1c(NC(=O)c2cnn3cc(Br)cnc23)c(=O)n(-c2ccccc2)n1C,C18H15BrN6O2
32,EOS100046,-5.602,-6.886,EOS100046,CID135565981,ZINC000059277233,O=C1NNc2nc(CN3Cc4ccccc4C3)nc3cccc1c23,C18H15N5O
33,EOS2303,-5.442,-5.442,EOS2303,CID17715452,ZINC000032497096,CC(=O)Nc1cccc(NC(=O)c2cn(C)c3ccccc3c2=O)c1,C19H17N3O3
34,EOS100491,-5.432,-5.461,EOS100491,CID11478363,ZINC000058541155,Cc1ccc(Nc2ncc3c(n2)N(C)C(=O)N(c2cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc2C)C3)cn1,C28H24F3N7O2
35,EOS100854,-5.397,-5.413,EOS100854,CID46209401,ZINC000068208189,N#Cc1c(Oc2ccc(F)c(NC(=O)Cc3cccc(C(F)(F)F)c3)c2)ccc2nc(NC(=O)C3CC3)sc12,C27H18F4N4O3S
36,EOS1097,-5.331,-5.331,EOS1097,CID42873297,ZINC000035932981,COc1ccccc1N1CCN(C(=O)c2cnn3c(-c4ccc5c(c4)OCO5)ccnc23)CC1,C25H23N5O4
37,EOS1971,-5.299,-5.299,EOS1971,CID2971609,ZINC000009971427,COc1ccc(NC(=O)c2ccccc2NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,C23H22N6O5
38,EOS100483,-5.266,-5.365,EOS100483,CID57523919,ZINC000103250300,COc1ncc2cc(C(=O)Nc3cc(C(=O)NCc4cccc(Cl)c4)ccc3Cl)c(O)nc2n1,C23H17Cl2N5O4
39,ZINC000094566093,-5.252,-6.247,,,,COc1cc2nc(N3CCN(C(=O)[C@H]4COc5ccccc5O4)CC3)nc(N)c2cc1OC,
40,EOS100314,-5.214,-5.223,EOS100314,,,CC(C)NC(=O)[C@H]1CC[C@@H](n2c(NC(=O)c3ccc(F)cc3)nc3ccc(CN4CCC(C(C)(C)O)CC4)cc32)CC1,C33H44FN5O3
41,EOS101230,-5.201,-5.248,EOS101230,CID46885626,ZINC000043170519,CCn1cc(-c2ccnc3[nH]c(-c4cccc(CN(C)C)c4)cc23)c(-c2ccc(NC(=O)N(C)C)cc2)n1,C30H33N7O
42,EOS2395,-5.199,-5.234,EOS2395,CID56919479,ZINC000072139192,Cc1nc(N2CCN(C(=O)Nc3ccc(Cl)cc3)CC2)cc(-n2cccn2)n1,C19H20ClN7O
43,EOS434,-5.19,-5.191,EOS434,CID3242216,ZINC000004077976,Cc1c(NC(=O)c2cc(-c3ccc4c(c3)OCO4)on2)c(=O)n(-c2ccccc2)n1C,C22H18N4O5
44,ZINC000068202099,-5.186,-5.186,,,,Cc1c(C(=O)Nc2ccc(N3C[C@H](C)O[C@H](C)C3)nc2)cccc1-c1ccc(OC(F)(F)F)cc1,
45,EOS100030,-5.182,-5.191,EOS100030,CID5329829,ZINC000003925087,CN(c1ccc(NC(=O)Nc2ccc(OC(F)(F)F)cc2)cc1)c1ccnc(Nc2cccc(S(N)(=O)=O)c2)n1,C25H22F3N7O4S
46,EOS100700,-5.157,-5.308,EOS100700,CID16757572,,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1.Cl.O,C28H25ClF3N7O2
47,ZINC000006716957,-5.157,-5.308,,,,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,
48,EOS100472,-5.107,-5.107,EOS100472,CID11525848,ZINC000013985427,COc1cccc(CNC(=O)c2nc3scc(COCc4ccc(C(=O)O)cc4)c3c(=O)[nH]2)c1,C24H21N3O6S
49,EOS374,-5.073,-5.083,EOS374,CID39849776,ZINC000032606290,O=C(Nc1ccc(F)cc1)c1cnc2ccc(F)cc2c1O,C16H10F2N2O2
50,EOS101072,-5.022,-5.039,EOS101072,CID3467590,ZINC000000009295,O=C(O)c1ccc2c3c1cccc3c(=O)n1c3ccccc3nc21,C19H10N2O3
51,EOS100099,-5.005,-5.173,EOS100099,CID49867927,,Cl.O=C(CN1C(=O)C2(CCCC2)NC[C@H]1c1cc(F)cc(F)c1)Nc1ccc2c(c1)C[C@@]1(C2)C(=O)Nc2ncccc21,C31H30ClF2N5O3
52,EOS101046,-4.994,-5.039,EOS101046,CID25182616,ZINC000043202844,CNC(=O)c1c(F)cccc1Nc1nc(Nc2cc3c(cc2OC)CCN3C(=O)CN(C)C)nc2[nH]ccc12,C27H29FN8O3
53,EOS1159,-4.986,-4.994,EOS1159,CID46393172,ZINC000033169685,Cn1c(=O)c(N2CCC(NC(=O)Nc3ccc4c(c3)OCO4)CC2)nc2ccccc21,C22H23N5O4
54,EOS100509,-4.974,-5.297,EOS100509,CID71552369,,CN1CCN(C(=O)c2ccc(-n3nc(-c4ccc(C(=O)O)cc4)cc3-c3cc(C(C)(C)C)cc(C(C)(C)C)c3)cc2)CC1,C36H42N4O3
55,EOS100289,-4.973,-4.987,EOS100289,CID71727668,,NC(=O)c1nc(-c2c(F)cccc2Cl)oc1Nc1ccc(C(=O)N2CCOCC2)cc1,C21H18ClFN4O4
56,EOS101188,-4.956,-5.01,EOS101188,CID9953769,ZINC000013527116,Cc1ccc2c(c1)C1(CCN(CCc3nc(-c4ccccc4)oc3C)CC1)OC(=O)N2,C25H27N3O3
57,EOS1107,-4.95,-4.961,EOS1107,CID53114180,ZINC000065035047,Cc1cc(F)cc2c(=O)c3c([nH]c12)CCN(CC(=O)Nc1ccc2c(c1)OCO2)C3,C22H20FN3O4
58,EOS100245,-4.909,-6.624,EOS100245,CID5281600,ZINC000003984030,O=c1cc(-c2ccc(O)c(-c3c(O)cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)c2)oc2cc(O)cc(O)c12,C30H18O10
59,EOS101296,-4.813,-4.915,EOS101296,CID11327430,ZINC000003938693,O=c1cc(N2CCOCC2)oc2c(-c3cccc4c3sc3ccccc34)cccc12,C25H19NO3S
60,EOS559,-4.812,-4.812,EOS559,CID16012793,ZINC000013369781,Cc1ccc(NC(=O)[C@H]2O[C@@H]3OC(C)(C)O[C@@H]3[C@H]3OC(C)(C)O[C@@H]23)cc1F,C19H24FNO6
61,EOS100280,-4.765,-4.91,EOS100280,CID53238217,ZINC000103253989,COc1cc(C(N)=O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,C31H31Cl2FN4O4
62,EOS100949,-4.749,-4.749,EOS100949,CID49766501,ZINC000058660574,O=C(N[C@@H](COc1ccc2[nH]c(=O)[nH]c2c1)c1ccccc1)c1cccn(Cc2ccc(F)c(F)c2)c1=O,C28H22F2N4O4
63,EOS101260,-4.74,-4.764,EOS101260,CID24866313,ZINC000096174209,O=C(Nc1ccc2[nH]nc(-c3ccncc3)c2c1)[C@@H]1CCN(CC(=O)N2CCN(c3ccc(-c4ncccn4)cc3)CC2)C1,C33H33N9O2
64,EOS100871,-4.626,-4.626,EOS100871,CID72199292,ZINC000096170445,CC(C)(C#N)c1ccc(N2C(=O)OCc3cnc4ccc(-c5cnc6ccccc6c5)cc4c32)cc1,C30H22N4O2
