,proteinID,ligandID,mean,median,max,min,var
55,7RDY-zinc,Mrv1718011081810562D,-13.547727272727274,-13.55,-12.7,-14.3,0.579297040169134
56,7RDY-zinc,Mrv0541-04191212132D-1704021535776,-13.543181818181818,-13.649999999999999,-12.6,-14.2,0.44251057082452366
57,7RDY-zinc,Mrv1909-05201914582D-1704021549449,-13.54090909090909,-13.5,-13.2,-13.9,0.11968287526427057
58,7RDY-no-extra,Mrv1909-12152018162D-1704021550249,-13.536363636363637,-13.55,-12.3,-14.8,1.4758562367864683
59,7RDY-zinc,Mrv1909-10112218212D,-13.5,-13.5,-13.2,-13.8,0.09209302325581405
60,7RDY-zinc,Mrv1652310211601272D-1704021547068,-13.497727272727273,-13.5,-12.9,-14.0,0.2583668076109935
61,7RDY-zinc,Mrv1909-06162017422D,-13.477272727272727,-13.5,-13.2,-13.8,0.06365750528541199
62,7RDY-no-extra,Lupeol,-13.4,-13.399999999999999,-13.2,-13.6,0.040930232558139754
63,7RDY-zinc,Mrv1909-09142016392D,-13.4,-13.399999999999999,-13.1,-13.7,0.09209302325581378
64,7RDY-zinc,Mrv0541-05041408582D,-13.397727272727273,-13.3,-12.8,-14.1,0.3611575052854107
65,7RDY-no-extra,Mrv0541-08301318242D,-13.393181818181818,-13.4,-13.2,-13.5,0.01227801268498933
66,7RDY-no-extra,Mrv1572004191602432D,-13.388636363636364,-13.4,-13.2,-13.6,0.03126321353065524
67,7RDY-no-extra,Mrv1909-01032022272D,-13.386363636363637,-13.4,-13.3,-13.4,0.0012050739957716497
68,7RDY-zinc,Mrv1909-12152018152D,-13.385185185185184,-13.5,-12.5,-14.8,0.3174643874643885
69,7RDY-zinc,Mrv1652310211600402D-1704021546905,-13.377272727272727,-13.45,-12.5,-14.2,0.593890063424947
70,7RDY-no-extra,Mrv1902-02041900022D,-13.35,-13.350000000000001,-12.3,-14.4,1.1281395348837195
71,7RDY-no-extra,Mrv1652306231722402D-1704021547864,-13.35,-13.35,-13.1,-13.6,0.063953488372093
72,7RDY-zinc,Mrv1909-10112218422D,-13.35,-13.350000000000001,-12.9,-13.8,0.2072093023255815
73,7RDY-no-extra,Mrv1909-12091921202D,-13.3,-13.3,-13.3,-13.3,0.0
74,7RDY-no-extra,Mrv1572004121614522D,-13.29090909090909,-13.35,-11.6,-14.7,2.038985200845663
75,7RDY-no-extra,Mrv1909-02092017092D,-13.279545454545454,-13.3,-13.0,-13.5,0.0509672304439747
76,7RDY-no-extra,Mrv1652306231722452D-1704021548255,-13.270454545454545,-13.3,-12.9,-13.6,0.11236257928118369
77,7RDY-zinc,Mrv1652310211604252D-1704021547515,-13.268181818181818,-13.3,-12.8,-13.8,0.221289640591966
78,7RDY-no-extra,Mrv1909-03042002442D,-13.265909090909092,-13.25,-12.2,-14.1,0.5404386892177587
79,7RDY-zinc,Mrv1718006121812052D,-13.254545454545456,-13.45,-12.5,-13.8,0.32765327695560337
80,7RDY-zinc,Mrv1652310211601282D,-13.25,-13.25,-13.0,-13.5,0.06395348837209283
81,7RDY-no-extra,Mrv0541-02231216202D-1704021538337,-13.25,-13.25,-12.9,-13.6,0.12255813953488322
82,7RDY-zinc,Mrv1909-01172022262D,-13.2,-13.2,-12.1,-14.1,0.7204651162790692
83,7RDY-no-extra,Mrv1909-10091920162D,-13.172727272727274,-12.95,-12.5,-14.0,0.4755179704016912
84,7RDY-zinc,Mrv1909-09132216432D-1704021550567,-13.140909090909092,-13.1,-13.0,-13.3,0.021078224101480386
85,7RDY-no-extra,Mrv1909-12152018052D-1704021550109,-13.122727272727273,-12.9,-11.7,-14.2,1.1236575052854127
86,7RDY-no-extra,Mrv1909-05201915082D-1704021549536,-13.104545454545455,-13.15,-12.8,-13.4,0.08974630021141651
87,7RDY-zinc,Mrv1652310211604462D,-13.102272727272727,-13.149999999999999,-12.6,-13.6,0.25371564482029585
88,7RDY-zinc,Mrv1652310211600112D-1704021546740,-13.1,-13.100000000000001,-12.9,-13.3,0.040930232558139726
89,7RDY-zinc,Mrv1909-03022014522D,-13.1,-13.100000000000001,-12.9,-13.3,0.040930232558139726
90,7RDY-zinc,Mrv1909-12152018132D-1704021550139,-13.090909090909092,-13.05,-12.3,-13.9,0.6408456659619439
91,7RDY-zinc,Mrv1652305011717592D,-13.061363636363637,-13.05,-12.9,-13.3,0.02754228329809775
92,7RDY-zinc,Mrv1909-12171921492D,-13.05909090909091,-13.100000000000001,-12.7,-13.4,0.06572938689217725
93,7RDY-no-extra,Mrv1909-02102018162D,-13.05,-13.05,-12.9,-13.2,0.023023255813953567
94,7RDY-no-extra,Mrv0541-04191212172D,-13.05,-13.05,-13.0,-13.1,0.0025581395348837337
95,7RDY-zinc,Mrv1572004111623132D,-13.036363636363637,-13.05,-12.5,-13.6,0.29073995771670164
96,7RDY-zinc,Mrv0541-05041402582D,-13.022727272727273,-13.0,-12.1,-14.0,0.8724947145877388
97,7RDY-zinc,Mrv1909-03102001362D,-13.006818181818181,-13.0,-12.6,-13.3,0.06623150105708211
98,7RDY-zinc,Mrv1652310211602132D-1704021547211,-13.0,-13.0,-13.0,-13.0,0.0
99,7RDY-no-extra,Mrv1909-12231902552D,-12.981818181818182,-13.05,-11.9,-13.4,0.21594080338266447
100,7RDY-no-extra,Mrv1909-08212014252D,-12.954545454545455,-12.95,-12.7,-13.3,0.06672304439746295
101,7RDY-no-extra,Mrv1909-01172019092D,-12.95,-12.95,-12.4,-13.5,0.3095348837209305
102,7RDY-no-extra,Mrv1652310201623012D-1704021546192,-12.95,-12.95,-12.7,-13.2,0.06395348837209283
103,7RDY-zinc,Mrv1652306231722482D,-12.95,-12.95,-12.4,-13.5,0.30953488372092963
104,7RDY-zinc,Mrv1909-07282220332D,-12.947727272727274,-12.95,-12.4,-13.4,0.2095295983086689
105,7RDY-no-extra,Mrv1652310171623502D-1704021545870,-12.919444444444444,-12.8,-12.8,-13.2,0.0233253968253966
106,7RDY-no-extra,Mrv0541-02231219102D,-12.915909090909093,-12.95,-10.9,-14.9,3.9585782241014793
107,7RDY-zinc,Mrv1652306231722442D-1704021548163,-12.890909090909092,-13.25,-11.5,-13.9,1.1334038054968307
108,7RDY-no-extra,Mrv1652310211602442D-1704021547279,-12.890909090909092,-12.850000000000001,-12.2,-13.5,0.36921775898520026
109,7RDY-no-extra,Mrv1718008191817332D,-12.886363636363637,-12.95,-12.0,-13.2,0.06585623678646947
110,7RDY-no-extra,Mrv1572004221603192D-1704021548029,-12.879545454545456,-13.0,-12.5,-13.6,0.08166490486257935
111,7RDY-no-extra,Mrv1652307071701022D,-12.872727272727273,-12.85,-12.1,-13.8,0.6131923890063419
112,7RDY-no-extra,Mrv1718009211810272D,-12.870454545454544,-13.05,-11.4,-13.9,0.9495718816067648
113,7RDY-no-extra,Mrv0541-05041401352D,-12.852272727272727,-12.85,-12.7,-13.1,0.02394820295983111
114,7RDY-zinc,E04,-12.85,-12.85,-12.6,-13.1,0.063953488372093
115,7RDY-zinc,Mrv1652310201623482D-1704021546611,-12.85,-12.85,-12.5,-13.2,0.12534883720930176
116,7RDY-no-extra,Mrv1652306131722012D-1704021542073,-12.85,-12.850000000000001,-12.8,-12.9,0.0025581395348836986
117,7RDY-no-extra,Mrv1718009221814542D,-12.836363636363636,-12.850000000000001,-12.7,-13.1,0.007484143763213538
118,7RDY-no-extra,Mrv1718005021817212D,-12.829545454545455,-13.05,-11.9,-13.7,0.781199788583508
119,7RDY-zinc,Mrv1909-05212014182D,-12.829545454545455,-12.850000000000001,-12.0,-13.4,0.2532928118393235
120,7RDY-no-extra,Mrv1909-05201914262D-1704021549159,-12.827272727272726,-13.25,-11.1,-14.1,1.7769133192388997
121,7RDY-zinc,Mrv1909-04232020262D,-12.811363636363637,-13.45,-11.8,-13.8,0.9461469344608845
122,7RDY-no-extra,Mrv1718001051815252D-1704021541813,-12.811363636363637,-12.9,-12.0,-13.6,0.5842864693446094
123,7RDY-no-extra,Mrv1652310211600172D,-12.811363636363637,-12.85,-12.5,-13.1,0.08614693446088716
124,7RDY-zinc,Mrv1572001261621122D,-12.802272727272726,-12.8,-12.0,-13.5,0.4927854122621549
125,7RDY-zinc,Mrv1909-03182218372D,-12.8,-12.8,-12.5,-13.1,0.09209302325581378
126,7RDY-no-extra,Mrv1572004221606122D,-12.797727272727274,-12.8,-12.7,-12.9,0.0006923890063425037
127,7RDY-no-extra,Mrv0541-04191212112D,-12.795454545454545,-12.8,-12.4,-13.1,0.09532769556025329
128,7RDY-no-extra,Mrv1909-09102114432D,-12.793181818181818,-13.2,-12.0,-13.6,0.2927431289640592
129,7RDY-zinc,Mrv1652305301723412D-1704021539226,-12.775,-12.8,-11.2,-14.3,2.120058139534883
130,7RDY-zinc,Mrv1909-12152020022D-1704021550328,-12.761363636363637,-12.75,-12.6,-13.0,0.027542283298097412
131,7RDY-zinc,Mrv1909-12181921482D,-12.759090909090908,-12.7,-12.6,-13.0,0.027124735729387114
132,7RDY-zinc,Mrv1909-05201915042D-1704021549506,-12.731818181818182,-12.85,-10.8,-13.1,0.2566384778012681
133,7RDY-zinc,Mrv1652310211600202D-1704021546784,-12.718181818181819,-12.75,-12.3,-13.2,0.15408033826638373
134,7RDY-zinc,Mrv1909-05201915002D-1704021549471,-12.711363636363636,-12.75,-11.2,-14.1,1.545681818181818
