ZINC000027428713, 10.0, 11.11, 12.5, 10.71, 12.5, 15.0, 18.75, 25.0, 37.5, 25.0
EOS100411, 7.5, 5.56, 6.25, 7.14, 8.33, 10.0, 6.25, 8.33, 12.5, 25.0
EOS2426, 15.0, 13.89, 15.62, 17.86, 20.83, 20.0, 18.75, 16.67, 25.0, 50.0
EOS2388, 17.5, 19.44, 21.88, 25.0, 25.0, 30.0, 25.0, 25.0, 37.5, 50.0
EOS100856, 5.0, 5.56, 6.25, 7.14, 8.33, 10.0, 12.5, 16.67, 25.0, 50.0
EOS1109, 17.5, 19.44, 18.75, 21.43, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0
EOS1323, 35.0, 36.11, 37.5, 42.86, 45.83, 45.0, 43.75, 50.0, 62.5, 75.0
EOS100854, 2.5, 2.78, 3.12, 3.57, 4.17, 5.0, 6.25, 8.33, 12.5, 25.0
EOS100491, 5.0, 5.56, 6.25, 7.14, 8.33, 5.0, 0.0, 0.0, 0.0, 0.0
ZINC000150588351, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
EOS698, 37.5, 41.67, 46.88, 50.0, 50.0, 55.0, 62.5, 58.33, 75.0, 75.0
EOS100046, 27.5, 30.56, 34.38, 39.29, 45.83, 50.0, 50.0, 41.67, 37.5, 25.0
EOS100435, 12.5, 13.89, 15.62, 17.86, 20.83, 25.0, 12.5, 8.33, 12.5, 0.0
EOS2055, 30.0, 30.56, 34.38, 39.29, 33.33, 40.0, 50.0, 50.0, 62.5, 75.0
ZINC000070466416, 2.5, 2.78, 3.12, 3.57, 4.17, 5.0, 6.25, 8.33, 0.0, 0.0
EOS101313, 5.0, 5.56, 6.25, 3.57, 4.17, 5.0, 6.25, 8.33, 0.0, 0.0
ZINC000150338819, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
EOS100949, 2.5, 2.78, 3.12, 3.57, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
EOS101050, 7.5, 5.56, 6.25, 3.57, 4.17, 5.0, 0.0, 0.0, 0.0, 0.0
ZINC000068202099_h, 7.5, 8.33, 9.38, 7.14, 8.33, 10.0, 12.5, 16.67, 12.5, 25.0
ZINC000006716957, 10.0, 11.11, 12.5, 14.29, 16.67, 20.0, 18.75, 25.0, 25.0, 25.0
EOS289, 12.5, 13.89, 12.5, 14.29, 16.67, 20.0, 18.75, 25.0, 25.0, 25.0
ZINC000094566093_h, 7.5, 8.33, 9.38, 10.71, 12.5, 15.0, 18.75, 25.0, 25.0, 25.0
EOS101260, 2.5, 2.78, 3.12, 3.57, 4.17, 5.0, 0.0, 0.0, 0.0, 0.0
EOS100280, 15.0, 16.67, 15.62, 14.29, 8.33, 10.0, 12.5, 8.33, 0.0, 0.0
EOS1122, 15.0, 13.89, 15.62, 17.86, 16.67, 20.0, 18.75, 16.67, 25.0, 25.0
EOS100913, 12.5, 5.56, 6.25, 7.14, 8.33, 5.0, 6.25, 8.33, 0.0, 0.0
EOS101205, 12.5, 13.89, 12.5, 14.29, 16.67, 20.0, 25.0, 25.0, 25.0, 25.0
EOS100030, 7.5, 8.33, 9.38, 10.71, 8.33, 5.0, 6.25, 0.0, 0.0, 0.0
EOS101230, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
EOS2443, 20.0, 19.44, 15.62, 17.86, 16.67, 20.0, 25.0, 16.67, 0.0, 0.0
EOS1971, 10.0, 11.11, 12.5, 14.29, 12.5, 10.0, 12.5, 8.33, 12.5, 0.0
ZINC000150338755_h, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
ZINC000001612996, 7.5, 8.33, 9.38, 10.71, 12.5, 15.0, 12.5, 16.67, 12.5, 25.0
EOS101245, 10.0, 8.33, 9.38, 10.71, 12.5, 10.0, 12.5, 8.33, 12.5, 0.0
ZINC000004175630_h, 2.5, 2.78, 3.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
EOS101072, 7.5, 5.56, 6.25, 7.14, 4.17, 5.0, 6.25, 0.0, 0.0, 0.0
EOS1159, 2.5, 2.78, 3.12, 3.57, 4.17, 5.0, 0.0, 0.0, 0.0, 0.0
ZINC000008101127, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
EOS100380, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
EOS100245, 5.0, 5.56, 3.12, 3.57, 4.17, 5.0, 6.25, 8.33, 12.5, 25.0
ZINC000004175630, 10.0, 8.33, 9.38, 10.71, 12.5, 5.0, 0.0, 0.0, 0.0, 0.0
EOS100645, 12.5, 11.11, 9.38, 10.71, 12.5, 10.0, 6.25, 0.0, 0.0, 0.0
ZINC000064033452, 2.5, 2.78, 3.12, 3.57, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
ZINC000058581064, 15.0, 16.67, 15.62, 14.29, 12.5, 15.0, 12.5, 16.67, 0.0, 0.0
EOS1084, 7.5, 8.33, 9.38, 7.14, 8.33, 10.0, 6.25, 8.33, 0.0, 0.0
EOS100934, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
EOS101028, 5.0, 5.56, 6.25, 7.14, 4.17, 5.0, 6.25, 0.0, 0.0, 0.0
EOS100548, 15.0, 13.89, 15.62, 17.86, 20.83, 20.0, 25.0, 33.33, 12.5, 25.0
EOS100926, 5.0, 5.56, 6.25, 7.14, 8.33, 10.0, 12.5, 16.67, 12.5, 25.0
EOS100700, 2.5, 2.78, 3.12, 3.57, 4.17, 0.0, 0.0, 0.0, 0.0, 0.0
EOS100509, 2.5, 2.78, 3.12, 3.57, 4.17, 5.0, 0.0, 0.0, 0.0, 0.0
EOS1107, 7.5, 5.56, 6.25, 7.14, 8.33, 10.0, 6.25, 8.33, 12.5, 25.0
EOS100222, 12.5, 11.11, 12.5, 14.29, 16.67, 15.0, 12.5, 16.67, 12.5, 25.0
EOS101269, 2.5, 2.78, 3.12, 3.57, 4.17, 5.0, 6.25, 8.33, 12.5, 0.0
ZINC000006745272, 7.5, 8.33, 6.25, 3.57, 4.17, 5.0, 6.25, 8.33, 12.5, 25.0
EOS101132, 2.5, 2.78, 3.12, 3.57, 4.17, 5.0, 6.25, 8.33, 12.5, 25.0
EOS101275, 10.0, 11.11, 6.25, 7.14, 8.33, 10.0, 12.5, 16.67, 12.5, 25.0
EOS2366, 15.0, 11.11, 9.38, 10.71, 12.5, 10.0, 12.5, 0.0, 0.0, 0.0
ZINC000006745272_h, 7.5, 8.33, 9.38, 10.71, 12.5, 15.0, 12.5, 8.33, 0.0, 0.0
EOS100636, 5.0, 5.56, 6.25, 7.14, 8.33, 10.0, 12.5, 16.67, 0.0, 0.0
EOS2387, 5.0, 5.56, 6.25, 3.57, 4.17, 5.0, 6.25, 0.0, 0.0, 0.0
ZINC000094566093, 2.5, 2.78, 3.12, 3.57, 4.17, 5.0, 6.25, 8.33, 0.0, 0.0
EOS1195, 12.5, 13.89, 15.62, 17.86, 20.83, 20.0, 25.0, 16.67, 0.0, 0.0
EOS101046, 22.5, 22.22, 25.0, 28.57, 25.0, 30.0, 31.25, 25.0, 12.5, 0.0
ZINC000008101127_h, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
EOS2291, 5.0, 5.56, 6.25, 7.14, 4.17, 5.0, 0.0, 0.0, 0.0, 0.0
EOS100499, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
ZINC000006716957_h, 5.0, 5.56, 6.25, 7.14, 8.33, 10.0, 6.25, 8.33, 0.0, 0.0
EOS100164, 2.5, 2.78, 3.12, 3.57, 4.17, 5.0, 6.25, 8.33, 12.5, 25.0
