EOS101013, 7
EOS434, 19
EOS101188, 9
ZINC000011679756_h, 7
EOS896, 10
ZINC000150588351_h, 0
ZINC000068202099, 8
EOS101102, 14
ZINC000150338819_h, 1
EOS759, 11
EOS101097, 7
EOS815, 2
EOS374, 9
EOS101296, 5
ZINC000150338755, 0
EOS844, 17
EOS100483, 3
EOS98645, 2
ZINC000064033452_h, 6
EOS100157, 5
EOS2395, 7
ZINC000011679756, 4
EOS100289, 11
EOS886, 3
ZINC000058581064_h, 12
EOS100897, 6
EOS100871, 3
EOS1714, 17
EOS101246, 3
ZINC000070466416_h, 1
EOS1097, 8
EOS2303, 3
EOS257, 16
ZINC000027428713_h, 5
EOS100286, 4
EOS101166, 5
EOS100649, 19
EOS100314, 0
EOS100099, 5
EOS100431, 8
ZINC000000002688, 10
EOS98590, 13
ZINC000019632618_h, 3
EOS716, 7
EOS858, 9
EOS100472, 4
ZINC000001612996_h, 2
EOS559, 22
ZINC000019632618, 5
ZINC000027428713, 4
EOS100411, 3
EOS2426, 6
EOS2388, 7
EOS100856, 2
EOS1109, 7
EOS1323, 14
EOS100854, 1
EOS100491, 2
ZINC000150588351, 0
EOS698, 15
EOS100046, 11
EOS100435, 5
EOS2055, 12
ZINC000070466416, 1
EOS101313, 2
ZINC000150338819, 0
EOS100949, 1
EOS101050, 3
ZINC000068202099_h, 3
ZINC000006716957, 4
EOS289, 5
ZINC000094566093_h, 3
EOS101260, 1
EOS100280, 6
EOS1122, 6
EOS100913, 5
EOS101205, 5
EOS100030, 3
EOS101230, 0
EOS2443, 8
EOS1971, 4
ZINC000150338755_h, 0
ZINC000001612996, 3
EOS101245, 4
ZINC000004175630_h, 1
EOS101072, 3
EOS1159, 1
ZINC000008101127, 0
EOS100380, 0
EOS100245, 2
ZINC000004175630, 4
EOS100645, 5
ZINC000064033452, 1
ZINC000058581064, 6
EOS1084, 3
EOS100934, 0
EOS101028, 2
EOS100548, 6
EOS100926, 2
EOS100700, 1
EOS100509, 1
EOS1107, 3
EOS100222, 5
EOS101269, 1
ZINC000006745272, 3
EOS101132, 1
EOS101275, 4
EOS2366, 6
ZINC000006745272_h, 3
EOS100636, 2
EOS2387, 2
ZINC000094566093, 1
EOS1195, 5
EOS101046, 9
ZINC000008101127_h, 0
EOS2291, 2
EOS100499, 0
ZINC000006716957_h, 2
EOS100164, 1
