proteinID,ligandID,runID,affinity,rmsdLB,rmsdUB
7RDY-zinc,639,0,-6.6,0.000,0.000
7RDY-zinc,639,1,-6.6,0.000,0.000
7RDY-zinc,639,2,-6.6,0.000,0.000
7RDY-zinc,639,3,-6.6,0.000,0.000
7RDY-zinc,639,4,-6.6,0.000,0.000
7RDY-zinc,639,5,-6.6,0.000,0.000
7RDY-zinc,639,6,-6.6,0.000,0.000
7RDY-zinc,639,7,-6.6,0.000,0.000
7RDY-zinc,639,8,-6.6,0.000,0.000
7RDY-zinc,639,9,-6.6,0.000,0.000
7RDY-zinc,639,10,-6.6,0.000,0.000
7RDY-zinc,595,0,-9.5,0.000,0.000
7RDY-zinc,595,1,-9.4,0.000,0.000
7RDY-zinc,595,2,-9.5,0.000,0.000
7RDY-zinc,595,3,-9.5,0.000,0.000
7RDY-zinc,595,4,-9.5,0.000,0.000
7RDY-zinc,595,5,-9.5,0.000,0.000
7RDY-zinc,595,6,-9.5,0.000,0.000
7RDY-zinc,595,7,-9.2,0.000,0.000
7RDY-zinc,595,8,-9.5,0.000,0.000
7RDY-zinc,595,9,-9.5,0.000,0.000
7RDY-zinc,595,10,-9.5,0.000,0.000
7RDY-zinc,578,0,-8.6,0.000,0.000
7RDY-zinc,578,1,-8.6,0.000,0.000
7RDY-zinc,578,2,-8.6,0.000,0.000
7RDY-zinc,578,3,-8.6,0.000,0.000
7RDY-zinc,578,4,-8.6,0.000,0.000
7RDY-zinc,578,5,-8.6,0.000,0.000
7RDY-zinc,578,6,-8.4,0.000,0.000
7RDY-zinc,578,7,-8.6,0.000,0.000
7RDY-zinc,578,8,-8.6,0.000,0.000
7RDY-zinc,578,9,-8.6,0.000,0.000
7RDY-zinc,578,10,-8.6,0.000,0.000
7RDY-zinc,606,0,-8.2,0.000,0.000
7RDY-zinc,606,1,-8.2,0.000,0.000
7RDY-zinc,606,2,-8.2,0.000,0.000
7RDY-zinc,606,3,-8.2,0.000,0.000
7RDY-zinc,606,4,-8.2,0.000,0.000
7RDY-zinc,606,5,-8.2,0.000,0.000
7RDY-zinc,606,6,-8.2,0.000,0.000
7RDY-zinc,606,7,-8.2,0.000,0.000
7RDY-zinc,606,8,-8.2,0.000,0.000
7RDY-zinc,606,9,-8.2,0.000,0.000
7RDY-zinc,606,10,-8.2,0.000,0.000
7RDY-no-extra,636,0,-7.7,0.000,0.000
7RDY-no-extra,636,1,-7.8,0.000,0.000
7RDY-no-extra,636,2,-7.8,0.000,0.000
7RDY-no-extra,636,3,-7.9,0.000,0.000
