SMILES,proteinID,ligandID,mean,median,max,min,var
CCOC1=CC=C(N2N=CC(C(=O)NCC3=CC(OC4=CC=CC(F)=C4)=CC=N3)=C2C)N=N1,7RDY-zinc,30,-8.396590909090909,-8.4,-7.1,-8.8,0.0934365203761756
N#CC1=CC=C(CC(=O)NC2=CC(NC(=O)C3=CC=NC4=C3NC=C4)=CC=C2)C=C1,7RDY-no-extra,551,-8.396590909090909,-8.3,-8.2,-8.7,0.0274595088819227
O=C(NC1=CC(C2=CC=NC=C2)=CNC1=O)C1=NC2=CC(F)=CC(F)=C2C=C1,7RDY-zinc,418,-8.396590909090909,-8.5,-6.7,-9.4,0.5334365203761766
O=C(CC1=COC(C2=CC=C(F)C=C2)=N1)NC1=NC=NN1C1=CC=C(F)C=C1F,7RDY-zinc,366,-8.387500000000001,-8.4,-8.0,-8.6,0.0436350574712643
CC1=CC2=CC(CNC(=O)C3=CC=C(NC(=O)C4=CC=CO4)C=C3)=CC=C2NC1=O,7RDY-zinc,649,-8.387500000000001,-8.2,-7.8,-9.4,0.3447844827586206
O=C(NC1=CC=CC(NC(=O)C2=CC3=CN=CC=C3C=C2F)=C1)C1=CNC(=O)C=C1,7RDY-zinc,296,-8.382954545454545,-8.5,-7.6,-8.9,0.2857980668756556
O=C(NC1=CC=C(C2=NOC(C(F)(F)F)=C2)C=C1)C1=CC2=CC=CN=C2NC1=O,7RDY-zinc,57,-8.370454545454546,-8.4,-7.2,-9.4,0.2021055381400208
O=C(NC1=CC=C2C=CN(CC3=CC=CC=C3F)C2=C1)C1=C(F)C(=O)NC(=O)N1,7RDY-zinc,573,-8.370454545454546,-8.4,-7.7,-8.8,0.071300940438871
O=C(NCC1=CC=C(C2=CC(F)=CC=C2)O1)C1=CC(=O)C2=C(C=CC=C2O)O1,7RDY-zinc,456,-8.365909090909092,-8.3,-7.6,-9.4,0.4461807732497388
O=C(CN1C=NC2=CC=C(F)C=C2C1=O)NC(C1=CC=CC(C(F)(F)F)=C1)C1=NN=CN1,7RDY-no-extra,955,-8.363636363636363,-8.25,-7.5,-9.2,0.4793521421107632
O=C(NC(CC1=CC=CC=C1)C(O)C1=CC=CC=C1)C1=CC=C2C=CN=C(O)C2=N1,7RDY-zinc,157,-8.363636363636363,-8.6,-7.2,-8.7,0.2152142110762817
O=C(NCC1=CC2=CC=CC=C2NC1=O)C1=CC=C(OC2=CC=C(F)C=C2)C=N1,7RDY-no-extra,8,-8.363636363636363,-8.5,-7.1,-9.2,0.4349843260188075
CC1=CN=C2C(C(=O)NC3=CC(NC(=O)C4=NC=CC=C4F)=CC=C3)=CC=CC2=N1,7RDY-zinc,631,-8.352272727272727,-8.3,-7.5,-9.1,0.1953970741901774
