LigandID,SMILES
Mrv0541-02231216492D-1704021539189,NC(=O)C[C@@H]1NC(=O)C2(CCCCC2)NC(=O)C[C@H](/C=C/C[C@H](CNC1=O)Cc1cccc2ccccc12)c1ccc(CP(=O)(O)O)cc1
Mrv1718005171816422D,C[C@@]1(CO)[C@H]([C@@H](C[C@]2([C@H]1[C@@H](C[C@@]1([C@@H]2CC=C2[C@]1(CC[C@@]1([C@H]2[C@H]([C@@H](CC1)C)C)C(=O)O)C)C)O)C)O)O
1199,O1c2c3[C@H]([N+](CCc3cc(OC)c2O)(C)C)Cc2cc(Oc3cc4[C@@H](N(CCc4cc3OC)C)Cc3ccc1cc3)c(O)cc2	1199
Mrv1652310211600032D,Cc1c[nH]c2c1c1c(cc2O)N(C[C@H]1CCl)C(=O)c1cc2cc(ccc2[nH]1)NC(=O)Nc1ccc2c(c1)cc([nH]2)C(=O)N1C[C@H](c2c1cc(c1c2c(c[nH]1)C)O)CCl
Mrv1909-05201914272D-1704021549171,Cn1nc2CSCc3nn(C)c(C)c3-c3c(Cl)ccc4c3n(C)c(C(=O)O)c4CCCOc3cc(SCc1c2)cc1c3cccc1
Mrv1572004031622122D,[C@@H]1([C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O[C@H]1[C@@H](O[C@@H]([C@H]([C@@H]1O)O)CO)O[C@@H]1C([C@H]2[C@@]([C@@H]3[C@]([C@]4([C@H]([C@@H](C3)O)[C@@H]([C@@](O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO[C@@H]3OC[C@@H]([C@@H]([C@H]3O)O)O)O)O)O)(CCC=C(C)C)C)CC4)C)(CC2)C)(CC1)C)(C)C
Mrv1909-07282218542D,O([C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)C(=O)[C@]1([C@@H]2[C@]([C@H]3[C@]4(C[C@](CC3)(O[C@H]3[C@H](O[C@@H]5O[C@@H]([C@H]([C@@H]([C@H]5O)O)O)CO)[C@H]([C@@H]([C@H](O3)CO)O)O)C(=C)C4)CC2)(CCC1)C)C
Mrv1909-01142022502D,O1c2c3c4c(c(O)c2C)c(=O)c(NC(=O)/C(=C\C=C\[C@@H]([C@H](O)[C@H]([C@@H](O)[C@H]([C@H](OC(=O)C)[C@@H]([C@@H](OC)/C=C/O[C@@]1(C3=O)C)C)C)C)C)/C)c1-c4nc2c(o1)cc(N1CCN(CC1)CC(C)C)cc2O
Mrv1572004101615042D,[C@@]12(O[C@H]([C@@H]([C@H](C1)O)C(=O)O)C[C@@H](O[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)C)O)N)O)/C=C/C=C/C=C/C=C/C[C@H](OC(=O)/C=C/[C@H]1O[C@@H]1C[C@@H](C2)O)C)O
Mrv1718003261822352D,O([C@H]1[C@@H]([C@H](O)[C@@H]([C@@H](O)[C@@H](C)/C=C/C=C(\C(=O)NC2=C(N3CCOCC3)C(=O)c3c4C(=O)[C@@](O/C=C/[C@H](OC)[C@H]1C)(Oc4c(c(O)c3C2=O)C)C)/C)C)C)C(=O)CC(=O)OCC1CCCN(C1)C
Mrv1572004221603202D,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]1[C@@H](C)O[C@H](C[C@@H]1O)O[C@@H]1[C@@H](C)O[C@H](C[C@@H]1O)O[C@H]1CC[C@@]2(C)[C@H](CC[C@@H]3[C@@H]2C[C@H]([C@]2(C)[C@H](CC[C@]32O)C2=CC(=O)OC2)O)C1)O)OC
Mrv0541-05031422282D,CC[C@@H]1/C=C(\C)/[C@H]([C@H](C)C[C@@H]([C@@H]2[C@H](C[C@@H](C)[C@@](C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(=C/[C@@H]3CC[C@H]([C@@H](C3)OC)Oc3ccc4c(ccn4C)c3)/C)[C@H](C)[C@H](CC1=O)O)(O)O2)OC)OC)O
Mrv1909-12101919052D,C1C[C@@H](C([C@H]2[C@]1([C@@H]1[C@@](CC2)([C@]2(C(=CC1)[C@H]1[C@@](CC2)(CC[C@H]([C@@H]1C)C)C(=O)O)C)C)C)(C)C)O
Mrv1909-02062023042D,[C@@]1(c2c(c3ccccc3[nH]2)CCN2C[C@H](C1)C[C@@](C2)(O)CC)(c1cc2[C@@]34[C@H]([C@](C(=O)N)(O)[C@@H]([C@]5([C@@H]3N(CC=C5)CC4)CC)O)N(c2cc1OC)C)C(=O)OC
Mrv1652310201622512D,CN1CCOCCN(S(=O)(=O)NC(=O)c2ccc3c(c2)n2c(-c4ccc(cc4C=C(C2)C1=O)OC)c3C1CCCCC1)C
Mrv1652310201623072D-1704021546258,C[C@]12C[C@@H](C3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@]2(C(C(F)(F)F)(F)F)O)c1ccc(cc1)S(=O)(=O)C
Mrv0541-04191212132D-1704021535776,C1C[C@@H](C[C@H]2CC[C@@H]3[C@H](CC[C@]4([C@@]3(CC[C@@H]4C3=CC(=O)OC3)O)C)[C@@]12C)O[C@@H]1O[C@H](C)[C@H]([C@H](C1)O)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@@H]([C@@H]([C@H](O1)C)O)OC(=O)C
Mrv1909-05201914582D-1704021549449,CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(c6ccc(cc6)C(=O)O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]12)NCCN1CCS(=O)(=O)CC1
Mrv1909-10112218212D,[C@@H]12C[C@@](C)(CC[C@]1(C)CC[C@]1(C)C3=CC=C4C(=C(O)C(=O)C=C4[C@]3(C)CC[C@@]21C)C)C(=O)OC
Mrv1652310211601272D-1704021547068,C[C@@]12CC[C@]3(CCC(C[C@H]3[C@H]1C(=O)C=C1[C@]2(CC[C@@H]2[C@@]1(C=C(C(=O)C2(C)C)C#N)C)C)(C)C)C(=O)O
Mrv1909-06162017422D,COc1cc2c3CCN[C@]4(CS[C@@H]5c6c(OC(=O)C)c(C)c7OCOc7c6[C@@H](N6[C@@H](O)[C@@H]7Cc8cc(C)c(OC)c(O)c8[C@@H](N7C)[C@H]56)COC4=O)c3[nH]c2cc1
Mrv1909-09142016392D,[C@@H]1(C[C@H]([C@]2(C(=CC[C@H]3[C@@H]4C[C@@H]5O[C@]6([C@H]([C@@H]5[C@@]4(C)CC[C@H]23)C)OC[C@@H](CC6)C)C1)C)O)O
Lupeol,[C@@]12([C@]3([C@@H]([C@@]4([C@H](C([C@H](CC4)O)(C)C)CC3)C)CC[C@@H]1[C@H]1[C@H](C(=C)C)CC[C@@]1(CC2)C)C)C	Lupeol
Mrv0541-05041408582D,CC1=C[C@]2([C@@H](CC[C@@H](C[C@](C)(C(=O)O)O)O2)O)O[C@@H](C1)[C@H](C)/C=C/[C@H]1CC[C@@]2(CC[C@@H]3[C@H]([C@@H](C(=C)[C@@H]([C@H](C[C@H](C)[C@@H]4[C@H](C)CC[C@]5(CCCCO5)O4)O)O3)O)O2)O1
Mrv0541-08301318242D,O1c2c3c(c(OC(=O)C)c(c2OC1)C)[C@@H]1[C@@H]2N([C@H]3COC(=O)[C@]3(c4cc(c(cc4CCN3)O)OC)CS1)[C@H]([C@H]1N([C@@H]2c2c(cc(c(c2O)OC)C)C1)C)O
Mrv1572004191602432D,c1ccc2c(c1)C1=N/C/2=N\C2=N/C(=N\c3c4ccccc4c([nH]3)/N=C\3/c4ccccc4C(=N3)N1)/c1ccccc21
Mrv1909-01032022272D,Clc1c2O[C@H]3[C@]4(O[C@@H]5OC([C@@H](N(C)C)[C@@H](O)[C@H]5O)(C)C)C(=CC=C4)c4c3ccc(c4)[C@@H](OC(=O)c3c4NC(=O)C(=C)Oc4cc(OC)c3)COC(=O)C[C@H]([NH3+])c(cc2O)c1
Mrv1909-12152018152D,CCc1c2Cn3c(-c2nc2ccc(OC(=O)N4CCC(CCn5ccc6cc(ccc56)n5c(=O)[nH]nc5c5cc(C(C)C)c(O)cc5O)CC4)cc12)cc1c(COC(=O)[C@]1(O)CC)c3=O
Mrv1652306231722402D-1704021547864,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]1C[C@@]([C@H]([C@@H](O1)C)O)(C)OC)C)O[C@H]1[C@@H]([C@H](C[C@H](O1)C)N(C)C)O)(C)O)(C)F)C)O)(C)O
Mrv1909-10112218422D,CN1CCC2(COc3cc4c(cc23)N(CC4)C(=O)c2ccc(cc2)c2c(C)cc(cc2)c2noc(C)n2)CC1
