proteinID,ligandID,mean,median,max,min,var
7RDY-zinc,308,-6.7272727272727275,-6.8,-6.5,-6.9,0.013657505285412314
7RDY-no-extra,678,-6.765909090909091,-6.75,-6.3,-7.6,0.10834566596194516
7RDY-no-extra,318,-6.804545454545454,-6.8,-6.6,-7.4,0.029746300211416447
7RDY-no-extra,414,-6.877272727272728,-6.9,-6.2,-7.4,0.2813319238900637
7RDY-zinc,607,-6.8977272727272725,-6.9,-6.1,-7.7,0.5188319238900634
7RDY-zinc,868,-6.911363636363637,-7.2,-6.3,-7.3,0.14428646934460881
7RDY-no-extra,439,-6.915909090909091,-6.949999999999999,-6.1,-7.4,0.08508985200845672
7RDY-zinc,629,-6.9340909090909095,-6.85,-6.1,-7.7,0.4083456659619454
7RDY-no-extra,197,-6.9363636363636365,-6.95,-6.3,-7.6,0.3484143763213529
7RDY-no-extra,821,-6.95,-6.95,-6.5,-7.4,0.20720930232558152
7RDY-zinc,465,-6.956818181818182,-7.1,-6.4,-7.5,0.20390591966173324
7RDY-no-extra,469,-6.970454545454545,-6.949999999999999,-6.1,-7.7,0.2774788583509515
7RDY-no-extra,725,-6.9818181818181815,-7.0,-6.3,-7.6,0.23966173361522172
7RDY-zinc,626,-7.009090909090909,-7.050000000000001,-6.5,-7.4,0.08456659619450303
7RDY-no-extra,933,-7.015909090909091,-7.15,-6.3,-7.5,0.2260200845665968
7RDY-no-extra,796,-7.015909090909091,-6.95,-6.7,-7.4,0.03485729386892181
7RDY-zinc,93,-7.0181818181818185,-7.0,-6.4,-7.3,0.0238477801268498
7RDY-zinc,498,-7.020454545454545,-7.0,-6.6,-7.2,0.03189746300211427
7RDY-no-extra,672,-7.0227272727272725,-7.1,-6.6,-7.6,0.10737843551797051
7RDY-no-extra,694,-7.029545454545455,-7.15,-6.5,-7.4,0.08957188160676531
7RDY-no-extra,455,-7.045454545454546,-7.0,-6.3,-7.8,0.551374207188161
7RDY-no-extra,242,-7.045454545454546,-7.0,-6.4,-7.4,0.03881606765327699
7RDY-no-extra,301,-7.054545454545454,-7.2,-6.2,-7.6,0.23928118393234582
7RDY-zinc,195,-7.054545454545454,-7.15,-6.6,-7.3,0.06253699788583499
7RDY-zinc,224,-7.054545454545456,-7.2,-6.6,-7.5,0.13323467230444003
7RDY-zinc,690,-7.056818181818182,-7.25,-6.0,-7.4,0.18483615221987326
