proteinID,ligandID,runID,affinity,rmsdLB,rmsdUB
7RDY-zinc,682,0,-7.8,0.000,0.000
7RDY-zinc,682,1,-7.7,0.000,0.000
7RDY-zinc,682,2,-8.3,0.000,0.000
7RDY-zinc,682,3,-7.6,0.000,0.000
7RDY-zinc,682,4,-7.6,0.000,0.000
7RDY-zinc,682,5,-7.7,0.000,0.000
7RDY-zinc,682,6,-7.9,0.000,0.000
7RDY-zinc,682,7,-7.7,0.000,0.000
7RDY-zinc,682,8,-7.7,0.000,0.000
7RDY-zinc,682,9,-8.3,0.000,0.000
7RDY-zinc,682,10,-7.8,0.000,0.000
7RDY-zinc,656,0,-7.3,0.000,0.000
7RDY-zinc,656,1,-6.9,0.000,0.000
7RDY-zinc,656,2,-7.4,0.000,0.000
7RDY-zinc,656,3,-7.1,0.000,0.000
7RDY-zinc,656,4,-7.4,0.000,0.000
7RDY-zinc,656,5,-7.4,0.000,0.000
7RDY-zinc,656,6,-7.4,0.000,0.000
7RDY-zinc,656,7,-7.4,0.000,0.000
7RDY-zinc,656,8,-7.4,0.000,0.000
7RDY-zinc,656,9,-7.2,0.000,0.000
7RDY-zinc,656,10,-7.3,0.000,0.000
7RDY-no-extra,654,0,-8.0,0.000,0.000
7RDY-no-extra,654,1,-8.0,0.000,0.000
7RDY-no-extra,654,2,-7.6,0.000,0.000
7RDY-no-extra,654,3,-7.9,0.000,0.000
7RDY-no-extra,654,4,-8.0,0.000,0.000
7RDY-no-extra,654,5,-7.9,0.000,0.000
7RDY-no-extra,654,6,-8.0,0.000,0.000
7RDY-no-extra,654,7,-7.6,0.000,0.000
7RDY-no-extra,654,8,-7.6,0.000,0.000
7RDY-no-extra,654,9,-7.6,0.000,0.000
7RDY-no-extra,654,10,-8.0,0.000,0.000
7RDY-no-extra,671,0,-7.5,0.000,0.000
7RDY-no-extra,671,1,-7.1,0.000,0.000
7RDY-no-extra,671,2,-7.6,0.000,0.000
7RDY-no-extra,671,3,-7.3,0.000,0.000
7RDY-no-extra,671,4,-7.6,0.000,0.000
7RDY-no-extra,671,5,-7.6,0.000,0.000
7RDY-no-extra,671,6,-7.7,0.000,0.000
7RDY-no-extra,671,7,-7.0,0.000,0.000
7RDY-no-extra,671,8,-7.6,0.000,0.000
7RDY-no-extra,671,9,-7.6,0.000,0.000
7RDY-no-extra,671,10,-7.5,0.000,0.000
7RDY-no-extra,663,0,-7.8,0.000,0.000
7RDY-no-extra,663,1,-7.7,0.000,0.000
7RDY-no-extra,663,2,-7.8,0.000,0.000
7RDY-no-extra,663,3,-7.8,0.000,0.000
7RDY-no-extra,663,4,-7.8,0.000,0.000
7RDY-no-extra,663,5,-7.8,0.000,0.000
