ID,SMILES
0,N#CC1=C(NC(=O)C2=CC(=O)C3=CC(F)=CC=C3O2)C=CN(C2=CC=CC=C2)C1=O
1,O=C(NC1=CC=C(C2=CNC(=O)N2)C=C1)C1=CC=C(C(=O)C2=CC(O)=CC=C2)C=C1
2,O=C(NC1=C(C(F)F)N(C2=CC=NC=C2)N=C1)C1=CN(C2=CC=C(F)C=C2)C(=O)C=C1
3,O=C(NC1=CC=CC(CC2=CC=CC=N2)=N1)C1=CN(C2=CC=C(F)C=C2)C(=O)C=C1
4,COC1=CC=C(C2=CC=NC=C2)C=C1C1=CC=C(C(=O)CC2=NNC(=O)C=C2)C=C1
5,COC1=C(C(=O)NC2=CC=C(NC(=O)C3=CC=CC=C3)N=C2)C=NC2=CC=CC=C12
6,O=C(OCC1=CC=CC=C1)C1=CC(NC(=O)C2=CC=C3C=CN=C(O)C3=N2)=CC=C1
7,O=C(CN1C=CC(=O)C2=CC=CC=C21)NCC1=CC(OC2=CC(F)=CC=C2)=CC=N1
8,O=C(NCC1=CC2=CC=CC=C2NC1=O)C1=CC=C(OC2=CC=C(F)C=C2)C=N1
9,COC1=CC=C(F)C=C1C1=CN=CC(CN2C=NC3=C(F)C(F)=CC=C3C2=O)=C1
10,N#CC1=CC(COC2=CC=C(NC(=O)C3=CC=CC4=C3C=NNC4=O)C=C2)=CC=C1
11,O=C(NC1=CC(CC2=CC=CC=C2)=CC=N1)C1=CC=C(C2=NNC(=O)C=C2)C=C1
12,CC1=NN(C2=CC=CC=C2)N=C1C(=O)N(CC(N)=O)CC1=CC=C(C2=CC=CC=C2)C=C1
13,O=C(NCC1=CC=C(NC(=O)C2=CC=CC=C2O)C=C1)C1=CN=C2C=CC=NC2=C1
14,CC1=CC(C(=O)NC2=CC=CN(C3=CC=CC=C3)C2=O)=NN1C1=CC=CC=C1F
15,O=C(NC1=CC=C2C(=O)NC(=O)NC2=N1)C1=CC(C2=C(F)C=CC=C2F)=CC=C1
16,CN1C(C(=O)NC2=C(CC3=CC=CC=C3)NN=C2)=CC=C1C(=O)C1=CC=CC=C1F
17,O=C(NCC1=CC=NN1CC1=CC=CC=C1)C1=CN(C2=CC=CC=C2F)C(=O)C=C1
18,O=C(NC1=CC=C(OCC2=CN=CC=N2)C=C1)C1=CC=CC(C2=NNC(=O)C=C2)=C1
19,COC1=CC=C(C(NC(=O)C2=CC=NN2C2=CC=CN=C2)C2=CC=C(F)C=C2)C=C1
20,O=C(NC1=CC=C(NC(=O)C2=CC=C3NC=CC3=C2F)C=N1)C1=CC(O)=CC=C1
21,NCC(NC(=O)C1=NN(C2=CC=CC=C2F)C=CC1=O)C1=CC=C2C=CC=CC2=C1
22,O=C(NC1=CC=C(C2=CC=NC=C2)N=C1)C1=CC=C(C(=O)C2=CNC=C2)C=C1
23,O=C(NCC1=CC=C(N2C=NC=N2)N=C1)NCC1=CC(OC2=CC=C(F)C(F)=C2)=CC=N1
24,N#CC1=C(NC(=O)C2=CN=CC(C3=COC=C3)=C2)C=CN(C2=CC=CC=C2)C1=O
25,O=C(NC(C(=O)CC1=CC=CC=C1)C1=CC=CC=C1)C1=CC=C2C(=O)NC=CC2=N1
26,O=C(NCC1=CN=C(C2=CC=CC=C2)C=N1)C1=CN=C2C(F)=CC=C(F)C2=C1
27,CN(CCOC1=CC=CC(C#N)=C1)C(=O)C1=CC=CC(COC2=CC=CC=C2C(N)=O)=C1
28,COC1=CC=C(NC(=O)C2=NN=C(C3=CC=CC=N3)N2)C=C1C(=O)C1=CC=CC=C1
29,O=C(NCC1=CC=C(C2=CC=NC=C2)N=C1)C1=CN=C2C(F)=CC=C(F)C2=C1
30,CCOC1=CC=C(N2N=CC(C(=O)NCC3=CC(OC4=CC=CC(F)=C4)=CC=N3)=C2C)N=N1
31,O=C(NC1=NC(C2=CC(F)=CC(F)=C2)=CC=N1)C1=CN=CC(N2C=CC=C2)=C1
32,CC1=NC2=CC(C(=O)NCC3=CC=C(C4=CC=CC=C4)C=C3F)=CC=C2C(=O)N1
33,O=C(NC1=CC=CC=C1C(=O)NCC1=CC=CC=C1)C1=CC=NC(C2=NNC=C2)=C1
