EOS,Conformation,Affinity,Smile
EOS174,7,-7.469,O=C(CC1NC(=O)N(c2cccc3ccccc23)C1=O)NCc1ccccn1
EOS175,6,-6.715,COc1ccc(N2C(=O)NC(CC(=O)N3CCC4(O)CCCCC4C3)C2=O)cc1
EOS176,2,-7.842,CC(C)S(=O)(=O)N1CCN(C(=O)CC2NC(=O)N(c3cccc4ccccc34)C2=O)CC1
EOS177,2,-6.44,CC(C)CNC(=O)c1ccc(N2CCCCS2(=O)=O)cc1Cl
EOS178,1,-5.915,COCCNC(=O)c1ccc(N2CCCCS2(=O)=O)cc1Cl
EOS179,5,-5.721,COCCCNC(=O)c1ccc(N2CCCCS2(=O)=O)cc1Cl
EOS180,2,-6.86,O=C(NCCN1CCOCC1)c1ccc(N2CCCCS2(=O)=O)cc1Cl
EOS181,15,-5.73,CN(C)CCCNC(=O)c1cc(N2CCCCS2(=O)=O)ccc1Cl
EOS182,13,-6.923,COc1ccc(N2C(=O)CCC2=O)cc1S(=O)(=O)N1CCCc2ccccc21
EOS183,14,-5.569,CC(C)C(=O)NCCc1csc(-c2cccnc2)n1
EOS244,9,-6.573,Cn1c(=O)c2ccccc2n(CC(=O)Nc2ccc(Cl)cc2)c1=O
EOS245,5,-6.167,O=C(c1ccc(Cl)c(N2CCCCS2(=O)=O)c1)N1CCOCC1
EOS246,1,-7.019,Nc1ccc(-c2coc3cc(O)ccc3c2=O)cc1
EOS247,1,-6.012,COc1cc2c(cc1OC)CC(=O)NC=C2
EOS248,12,-7.021,Cc1cc(=O)c(OCC(=O)N2CCN(C(c3ccccc3)c3ccccc3)CC2)co1
EOS249,5,-6.453,Cc1cc(=O)c(OCC(=O)Nc2ccc3cc[nH]c3c2)co1
EOS250,4,-6.534,Cc1cc(=O)c(OCC(=O)Nc2nc(-c3cccnc3)cs2)co1
EOS251,7,-5.851,COc1ccc(NC(=O)COc2coc(C)cc2=O)cn1
EOS252,17,-6.541,Cc1cc(=O)c(OCC(=O)Nc2cccc3c2ccn3C)co1
EOS253,2,-5.734,COCCNC(=O)c1cc2c(OC)ccc(OC)c2n1C
EOS254,1,-6.269,COc1ccc(-c2noc(CCCN)n2)cc1.Cl
EOS255,11,-7.058,COc1ccc(CCNC(=O)CN2C(=O)[C@@H]3CCCN3C(=O)c3ccccc32)cc1OC
EOS256,10,-6.853,O=C(CN1C(=O)[C@@H]2CCCN2C(=O)c2ccccc21)NCCc1ccccc1
EOS257,2,-7.433,Cn1ccnc1C(=O)c1cccc(NC(=O)[C@H](c2ccccc2)n2cnnn2)c1
EOS258,15,-6.715,COc1ccccc1-c1ccc(=O)n(CC(=O)NCc2ccccc2)n1
EOS259,1,-5.948,Cc1noc(C)c1CC(=O)NCC1CCCO1
EOS260,3,-8.132,Cc1cc(O)cc(=O)n1CCCC(=O)Nc1ccc2c(c1)C(=O)N1CCC[C@H]1C(=O)N2
EOS261,6,-7.342,Cc1noc(C)c1CNC(=O)C[C@@H]1NC(=O)c2ccccc2NC1=O
EOS262,1,-8.068,COc1ccc2c(C)c(CC(=O)Nc3ccc4c(c3)C(=O)N3CCC[C@H]3C(=O)N4)c(=O)oc2c1OC
EOS263,2,-8.519,O=C(CCc1ccc2c(c1)CCO2)Nc1ccc2c(c1)C(=O)N1CCC[C@H]1C(=O)N2
EOS264,10,-7.805,O=C(Nc1ccc2c(c1)C(=O)N1CCC[C@H]1C(=O)N2)c1n[nH]c2c1CCC2
EOS325,1,-6.516,COc1cc(NC(=O)c2cccc(N3CCCCS3(=O)=O)c2)cc(OC)c1OC
EOS326,11,-5.372,COCCNC(=O)c1ccc(Cl)c(N2CCCCS2(=O)=O)c1
EOS327,18,-6.401,NC(=O)C1CCN(C(=O)c2ccc(Cl)c(N3CCCCS3(=O)=O)c2)CC1
EOS328,13,-5.819,CN(C)C(CNC(=O)C(C)(C)C)c1ccc2c(c1)OCO2.Cl
EOS329,3,-7.725,CN(C)C(CNC(=O)c1ccccc1F)c1ccc2c(c1)OCO2.Cl
EOS330,5,-7.292,CN(C)C(CNC(=O)c1cccc(F)c1)c1ccc2c(c1)OCO2.Cl
EOS331,7,-6.323,CN(C)C(CNC(=O)c1ccccc1Br)c1ccc2c(c1)OCO2.Cl
EOS332,4,-6.806,COc1ccccc1C(=O)NCC(c1ccc2c(c1)OCO2)N(C)C.Cl
EOS333,2,-7.609,CN(C)C(CNC(=O)c1ccccc1Cl)c1ccc2c(c1)OCO2.Cl
EOS334,4,-7.482,CN(C)C(CNS(=O)(=O)c1ccc(N2C(=O)CCC2=O)cc1)c1ccc2c(c1)OCO2.Cl
EOS335,13,-7.401,Cl.O=C(Cc1ccc(F)cc1)NCC(c1ccc2c(c1)OCO2)N1CCCC1
EOS336,1,-7.455,Cl.O=C(CCc1ccccc1)NCC(c1ccc2c(c1)OCO2)N1CCCC1
EOS337,20,-6.414,CC(C)C(=O)NCC(c1ccc2c(c1)OCO2)N1CCOCC1.Cl
EOS338,16,-6.536,COc1ccc(S(=O)(=O)NCC(c2ccc3c(c2)OCO3)N2CCOCC2)cc1OC.Cl
EOS339,16,-6.722,COc1ccc(N2C(=O)CCC2=O)cc1S(=O)(=O)Nc1cccc(NC(C)=O)c1
EOS340,15,-5.766,COc1ccc(-c2c3c(=O)n(C)c(=O)n(C)c3cn2CCCN(C)C)cc1
EOS341,1,-7.985,COc1ccc(NC(=O)C2CC(=O)Nc3c(-c4ccccc4OC)cnn32)cc1
EOS342,6,-6.352,CC(C)NC(=O)CNC(=O)C1CC(=O)N(c2ccccc2)C1
EOS343,16,-6.197,CC(C)CCNC(=O)CNC(=O)C1CC(=O)N(c2ccccc2)C1
EOS344,8,-7.437,O=C(NCC(=O)N1CCN(c2ccccc2)CC1)C1CC(=O)N(c2ccccc2)C1
EOS345,1,-8.094,O=C(NCC(=O)N1CCN(c2ccc(F)cc2)CC1)C1CC(=O)N(c2ccccc2)C1
EOS346,11,-6.725,COc1ccc(Nc2nc(N3CCCC3)c3cnn(C)c3n2)cc1OC
EOS347,6,-6.151,COc1cc2c(cc1OC)-c1c(c(C(=O)NC(C)C)nn1C)C2
EOS349,1,-7.569,COc1cc2c(cc1OC)-c1c(c(C(=O)NCc3cccnc3)nn1C)C2
EOS367,1,-7.332,O=c1[nH]c(=O)n(Cc2ccccc2)c2nccc(-c3ccco3)c12
EOS1076,10,-6.947,Cc1ccc(-c2nc(C)c(C(=O)N3CCC(CC(=O)NCCN4CCOCC4)CC3)s2)cc1
EOS1077,2,-7.734,COc1ccc(NC(=O)N2CCN(c3cc(-c4ccc(OC)c(OC)c4)ncn3)CC2)c(OC)c1
EOS1078,4,-7.368,CN(C)C(=O)c1ccc2c(c1)nc(CN1CCN(C(=O)Nc3ccccc3Br)CC1)n2C
EOS1079,3,-6.784,CCOc1ccc(NC(=O)N(C)Cc2nc3cc(C(=O)N(C)C)ccc3n2CC)cc1
EOS1080,1,-7.942,Cc1ccc(-c2noc(C(=O)N3CCCCC3)n2)cc1S(=O)(=O)Nc1cccnc1
EOS1081,6,-7.123,Cc1ccc(S(=O)(=O)NC2CCN(C(=O)c3ccc4c(c3)OCO4)CC2)cc1
EOS1082,18,-5.865,CCCc1nn2c(c1-c1ccc(C)c(S(=O)(=O)NCCOC)c1)NC(=O)CCC2=O
EOS1083,8,-6.536,CC(=O)N1CC(C)(C)c2cc(S(=O)(=O)NC(C)Cc3ccco3)ccc21
EOS1084,1,-9.097,O=C(C1CCN(S(=O)(=O)c2ccc(-c3noc(-c4ccc5c(c4)OCO5)n3)cc2)CC1)N1CCCC1
EOS1085,1,-7.157,CN(C)S(=O)(=O)c1ccc(-c2noc(C(=O)NCCN3CCCCCC3)n2)cc1
EOS1086,15,-7.201,O=C1COc2ccc(S(=O)(=O)N3CCCCC3)cc2N1Cc1noc(C2CCC2)n1
EOS1087,4,-6.881,CCc1nc(CN2C(=O)COc3cc(S(=O)(=O)NC(C)C)c(C)cc32)no1
EOS1088,17,-6.348,CCC(=O)Nc1cc2c(cc1S(=O)(=O)c1ccccc1)n(C)c(=O)n2C
EOS1089,8,-6.696,COc1cc(Cl)ccc1C(=O)Nc1cc2c(cc1S(=O)(=O)C(C)C)n(C)c(=O)n2C
EOS1090,10,-6.386,CCCN1CCN(CCNC(=O)C2CCN(c3ncc(-c4ccccc4)cn3)CC2)CC1
EOS1091,5,-6.693,CC(C)NC(=O)C1CCCN(c2cc(=O)n(C)c(=O)n2C)C1
EOS1092,7,-7.242,Cn1c(N2CCN(C(=O)Cc3c[nH]c4ccccc34)CC2)cc(=O)n(C)c1=O
EOS1093,10,-6.586,CC(C)n1c(N2CCN(C(=O)c3ccc(C(C)(C)C)cc3)CC2)cc(=O)n(C(C)C)c1=O
EOS1094,1,-7.938,CC(=O)Nc1ccc2nc(N3CCC(C(=O)N4CCCC4)CC3)cc(C)c2c1
EOS1095,6,-6.581,CCCCNC(=O)c1cc2c(n(-c3ccc(F)cc3)c1=O)CCCC2=O
EOS1096,3,-6.981,COc1ccc(S(=O)(=O)Nc2cc(F)c3[nH]c(=O)ccc3c2)cc1
EOS1097,1,-8.526,COc1ccccc1N1CCN(C(=O)c2cnn3c(-c4ccc5c(c4)OCO5)ccnc23)CC1
EOS1098,9,-6.911,COc1ccc(NC(=O)Cn2nc3n(Cc4cccs4)c(=O)c4sccc4n3c2=O)c(OC)c1
EOS1149,7,-7.207,Cc1nc(OCC(=O)Nc2ccccc2C)c2ccccc2n1
EOS1150,3,-6.804,Cc1nc2scc(C)n2c(=O)c1NC(=O)c1ccc(F)cc1
EOS1151,5,-6.98,COc1ccc(CC(=O)NCC(=O)Nc2nc3ccccc3[nH]2)c(Cl)c1
EOS1152,4,-7.324,COc1ccccc1C(=O)N1CCc2c(c(-c3nnc(SC)n3C)nn2C)C1
EOS1153,9,-5.626,COCCNC(=O)CSc1nccnc1Sc1ccccc1C
EOS1154,1,-7.985,COc1ccc(OCC(=O)N2CCC(c3nc(-c4ccc(NC(C)=O)cc4)no3)CC2)cc1
EOS1155,7,-6.465,CCNC(=O)c1nc(Cn2c(=O)oc3ccc(Cl)cc32)no1
EOS1156,16,-6.419,COc1cccc(NS(=O)(=O)c2cc(-c3ccnn3C)cs2)c1
EOS1157,1,-8.374,O=C(C1CCN(c2ncnc3c2oc2ccccc23)CC1)N1CCCC1
EOS1158,2,-7.163,CCCn1c(=O)c(N2CCN(C(=O)COc3ccc(Cl)cc3)CC2)nc2ccccc21
EOS1159,1,-8.028,Cn1c(=O)c(N2CCC(NC(=O)Nc3ccc4c(c3)OCO4)CC2)nc2ccccc21
EOS1160,7,-7.155,CCC(C)NC(=O)NC1CCN(c2nc3cccnc3n(Cc3ccc(C)cc3)c2=O)CC1
EOS1161,3,-6.803,CCC(C)NC(=O)CSc1nnc2n(CCC(=O)NC(C)C)c(=O)c3ccccc3n12
EOS1162,7,-7.205,CCCNC(=O)N1CCCC1c1nc(-c2ccc(F)cc2F)no1
EOS1163,1,-7.183,CCOCCCNC(=O)c1nnc(-c2ccc(S(=O)(=O)N3CCC(C)CC3)cc2)o1
EOS1164,1,-7.531,COc1ccc(CNC(=O)c2nnc(-c3ccc(S(=O)(=O)N(C)C)cc3)o2)cc1
EOS1165,7,-6.332,Cc1ccc(-c2ccc(=O)n(Cc3noc(C(=O)NCCCOC(C)C)n3)n2)cc1
EOS1166,1,-7.318,COc1ccc(-n2nc3c4cc(C(=O)NC(C)C)ccc4[nH]cc-3c2=O)cc1
EOS1167,9,-7.668,COc1ccc(-c2noc(-c3ccc(=O)n(CC(=O)N(C)c4ccccc4)c3)n2)cc1
EOS1168,13,-6.901,CCc1ccccc1N(C)S(=O)(=O)c1ccc2onc(C(=O)N3CCOCC3)c2c1
EOS1169,7,-7.015,Cc1nc(Nc2ccc(F)cn2)sc1C(=O)N1CCN(c2ccccn2)CC1
EOS1170,1,-7.584,CN1C(=O)c2ccccc2Oc2ccc(C(=O)N3CCCCCC3)cc21
EOS1171,10,-6.828,CCN1C(=O)c2ccccc2Oc2ccc(C(=O)NCc3ccco3)cc21
EOS1172,19,-6.694,COc1ccc(NS(=O)(=O)c2cc(-c3c(C)noc3NC(C)=O)ccc2OC)c(OC)c1
EOS1173,3,-7.687,O=S(=O)(c1ccc2c(c1)-c1oncc1CO2)N1CCN(Cc2ccccc2)CC1
EOS1174,4,-8.487,Cc1nnc(-c2cccnc2N2CCN(S(=O)(=O)c3ccc(C)c(F)c3)CC2)o1
EOS1175,1,-7.48,CC(C)Cn1c(=O)c(-c2ccc(C(=O)NCCN3CCN(C)CC3)cc2)nc2ccccc21
