EOS,Affinity,Smile
EOS174,-8.023,O=C(CC1NC(=O)N(c2cccc3ccccc23)C1=O)NCc1ccccn1
EOS175,-7.545,COc1ccc(N2C(=O)NC(CC(=O)N3CCC4(O)CCCCC4C3)C2=O)cc1
EOS176,-7.872,CC(C)S(=O)(=O)N1CCN(C(=O)CC2NC(=O)N(c3cccc4ccccc34)C2=O)CC1
EOS177,-6.45,CC(C)CNC(=O)c1ccc(N2CCCCS2(=O)=O)cc1Cl
EOS178,-5.915,COCCNC(=O)c1ccc(N2CCCCS2(=O)=O)cc1Cl
EOS179,-5.907,COCCCNC(=O)c1ccc(N2CCCCS2(=O)=O)cc1Cl
EOS180,-6.895,O=C(NCCN1CCOCC1)c1ccc(N2CCCCS2(=O)=O)cc1Cl
EOS181,-6.411,CN(C)CCCNC(=O)c1cc(N2CCCCS2(=O)=O)ccc1Cl
EOS182,-8.238,COc1ccc(N2C(=O)CCC2=O)cc1S(=O)(=O)N1CCCc2ccccc21
EOS183,-6.175,CC(C)C(=O)NCCc1csc(-c2cccnc2)n1
EOS244,-7.562,Cn1c(=O)c2ccccc2n(CC(=O)Nc2ccc(Cl)cc2)c1=O
EOS245,-6.828,O=C(c1ccc(Cl)c(N2CCCCS2(=O)=O)c1)N1CCOCC1
EOS246,-7.019,Nc1ccc(-c2coc3cc(O)ccc3c2=O)cc1
EOS247,-6.012,COc1cc2c(cc1OC)CC(=O)NC=C2
EOS248,-7.624,Cc1cc(=O)c(OCC(=O)N2CCN(C(c3ccccc3)c3ccccc3)CC2)co1
EOS249,-6.654,Cc1cc(=O)c(OCC(=O)Nc2ccc3cc[nH]c3c2)co1
EOS250,-6.674,Cc1cc(=O)c(OCC(=O)Nc2nc(-c3cccnc3)cs2)co1
EOS251,-6.073,COc1ccc(NC(=O)COc2coc(C)cc2=O)cn1
EOS252,-6.916,Cc1cc(=O)c(OCC(=O)Nc2cccc3c2ccn3C)co1
EOS253,-5.877,COCCNC(=O)c1cc2c(OC)ccc(OC)c2n1C
EOS254,-6.269,COc1ccc(-c2noc(CCCN)n2)cc1.Cl
EOS255,-7.461,COc1ccc(CCNC(=O)CN2C(=O)[C@@H]3CCCN3C(=O)c3ccccc32)cc1OC
