EOS,Conformation,Affinity,Smile
EOS915,3,-6.612,CCCCNC(=O)CCc1c(C)n(C)c2cc(-c3cc(OC)c(OC)c(OC)c3)nn2c1=O
EOS1017,5,-6.342,CCOc1cccc2cc(C(=O)Nc3nccs3)c(=O)oc12
EOS1018,2,-5.287,CCOCCCNC(=O)CCCn1c(=O)[nH]c2cc(OCC)c(OCC)cc2c1=O
EOS1019,4,-7.042,O=C(CCCCn1c(=O)[nH]c2ccccc2c1=O)NC1CCCCCC1
EOS1020,2,-5.971,CCCC(=O)c1cc2cc(Cl)ccc2oc1=O
EOS1021,1,-7.556,Cc1ncc(CO)c2cc(C(N)=O)/c(=N/c3ccccc3)oc12
EOS1022,5,-6.607,CN1CCN(CCCNC(=O)c2ccc(NC3=NC4CS(=O)(=O)CC4S3)cc2)CC1
EOS1023,1,-6.774,COc1ccccc1N1C(=O)Nc2ccccc2S1(=O)=O
EOS1024,7,-6.255,CCN(CC)C(=O)CN1C(=O)N(c2ccc(C)c(F)c2)S(=O)(=O)c2ccccc21
EOS1025,3,-6.797,CCOc1ccc(NC(=O)CSC2=NS(=O)(=O)c3ccccc3N2CC)cc1
EOS1026,2,-7.203,O=S1(=O)N=C(NCc2ccc3c(c2)OCO3)Nc2ccccc21
EOS1027,8,-6.582,CCOCCCn1c(SCC(=O)NCC2CCCO2)nc2c(sc3ccccc32)c1=O
EOS1028,3,-7.053,CC(=O)NCCn1c(SCC(=O)NCc2ccco2)nc2ccccc2c1=O
EOS1029,9,-6.599,CCN(CC)C(=O)CSc1nc2cc3c(cc2c(=O)n1CCCC(=O)NCCc1ccc(OC)c(OC)c1)OCO3
EOS1030,1,-7.267,Cc1cccc(-n2ncc3c(N4CCCC4)ncnc32)c1
EOS1031,1,-6.68,COc1ccc(CCNc2ncnc3c2cnn3C)cc1OC
EOS1032,5,-6.598,Cc1ccc(Cl)cc1-n1ncc2c(NCCN3CCOCC3)ncnc21
EOS1033,3,-6.668,CCC(CC)C(=O)Nc1c2c(nn1-c1ccc(F)cc1)CS(=O)(=O)C2
EOS1034,1,-6.484,O=C1C2CCCCC2C(=O)N1c1ccc(F)cc1
EOS1035,1,-7.185,O=C1C2C3CCC(C3)C2C(=O)N1c1ccc(Cl)c(F)c1
