Column1;Column2
ZINC001667676410;CC1CCN([C@@H](C)CNC(=O)NC[C@]2(O)CCCC(C)(C)CC2)CC1
ZINC001667676411;CC1CCN([C@H](C)CNC(=O)NC[C@]2(O)CCCC(C)(C)CC2)CC1
ZINC001667676412;CC1CCN([C@H](C)CNC(=O)NC[C@@]2(O)CCCC(C)(C)CC2)CC1
ZINC001667676413;CCCCCCCNC(=O)NCc1ccccc1C(F)(F)F
ZINC001667676414;CS(=O)(=O)NC[C@H]1COCCN1C(=O)NC[C@H]1CCCN(Cc2ccccc2)C1
ZINC001667676415;CS(=O)(=O)NC[C@H]1COCCN1C(=O)NC[C@@H]1CCCN(Cc2ccccc2)C1
ZINC001667676416;CS(=O)(=O)NC[C@@H]1COCCN1C(=O)NC[C@@H]1CCCN(Cc2ccccc2)C1
ZINC001667676417;CS(=O)(=O)NC[C@@H]1COCCN1C(=O)NC[C@H]1CCCN(Cc2ccccc2)C1
ZINC001667676419;COC(=O)C1CC2(C1)C[C@H](NC(=O)NC[C@@H]1CCCN(Cc3ccccc3)C1)CCO2
ZINC001667676420;COC(=O)C1CC2(C1)C[C@H](NC(=O)NC[C@H]1CCCN(Cc3ccccc3)C1)CCO2
ZINC001667676421;COC(=O)C1CC2(C1)C[C@@H](NC(=O)NC[C@@H]1CCCN(Cc3ccccc3)C1)CCO2
ZINC001667676422;COC(=O)C1CC2(C1)C[C@@H](NC(=O)NC[C@H]1CCCN(Cc3ccccc3)C1)CCO2
ZINC001667676423;O=C(NCCCOc1cccc(F)c1)NC[C@@H]1CCCN(Cc2ccccc2)C1
ZINC001667676424;O=C(NCCCOc1cccc(F)c1)NC[C@H]1CCCN(Cc2ccccc2)C1
ZINC001667676425;Cc1ccnc(-c2noc(CC3CCN(C(=O)NC[C@H](C)N4CCC(C)CC4)CC3)n2)c1
ZINC001667676426;Cc1ccnc(-c2noc(CC3CCN(C(=O)NC[C@@H](C)N4CCC(C)CC4)CC3)n2)c1
ZINC001667676429;C[C@]1(c2cccc(F)c2)CCN(C(=O)NC[C@H]2CCCN(Cc3ccccc3)C2)C1
ZINC001667676430;C[C@]1(c2cccc(F)c2)CCN(C(=O)NC[C@@H]2CCCN(Cc3ccccc3)C2)C1
ZINC001667676431;C[C@@]1(c2cccc(F)c2)CCN(C(=O)NC[C@H]2CCCN(Cc3ccccc3)C2)C1
ZINC001667676432;C[C@@]1(c2cccc(F)c2)CCN(C(=O)NC[C@@H]2CCCN(Cc3ccccc3)C2)C1
ZINC001667676435;C[C@@H](NC(=O)NC[C@@H]1CCCN(Cc2ccccc2)C1)c1ccc2c(c1)CCO2
ZINC001667676436;C[C@@H](NC(=O)NC[C@H]1CCCN(Cc2ccccc2)C1)c1ccc2c(c1)CCO2
ZINC001667676437;O=C(NC[C@H]1CCCN(Cc2ccccc2)C1)NC[C@@]1(CO)COC[C@@H]2CCCN21
ZINC001667676438;O=C(NC[C@@H]1CCCN(Cc2ccccc2)C1)NC[C@@]1(CO)COC[C@@H]2CCCN21
ZINC001667676443;Cc1ccc(C2(NC(=O)NC[C@H]3CCCN(Cc4ccccc4)C3)CCC2)cc1
ZINC001667676444;Cc1ccc(C2(NC(=O)NC[C@@H]3CCCN(Cc4ccccc4)C3)CCC2)cc1
ZINC001667676447;CC1CCN(c2ccc(CNC(=O)NC[C@H]3CCCN(Cc4ccccc4)C3)cc2)CC1
ZINC001667676448;CC1CCN(c2ccc(CNC(=O)NC[C@@H]3CCCN(Cc4ccccc4)C3)cc2)CC1
ZINC001667676457;C=CCCC[C@H](NC(=O)NC[C@@H](C)N1CCC(C)CC1)c1ccccc1
ZINC001667676458;C=CCCC[C@H](NC(=O)NC[C@H](C)N1CCC(C)CC1)c1ccccc1
ZINC001485529986;Cc1nocc1CN1CC([C@H](C)NC(=O)[C@H](C)c2c(C)n[nH]c2C)C1
ZINC001485529987;C[C@H](NC(=O)c1ncoc1C1CC1)C1CN(CCCCCF)C1
ZINC001485529988;CC(C)CC(C)(C)C(=O)N[C@@H](C)C1CN(CC(=O)N(C)C(C)C)C1
ZINC001485529989;Cc1nocc1CN1CC([C@H](C)NC(=O)[C@@H](C)c2c(C)n[nH]c2C)C1
ZINC001485529990;CC(C)CC(C)(C)C(=O)N[C@H](C)C1CN(CC(=O)N(C)C(C)C)C1
ZINC001485529991;C[C@H](NC(=O)CCC1(C)CC1)C1CN(CC#Cc2ccc(F)cc2)C1
ZINC001485529993;C[C@@H](NC(=O)CCC1(C)CC1)C1CN(CC#Cc2ccc(F)cc2)C1
ZINC001485529994;CC[C@@H](F)CN1CC([C@@H](C)NC(=O)Cc2ccccc2NC(C)=O)C1
ZINC001485529995;CC(C)CCCN1CC([C@H](C)NC(=O)CCC2(C)CC2)C1
ZINC001485529996;CC[C@H](F)CN1CC([C@@H](C)NC(=O)Cc2ccccc2NC(C)=O)C1
ZINC001485529997;CC(C)CCCN1CC([C@@H](C)NC(=O)CCC2(C)CC2)C1
ZINC001485529998;CC[C@H](F)CN1CC([C@H](C)NC(=O)Cc2ccccc2NC(C)=O)C1
ZINC001485529999;CCOCCN1CC([C@@H](C)NC(=O)c2ccncc2C(F)(F)F)C1
ZINC001667676459;C=CCCC[C@@H](NC(=O)NC[C@H](C)N1CCC(C)CC1)c1ccccc1
ZINC001667676460;C=CCCC[C@@H](NC(=O)NC[C@@H](C)N1CCC(C)CC1)c1ccccc1
