ID, NRGDock Score
Z4984215627,-2963800.5
Z1161340579,-2947606.75
Z806833212,-2919553.5
Z2229436083,-2899327.25
Z1699756025,-2873018.5
Z1482427527,-2867168.5
Z1334416339,-2858631.25
Z1552487136,-2851574.5
Z4984217705,-2850444.0
Z1667835056,-2843837.5
Z1443004216,-2843809.75
Z1952793669,-2840303.75
Z1334416457,-2834104.5
PV-009553125022,-2830321.0
PV-007460487165,-2826179.75
Z1552722705,-2824138.25
PV-008730284351,-2820669.75
Z5428724293,-2820229.5
Z4984262206,-2819605.5
Z1766626759,-2812136.0
Z2032639533,-2809555.75
Z941848432,-2807522.25
Z1987105697,-2804259.5
Z1697205283,-2803571.25
Z4984246385,-2802674.25
Z4984250927,-2788257.0
Z4984217683,-2786047.75
Z1451760350,-2785311.75
PV-007940368994,-2776108.75
Z5278924268,-2775515.0
Z2027639748,-2773921.0
Z1161341342,-2771589.25
Z1963140388,-2770062.0
PV-007434484744,-2769960.5
Z1334415795,-2769781.25
PV-008892037139,-2769699.5
Z1266060503,-2769116.75
PV-009577801494,-2768552.0
Z806833474,-2766729.25
Z2111594362,-2765176.5
Z1962805704,-2764958.25
Z1986444164,-2764672.25
PV-008977602461,-2764587.75
PV-010032579858,-2762969.75
Z1728605218,-2762803.0
Z5278800655,-2761533.25
Z5278821207,-2761257.75
PV-009025347021,-2760643.25
Z2213474388,-2760061.0
Z6477767448,-2759540.5
Z1520135638,-2759462.0
Z1510332556,-2759323.25
Z1603659395,-2754402.0
Z1725790371,-2753755.0
Z2213878958,-2753714.25
Z1302859878,-2752889.5
PV-008929938971,-2752396.25
PV-007555371912,-2751299.5
PV-008346773187,-2749329.75
Z1635615776,-2748698.0
Z1038350806,-2747044.0
PV-007642895798,-2743472.75
Z1488292859,-2743129.0
PV-009281888883,-2743113.0
PV-007974767576,-2740879.5
Z4984243181,-2740833.25
PV-008714766355,-2738674.0
PV-009842746813,-2738467.5
PV-008730072317,-2738004.5
Z1766524533,-2737645.5
Z1334417060,-2737233.0
Z5278802596,-2737157.25
Z1065710442,-2737067.75
Z1784221042,-2735404.0
PV-007415696782,-2735020.5
Z4493385952,-2735016.5
Z1841309889,-2734390.25
PV-007578739093,-2732879.0
Z1423372699,-2732565.5
Z1784222128,-2732563.5
PV-010081326717,-2732361.25
PV-008808854739,-2732118.5
Z2115386373,-2730793.5
PV-008823488932,-2730669.25
Z1102250501,-2730277.5
PV-008785898278,-2730206.0
Z1927310852,-2730064.5
Z5278775832,-2729732.0
PV-007431212815,-2728792.25
PV-009404227081,-2727574.0
Z1585036282,-2726609.75
PV-010028456714,-2726546.25
Z1443004342,-2726469.25
Z647269330,-2725518.5
Z806834966,-2725345.5
Z1410465449,-2724907.5
PV-007305266855,-2724856.0
Z1534154002,-2724409.75
Z3824434905,-2724292.25
PV-008005866627,-2723999.5
Z5278865076,-2723814.0
PV-007660692684,-2723604.5
PV-008437978586,-2723525.75
Z1816854145,-2722641.25
Z5278890252,-2722449.5
Z1177717268,-2721944.75
PV-007944088036,-2721173.0
Z4984216753,-2720150.75
PV-007276260198,-2719908.0
Z1929573148,-2719807.75
Z1552673449,-2719502.25
Z1585060741,-2718634.0
PV-008517244608,-2717574.5
Z1382166692,-2717462.5
PV-007488769159,-2716491.75
PV-008732931267,-2716338.5
Z5278819286,-2716004.5
PV-009322202532,-2715190.75
Z806833498,-2713934.25
Z5278882978,-2713876.0
PV-008976999343,-2712756.0
Z1747763654,-2712576.0
PV-009899563110,-2712509.75
PV-009665143229,-2711778.0
Z1529274776,-2711556.5
Z851246464,-2711392.75
PV-008588444736,-2710489.5
PV-009644616600,-2710186.75
Z1266435467,-2710107.5
Z1770118071,-2710094.75
Z1324757501,-2709534.75
PV-007965084687,-2709507.5
Z7586499321,-2708301.75
PV-007740852475,-2708137.75
PV-009290514783,-2708033.0
Z7780063311,-2707932.0
PV-009807070374,-2707899.5
PV-007971966856,-2707474.25
PV-008056421939,-2707181.25
Z1633178450,-2706968.75
Z1697204945,-2705947.25
PV-009945877917,-2705521.5
PV-009426934281,-2704953.5
Z5278840245,-2704757.5
Z1335424480,-2703797.0
Z1302859797,-2703086.0
Z1585062055,-2702884.0
Z1534157068,-2702454.5
Z1667589082,-2702231.0
Z816874894,-2702212.25
Z2000176640,-2702197.75
PV-008708272325,-2701388.25
