ID, NRGDock Score
PV-007993972813,-2677563.75
Z5278840245,-2676496.75
PV-007391524939,-2676056.5
Z1729876042,-2675374.75
Z1549778474,-2675309.25
PV-007269210363,-2675290.5
Z1334417198,-2675203.5
Z1443005937,-2674764.25
PV-008609238722,-2674764.0
Z1784221042,-2674688.75
PV-008632489742,-2674563.5
Z1929582431,-2674052.75
PV-008913126811,-2673649.25
Z4493321649,-2673630.5
Z1177717268,-2672999.25
Z1603658450,-2672974.0
Z393105418,-2672811.75
Z1174677460,-2672708.25
PV-007276260198,-2672704.5
Z7624341255,-2672508.5
Z811247842,-2672275.75
Z1867447876,-2672008.75
Z1534157068,-2671890.0
Z1313188324,-2671857.5
Z7780063311,-2671725.5
PV-008777049855,-2671106.5
Z5278776686,-2671085.25
PV-007602155397,-2670989.5
Z806835110,-2670632.75
PV-007529311410,-2669866.5
Z1319526524,-2669608.25
PV-007221271348,-2669526.0
PV-009357506892,-2669345.0
Z1225197830,-2669203.0
Z5017225339,-2669086.25
PV-009290514783,-2668881.75
Z1175567662,-2668872.75
PV-009990457866,-2668774.25
Z1972080100,-2668494.75
PV-008814591700,-2668032.25
PV-009908844318,-2667703.25
Z1738874490,-2667620.75
Z1950526162,-2667260.5
Z2000176640,-2667107.5
PV-007071665658,-2666437.0
PV-008319800024,-2666372.75
Z851248870,-2666190.0
PV-008436304509,-2666072.25
Z7663070363,-2665931.5
Z5278915829,-2665658.25
PV-009634688915,-2665430.5
PV-007400629070,-2665220.5
PV-007403926305,-2665112.0
Z5278939972,-2664429.0
Z1566697547,-2663094.75
Z1529274776,-2663067.25
PV-008083518225,-2662836.0
PV-009095209225,-2662036.25
Z1314682623,-2661442.25
PV-009611316286,-2661363.0
Z7610329323,-2661120.5
PV-007907619988,-2661055.25
PV-004292261992,-2661004.5
Z1334416026,-2660753.25
Z1246203229,-2660373.25
Z4984243187,-2660342.5
Z7655795545,-2660257.25
Z1313274139,-2660169.75
PV-009470604806,-2660057.0
PV-006872913128,-2658791.5
PV-008874501304,-2658782.25
PV-006720561532,-2658708.25
PV-007788152273,-2658206.0
Z5278861538,-2658037.5
Z1487205666,-2657889.25
PV-009283795259,-2657663.0
PV-009852222911,-2657600.0
PV-005731835024,-2657200.5
Z7672538670,-2657166.0
PV-006594234222,-2656982.75
Z5016190981,-2656887.25
PV-009168626225,-2656798.0
PV-008674979022,-2656755.75
Z828412772,-2656425.0
Z2111594280,-2656393.75
PV-008020295000,-2656356.0
PV-007381445243,-2656338.75
Z2162366780,-2655938.75
PV-004661349770,-2655868.0
Z7662187155,-2655697.0
Z1335425444,-2655654.5
Z1554867588,-2655497.0
Z1071038430,-2655427.25
Z2229433650,-2655328.5
Z1335796383,-2655132.5
Z3824427441,-2655114.5
Z604006284,-2654887.25
PV-007487146127,-2654495.0
Z1161337194,-2654464.75
Z1334417159,-2654030.0
PV-009712383170,-2653832.25
Z7575723245,-2653774.0
Z7586496161,-2653468.5
PV-008481903220,-2653270.75
PV-008502060045,-2653180.75
Z4984252114,-2652992.75
Z7662505542,-2652892.5
Z1563349335,-2652883.75
Z1251086868,-2652511.75
Z805526924,-2652435.75
PV-007554881937,-2651864.0
PV-009457911893,-2651778.0
Z806833738,-2651756.5
PV-007521307599,-2651407.25
Z7670195084,-2651375.5
PV-008834576938,-2651364.25
PV-008851156817,-2651326.0
Z1952374938,-2651227.5
PV-007772660997,-2651223.75
Z1487205467,-2651144.0
Z811250846,-2650712.0
Z1334416595,-2650567.25
PV-009522021519,-2650528.5
PV-006774011770,-2650299.0
Z1585034102,-2650115.25
PV-009713832800,-2650095.25
PV-008641826874,-2649879.0
PV-007842603801,-2649769.5
Z1334416641,-2649468.5
PV-009826026978,-2649446.75
PV-007303988820,-2649303.25
PV-007950090693,-2648887.5
PV-009617078708,-2648656.75
Z1273656110,-2648602.0
Z1487202570,-2648376.5
Z5278777611,-2648373.75
PV-008492256245,-2647687.25
PV-009064092566,-2647665.0
Z1359895364,-2646950.5
Z2213470470,-2646584.0
Z1981784745,-2646323.25
Z4984216987,-2646259.25
PV-009781066435,-2646178.0
Z5278959677,-2645773.5
PV-009333100714,-2645604.0
PV-005211637034,-2645574.75
PV-009726736562,-2645024.5
PV-007282668726,-2645009.75
PV-008265573646,-2644959.75
Z7626100337,-2644839.0
PV-007481341970,-2644695.0
Z5278775756,-2644272.0
Z1318734244,-2643872.0
Z1335423040,-2643637.0
Z7580278118,-2643594.0
PV-009798445455,-2643539.5
Z7147354233,-2643535.5
Z1335922755,-2643273.75
Z1551187346,-2643080.0
Z7755455016,-2643015.25
Z4984219105,-2642962.75
Z806834104,-2642664.75
PV-006328961829,-2642624.25
PV-006309994332,-2642374.0
Z7740381225,-2642330.0
PV-005011208058,-2642217.0
Z7706041318,-2642198.0
Z1781662508,-2641903.0
PV-005094322293,-2641847.5
PV-004665992396,-2641686.25
PV-009588424088,-2641633.0
PV-009649710146,-2641366.0
Z1623160286,-2641121.5
Z1896018277,-2641046.75
PV-004183513580,-2640988.0
PV-008915146108,-2640942.5
PV-008655727161,-2640781.25
Z857988134,-2640687.5
PV-009155173407,-2640649.5
PV-009660431252,-2640642.0
Z1490443263,-2640191.25
Z1919855189,-2640099.25
Z1625673635,-2640093.5
Z1585032056,-2640091.25
Z1411384423,-2639928.5
Z4493271630,-2639903.5
PV-008902746285,-2639837.0
Z1335924998,-2639811.25
Z1585059812,-2639651.75
PV-008668138689,-2639595.0
PV-008099024258,-2639378.75
Z1335709998,-2639240.0
Z1302859789,-2639126.25
PV-008896286584,-2638968.5
Z806832808,-2638967.0
PV-007800150852,-2638909.5
Z1625520493,-2638749.25
PV-007145546278,-2638662.75
PV-006499709827,-2638306.0
Z4984249583,-2638240.0
Z1490441431,-2638221.5
Z2218886758,-2638148.5
PV-008012749735,-2638122.5
PV-008056923325,-2637922.5
Z1172698307,-2637801.25
Z930957994,-2637677.75
Z5016190940,-2637407.0
PV-006653925122,-2637293.0
PV-009906523822,-2636992.0
PV-008214645254,-2636925.75
PV-004483922933,-2636897.5
PV-008294398682,-2636827.25
Z1173341679,-2636798.75
PV-002136402071,-2636685.5
PV-006757493935,-2636373.5
Z4984238159,-2636348.75
Z851249244,-2636125.25
Z1784225646,-2636118.5
PV-010012630567,-2635964.0
PV-008602663853,-2635900.25
PV-004615108629,-2635864.75
PV-009445562280,-2635702.5
PV-005742999351,-2635384.0
Z1000341888,-2635366.5
Z3663532443,-2635311.75
PV-007465169464,-2635250.25
Z2067987267,-2635226.75
PV-005900709180,-2635167.25
Z1489528766,-2634922.75
PV-004244946814,-2634904.25
Z1898017609,-2634864.0
Z2018144974,-2634790.0
PV-008101604010,-2634255.25
Z5278863681,-2634142.5
Z2229435024,-2634007.5
Z1952374915,-2633985.75
Z7599920205,-2633856.75
Z5278815512,-2633763.75
PV-008105381271,-2633675.5
PV-007200974710,-2633491.5
Z1680406281,-2633457.5
Z1360492018,-2633160.75
Z1700168746,-2633095.5
Z1334416078,-2632926.25
Z7736713449,-2632915.0
PV-008687936906,-2632897.25
Z1161337077,-2632821.75
PV-004458992161,-2632686.5
PV-005253976359,-2632572.25
PV-006648809719,-2632564.0
Z806833616,-2632465.25
PV-005368248271,-2632410.75
PV-005283086604,-2632334.5
Z4493367384,-2632123.5
PV-007628438499,-2632054.75
PV-008435312049,-2631929.0
Z806836104,-2631921.5
Z1996697296,-2631805.5
PV-007246375801,-2631750.25
Z1921935568,-2631577.5
Z1334416176,-2631542.75
Z7578914880,-2631422.75
Z806834056,-2631115.5
PV-005209488830,-2631113.5
Z2229435643,-2630970.0
PV-006527286186,-2630813.75
Z5278778246,-2630770.0
PV-009345396417,-2630762.5
PV-009493464067,-2630615.75
Z806836326,-2630479.75
PV-008025266999,-2630345.0
PV-009807935714,-2630215.75
Z1335422610,-2629938.0
PV-008772129476,-2629781.25
Z1972080094,-2629775.5
Z1334417483,-2629710.0
PV-008113368669,-2629698.0
PV-008760224256,-2629612.5
Z1334417905,-2629560.0
Z806834262,-2629413.5
Z1658622706,-2629245.75
PV-009910998403,-2629195.25
PV-004877842150,-2629153.75
PV-009843441128,-2628869.5
Z1839573520,-2628656.5
Z1398204646,-2628423.25
Z7600122491,-2628273.75
PV-007292092184,-2628222.5
Z747781460,-2628212.0
Z1874370270,-2628146.5
PV-009729023476,-2628143.75
Z2195050870,-2627963.25
Z7580288270,-2627856.5
PV-009287029784,-2627771.75
Z1211644555,-2627735.0
PV-005010288113,-2627704.75
Z1174678898,-2627382.75
PV-009068879861,-2627381.0
Z1442211997,-2627346.25
PV-009887525193,-2627284.0
Z1177035896,-2627150.25
PV-008727245819,-2627051.0
PV-006885420874,-2626934.5
PV-008643096198,-2626922.25
PV-009621351835,-2626798.75
Z7578900166,-2626770.75
PV-007619379360,-2626621.0
Z1318776519,-2626483.5
PV-008260570788,-2626323.0
PV-007402902108,-2626299.0
PV-005244387424,-2626149.5
PV-009819372139,-2626096.5
PV-007701875989,-2625822.5
PV-007993511559,-2625777.0
PV-007643314301,-2625644.0
PV-004767019627,-2625641.75
PV-008066659855,-2625546.0
Z1482471781,-2625479.25
Z811251216,-2625433.0
Z7599911533,-2625371.5
Z1510009879,-2625342.5
PV-008287843364,-2625308.25
Z1103654156,-2625265.25
PV-007295731213,-2625029.5
PV-004196778251,-2624962.25
PV-004234493344,-2624889.0
Z1319440682,-2624729.75
PV-005420431166,-2624651.25
PV-007517740630,-2624619.75
PV-009590109508,-2624171.75
Z1929584479,-2624116.25
PV-007715289087,-2623685.25
PV-008055803015,-2623188.0
PV-009687421655,-2623029.5
Z1667837824,-2623024.25
PV-009744178077,-2622958.5
Z1841296797,-2622884.25
PV-008539285498,-2622816.75
PV-010001398539,-2622662.25
PV-010034278159,-2622474.75
PV-008554156867,-2622440.0
PV-008432629282,-2622404.0
PV-009674411842,-2622348.0
PV-009325903532,-2622294.0
Z1225027727,-2622252.75
PV-008303402591,-2622242.5
PV-005901796349,-2622125.75
PV-005195693241,-2621715.5
Z1585025438,-2621526.0
Z1921895110,-2621270.5
PV-009059740871,-2621108.5
PV-008434869366,-2621078.25
PV-009455636512,-2621042.25
PV-009438496563,-2620951.0
Z5010469758,-2620849.5
PV-008046102206,-2620633.75
PV-004451411244,-2620625.25
PV-007729654303,-2620597.5
PV-008251299677,-2620552.0
Z3716940917,-2620550.5
PV-008070788630,-2620537.75
PV-006155848739,-2620513.75
PV-007292076173,-2620314.5
PV-009780094720,-2620289.5
PV-008399044738,-2620231.75
PV-008741658525,-2620216.75
PV-006873450618,-2620089.5
PV-010066687009,-2619880.25
Z1700341826,-2619852.25
PV-006550804828,-2619785.0
PV-008321782489,-2619655.0
PV-009453616517,-2619602.5
PV-008853804780,-2619440.25
PV-009462420641,-2619403.0
PV-008739636946,-2619322.0
Z1595041244,-2619099.25
PV-007293496706,-2618941.5
PV-009432754195,-2618932.0
Z7740393718,-2618875.0
PV-008566137681,-2618725.0
PV-008199243516,-2618695.25
PV-008087990274,-2618671.75
Z2207745512,-2618659.5
PV-004551221005,-2618630.75
PV-008316081646,-2618617.25
PV-002511334554,-2618577.0
PV-008363184916,-2618572.25
Z1625429331,-2618570.25
PV-008819536456,-2618526.75
Z2113143720,-2618519.5
PV-006566554480,-2618475.25
PV-009505794133,-2618262.75
PV-008949870768,-2618173.75
Z7696546321,-2618105.75
PV-007504123046,-2617967.0
Z1534153795,-2617569.75
PV-009452776798,-2617374.5
PV-009848177759,-2617230.5
PV-007655234233,-2616884.75
PV-007748382040,-2616878.5
PV-004197748340,-2616871.5
PV-007277020835,-2616658.25
PV-004718382035,-2616525.0
PV-008848277574,-2616324.0
PV-007198342380,-2616321.0
PV-004961890675,-2616093.25
Z851240064,-2615858.25
Z1423373689,-2615843.25
Z5016190309,-2615784.75
PV-007769111489,-2615750.0
Z7599835436,-2615651.75
PV-008087415794,-2615633.75
PV-009841716007,-2615266.5
PV-008564637645,-2615227.0
PV-009457409565,-2615147.0
PV-008496601521,-2615060.25
PV-005867452671,-2614579.25
PV-008933202874,-2614450.25
PV-005228146608,-2614318.0
Z1850770518,-2614280.25
PV-005669452430,-2614261.75
Z7740390010,-2614225.5
Z1128378306,-2614114.5
PV-008352057751,-2614100.5
PV-007417364358,-2613877.75
PV-006734267743,-2613815.25
PV-008231194080,-2613735.25
Z7626052094,-2613729.75
PV-008770521446,-2613666.0
PV-007734205110,-2613627.75
PV-004662635852,-2613600.0
PV-008647894878,-2613532.5
Z7599850533,-2613429.5
PV-010022807223,-2613402.5
PV-006010299855,-2613229.5
PV-007622530643,-2613219.75
Z1700204990,-2613200.25
PV-007762971180,-2613198.25
PV-006268434220,-2613181.25
PV-002468165402,-2613168.25
PV-008405185800,-2613055.25
PV-006219684424,-2612792.5
Z1510121615,-2612753.75
Z2072232894,-2612722.25
Z1442203410,-2612665.0
PV-008391318067,-2612366.25
PV-006030138285,-2612303.5
PV-008513607654,-2611987.5
Z1411387757,-2611987.25
PV-006331643254,-2611870.75
PV-008365530873,-2611791.25
PV-009166970259,-2611718.0
PV-005308121562,-2611620.75
PV-006898632330,-2611571.25
Z5278959750,-2611530.5
PV-007611162158,-2611519.5
PV-007004528375,-2611511.5
PV-008398695825,-2611440.0
PV-008097123795,-2611394.25
PV-007389674650,-2611380.75
PV-005485712030,-2611363.0
Z1180219650,-2611310.5
Z1929582490,-2611309.5
Z2074003164,-2611232.0
Z1972473352,-2611126.75
PV-007083163583,-2611077.25
Z1390781885,-2610986.25
Z1534157595,-2610952.25
Z7694161779,-2610925.25
Z1654059512,-2610779.5
Z1410459698,-2610673.75
Z5278925759,-2610589.25
PV-005620408237,-2610435.25
PV-007504121620,-2610434.25
Z1168925822,-2610343.5
Z1161336926,-2610249.25
Z1984487345,-2610097.25
PV-008704546765,-2609862.25
Z7740397173,-2609839.75
PV-004179030588,-2609780.25
PV-009931697581,-2609772.25
PV-007902719859,-2609727.25
PV-009041786588,-2609690.25
PV-007078518779,-2609672.0
Z1155211008,-2609667.5
Z1092252566,-2609592.0
PV-004756966657,-2609573.5
PV-005419054482,-2609543.5
PV-009353822983,-2609510.25
PV-007648829646,-2609482.75
PV-008686440923,-2609326.5
PV-008879072596,-2609281.0
Z5278813101,-2609243.75
PV-007288071588,-2609222.5
Z1841344508,-2609197.25
Z2000172560,-2609196.25
PV-009359793622,-2609116.0
PV-002325629031,-2609106.5
