SMILES,proteinID,ligandID,mean,median,max,min,var
O=C(NC1=C(F)C(C2=CC=NC=C2)=CC=C1)C1=NC(C2=CC=CC=C2)=NO1,7RDY-no-extra,177,-9.18409090909091,-9.15,-8.5,-9.8,0.3557875264270618
O=C(CC1=NOC(C2=CC=CC(C3=NNC(=O)C=C3)=C2)=N1)NC1=CC=CC=C1F,7RDY-no-extra,967,-9.020454545454546,-9.05,-8.4,-9.3,0.0858509513742072
COC1=CC=C(NC(=O)C2=NN=C(C3=CC=CC=N3)N2)C=C1C(=O)C1=CC=CC=C1,7RDY-no-extra,28,-8.954545454545455,-9.05,-7.6,-9.8,0.5857928118393211
O=C(NC1=CC=C2C(=O)NC(=O)NC2=N1)C1=CC(C2=C(F)C=CC=C2F)=CC=C1,7RDY-no-extra,15,-8.931818181818182,-8.95,-7.7,-9.4,0.2384989429175482
CC1=CC(C(=O)OCC2=NC=C(C3=CC=CC(C4=CC=CC=C4)=C3)O2)=NNC1=O,7RDY-no-extra,481,-8.922727272727274,-9.05,-8.0,-9.5,0.2636575052854117
O=C(NCC1=NOC(C2=CC=CC=N2)=C1)C1=CC(C2=CC=CC=C2F)=CN=C1O,7RDY-no-extra,444,-8.911363636363637,-8.9,-8.1,-9.5,0.3521934460887955
COC1=CC=C(C2=CC=NC=C2)C=C1C1=CC=C(C(=O)CC2=NNC(=O)C=C2)C=C1,7RDY-zinc,4,-8.881818181818181,-9.15,-7.4,-9.2,0.228964059196617
CC1=C(C2=CC=CC=C2)C=C(C(=O)NCC2=NOC(C3=CC=C(F)C=C3)=N2)C(=O)N1,7RDY-zinc,132,-8.872727272727273,-8.899999999999999,-8.3,-9.4,0.1955179704016926
O=C(NC1=CC=CC(NC(=O)C2=CC3=CN=CC=C3C=C2F)=C1)C1=CNC(=O)C=C1,7RDY-zinc,296,-8.865909090909092,-8.9,-8.7,-8.9,0.0027642706131077
O=C(NCC1=CC(OC2=CC=C(F)C(F)=C2)=CC=N1)C1=CC(C2=CC=CC=N2)=NO1,7RDY-zinc,595,-8.854545454545455,-8.85,-7.9,-9.6,0.39369978858351
O=C(NCC1=NOC(COC2=CC=CC=C2F)=C1)C1=CN(C2=CC(F)=CC=C2)C(=O)C=C1,7RDY-zinc,391,-8.843181818181817,-8.8,-8.1,-9.1,0.0546035940803385
CC1=CC2=CC(CNC(=O)C3=CC=C(NC(=O)C4=CC=CO4)C=C3)=CC=C2NC1=O,7RDY-zinc,649,-8.831818181818182,-8.9,-8.2,-9.4,0.2705919661733624
O=C(O)C1=CC=CC(C2=CC=CC(CNC(=O)C3=NN(C4=CC=CC=C4)C=N3)=C2)=C1,7RDY-no-extra,532,-8.820454545454545,-8.85,-8.4,-9.1,0.0830602536997881
O=C(NC1=CN=C(C2=NC=CC=N2)N=C1)NC1=CC(C(O)C2=CC=CC=C2)=CC=C1,7RDY-no-extra,530,-8.811363636363636,-8.85,-8.2,-9.2,0.1280073995771666
O=C(NCC1=CC=C(NC(=O)C2=CC=CC=C2O)C=C1)C1=CN(C2=CC=CN=C2)N=N1,7RDY-no-extra,931,-8.811363636363636,-8.8,-7.8,-9.9,0.9926585623678662
O=C(NC1=CC=CC(NC(=O)C2=CC3=CN=CC=C3C=C2F)=C1)C1=CC(F)=NN1,7RDY-zinc,446,-8.811363636363636,-8.7,-8.4,-9.4,0.1382399577167023
O=C(CNC(=O)C1=C(O)C2=CC=CC=C2N=C1)NC1=CC=CC(C2=NOC(C(F)F)=N2)=C1,7RDY-no-extra,925,-8.806818181818182,-8.75,-8.6,-9.2,0.0490221987315007
NC(=O)C1=C(NC(=O)C2=CC(C3=C(F)C=C(F)C=C3F)=NO2)C2=CC=CC=C2O1,7RDY-no-extra,329,-8.784090909090908,-8.55,-8.4,-9.2,0.1004386892177594
O=C(NC1=CC(C2=CC=C(F)C=C2F)=CC=C1)C1=CC=C(N2N=NNC2=O)C=C1,7RDY-no-extra,199,-8.745454545454546,-8.8,-8.4,-9.0,0.0374207188160677
NC(=O)CN(CC1=CC=C(C2=CC=CC=C2)C=C1)C(=O)C1=CC=C(N2C=NN=N2)C=C1Cl,7RDY-no-extra,644,-8.715909090909092,-8.7,-7.6,-9.3,0.3260200845665962
O=C(CC1=CC=C2C=CN=CC2=C1)NC1=CC(NC(=O)C2=CC=CC(=O)N2)=CC=C1,7RDY-zinc,895,-8.711363636363636,-8.7,-7.8,-9.2,0.208007399577166
O=C(NC1=CC=CC=C1C(O)C1=CC=CC=N1)C1=NOC(C2=CC=C(F)C=N2)=C1,7RDY-no-extra,641,-8.706818181818182,-8.649999999999999,-8.6,-9.0,0.0178594080338266
COC1=CC=C(NC(=O)[C@@H](C)NC(=O)C2=CC=C(C3=CC=CC=C3C3=NNN=N3)C=C2)C=C1,7RDY-no-extra,211,-8.704545454545455,-8.75,-8.1,-9.3,0.2571881606765334
O=C1C=NC2=CC(S(=O)(=O)NC3=CC=C(F)C(C4=CC=CC=C4)=C3)=CC=C2N1,7RDY-zinc,885,-8.702272727272726,-8.7,-8.5,-8.9,0.0165063424947147
CC(C(=O)NC1=NN(C2=CC=CN=C2)N=C1)C1=CC=CC(C(=O)C2=CC=CC=C2)=C1,7RDY-zinc,943,-8.695454545454545,-8.7,-8.4,-8.8,0.0088160676532769
CC(=O)C1=CC=CC(OCC2=CC(C(=O)NCC3=NOC(C4=CC=C(F)C=C4)=N3)=NO2)=C1,7RDY-no-extra,149,-8.693181818181818,-8.7,-8.3,-8.9,0.0332082452431288
O=C(NC1=NC(C2=CC(F)=CC(F)=C2)=CC=N1)C1=CC=CC2=CC=C(O)N=C12,7RDY-no-extra,739,-8.686363636363636,-8.7,-7.2,-9.6,0.8621353065539118
O=C(NCC1=NOC(C2=CC=C(F)C=C2)=N1)C1=CNC2=C(C=C(F)C(F)=C2)C1=O,7RDY-zinc,346,-8.679545454545455,-8.9,-7.4,-9.7,0.9816649048625824
CC1=C(C(=O)NC2=CC=C(F)C(C3=CN(C4=CC(F)=CC=C4F)N=N3)=C2)ON=C1,7RDY-no-extra,585,-8.679545454545455,-8.7,-8.3,-8.9,0.0360835095137419
CNC(=O)C1=CC(OC2=CC(C)=CC=C2NC(=O)C2=NN=C3C=CC=CC3=C2N)=CC=N1,7RDY-no-extra,568,-8.645454545454546,-8.6,-8.5,-8.8,0.0220718816067655
