ZINC,ECBD,mode,affinity,rmsd l.b.,rmsd u.b.
ZINC000001493878,,1.0,-8.8,0.0,0.0
ZINC000145048061,EOS100326,1.0,-8.8,0.0,0.0
ZINC000072139179,EOS2362,1.0,-8.8,0.0,0.0
ZINC000002876112,EOS1995,1.0,-8.8,0.0,0.0
ZINC000004214704,EOS100419,1.0,-8.8,0.0,0.0
ZINC000144705377,EOS101251,1.0,-8.8,0.0,0.0
ZINC000065196730,EOS1257,1.0,-8.8,0.0,0.0
ZINC000096170450,EOS101285,1.0,-8.8,0.0,0.0
ZINC000669678933,EOS100558,1.0,-8.8,0.0,0.0
ZINC000231374665,EOS101163,1.0,-8.8,0.0,0.0
ZINC000004802534,EOS1968,1.0,-8.8,0.0,0.0
ZINC000001530886,,1.0,-8.8,0.0,0.0
ZINC000095921139,EOS100454,1.0,-8.8,0.0,0.0
ZINC000065134300,EOS1197,1.0,-8.8,0.0,0.0
ZINC000203686879,,1.0,-8.8,0.0,0.0
ZINC000095559390,EOS101307,1.0,-8.7,0.0,0.0
ZINC000169698697,EOS101174,1.0,-8.7,0.0,0.0
ZINC000019819298,EOS287,1.0,-8.7,0.0,0.0
ZINC000033173150,EOS1181,1.0,-8.7,0.0,0.0
ZINC000068243575,EOS100937,1.0,-8.7,0.0,0.0
,EOS143,1.0,-8.7,0.0,0.0
,EOS226,1.0,-8.7,0.0,0.0
ZINC000065362225,EOS2404,1.0,-8.7,0.0,0.0
ZINC000004097343,,1.0,-8.7,0.0,0.0
ZINC000009686086,EOS753,1.0,-8.7,0.0,0.0
,EOS100231,1.0,-8.7,0.0,0.0
,EOS1677,1.0,-8.7,0.0,0.0
,EOS100291,1.0,-8.7,0.0,0.0
ZINC000024044436,EOS101373,1.0,-8.7,0.0,0.0
ZINC000149984972,EOS100703,1.0,-8.7,0.0,0.0
ZINC000065130709,EOS1190,1.0,-8.7,0.0,0.0
ZINC000252286878,,1.0,-8.7,0.0,0.0
,EOS214,1.0,-8.7,0.0,0.0
,EOS100093,1.0,-8.7,0.0,0.0
ZINC000084727467,EOS100975,1.0,-8.7,0.0,0.0
ZINC000064889600,EOS1755,1.0,-8.7,0.0,0.0
ZINC000101901376,EOS989,1.0,-8.7,0.0,0.0
ZINC000043208325,EOS101134,1.0,-8.7,0.0,0.0
ZINC000015787098,EOS895,1.0,-8.7,0.0,0.0
ZINC000013831229,EOS100669,1.0,-8.7,0.0,0.0
ZINC000068244727,EOS100122,1.0,-8.7,0.0,0.0
ZINC000473136423,EOS100920,1.0,-8.7,0.0,0.0
,EOS100309,1.0,-8.7,0.0,0.0
ZINC000040899447,EOS101786,1.0,-8.7,0.0,0.0
ZINC000100285161,EOS101094,1.0,-8.7,0.0,0.0
ZINC000064889579,EOS1745,1.0,-8.7,0.0,0.0
ZINC000000084613,EOS100905,1.0,-8.7,0.0,0.0
ZINC000003814434,EOS98639,1.0,-8.6,0.0,0.0
,EOS100932,1.0,-8.6,0.0,0.0
ZINC000002109876,EOS100880,1.0,-8.6,0.0,0.0
ZINC000021884432,EOS1738,1.0,-8.6,0.0,0.0
ZINC000009724863,EOS475,1.0,-8.6,0.0,0.0
ZINC000009591980,EOS2353,1.0,-8.6,0.0,0.0
ZINC000003977777,EOS100795,1.0,-8.6,0.0,0.0
ZINC000003876186,,1.0,-8.6,0.0,0.0
ZINC000004097344,,1.0,-8.6,0.0,0.0
ZINC000040430143,EOS101367,1.0,-8.6,0.0,0.0
,EOS100109,1.0,-8.6,0.0,0.0
ZINC000098208332,EOS100652,1.0,-8.6,0.0,0.0
ZINC000001530788,,1.0,-8.6,0.0,0.0
ZINC000208774715,EOS101283,1.0,-8.6,0.0,0.0
ZINC000003932831,EOS101248,1.0,-8.6,0.0,0.0
,EOS1569,1.0,-8.6,0.0,0.0
ZINC000020136298,EOS2317,1.0,-8.6,0.0,0.0
ZINC000003820029,EOS101055,1.0,-8.6,0.0,0.0
ZINC000017179240,EOS1734,1.0,-8.6,0.0,0.0
ZINC000011681534,,1.0,-8.6,0.0,0.0
ZINC000065318907,EOS1080,1.0,-8.6,0.0,0.0
ZINC000250363839,EOS100254,1.0,-8.6,0.0,0.0
ZINC000006745792,EOS98638,1.0,-8.6,0.0,0.0
,EOS101052,1.0,-8.6,0.0,0.0
ZINC000015865372,EOS892,1.0,-8.6,0.0,0.0
ZINC000022940637,EOS100889,1.0,-8.6,0.0,0.0
ZINC000011859368,EOS2149,1.0,-8.6,0.0,0.0
ZINC000008815796,EOS606,1.0,-8.6,0.0,0.0
ZINC000003936873,EOS100613,1.0,-8.6,0.0,0.0
ZINC000175660737,EOS100167,1.0,-8.6,0.0,0.0
,EOS100228,1.0,-8.6,0.0,0.0
ZINC000043206033,EOS100587,1.0,-8.6,0.0,0.0
ZINC000003782818,EOS101078,1.0,-8.6,0.0,0.0
ZINC000009528604,EOS835,1.0,-8.6,0.0,0.0
ZINC000034139163,EOS100127,1.0,-8.6,0.0,0.0
ZINC000020858587,EOS504,1.0,-8.6,0.0,0.0
ZINC000049771282,EOS101208,1.0,-8.6,0.0,0.0
ZINC000096927633,EOS100194,1.0,-8.6,0.0,0.0
ZINC000003954314,EOS100510,1.0,-8.6,0.0,0.0
ZINC000018217711,EOS2242,1.0,-8.6,0.0,0.0
ZINC000003630249,EOS100233,1.0,-8.6,0.0,0.0
,EOS100079,1.0,-8.6,0.0,0.0
,EOS100381,1.0,-8.6,0.0,0.0
ZINC000008604259,EOS511,1.0,-8.6,0.0,0.0
ZINC000062260292,EOS100514,1.0,-8.5,0.0,0.0
ZINC000005439140,EOS318,1.0,-8.5,0.0,0.0
,EOS100191,1.0,-8.5,0.0,0.0
ZINC000020310850,EOS1004,1.0,-8.5,0.0,0.0
ZINC000021020625,EOS779,1.0,-8.5,0.0,0.0
ZINC000004098719,EOS100072,1.0,-8.5,0.0,0.0
ZINC000084605049,EOS100866,1.0,-8.5,0.0,0.0
ZINC000065250340,EOS1358,1.0,-8.5,0.0,0.0
,EOS100051,1.0,-8.5,0.0,0.0
ZINC000169289767,,1.0,-8.5,0.0,0.0
,EOS100063,1.0,-8.5,0.0,0.0
ZINC000043204002,EOS101202,1.0,-8.5,0.0,0.0
ZINC000096170459,EOS101148,1.0,-8.5,0.0,0.0
,EOS198,1.0,-8.5,0.0,0.0
ZINC000068153186,EOS100662,1.0,-8.5,0.0,0.0
ZINC000101725644,EOS1354,1.0,-8.5,0.0,0.0
,EOS101297,1.0,-8.5,0.0,0.0
,EOS936,1.0,-8.5,0.0,0.0
ZINC000222731806,,1.0,-8.5,0.0,0.0
ZINC000000115249,EOS2184,1.0,-8.5,0.0,0.0
ZINC000085654745,EOS717,1.0,-8.5,0.0,0.0
ZINC000064889585,EOS1748,1.0,-8.5,0.0,0.0
,EOS100035,1.0,-8.5,0.0,0.0
ZINC000001550477,,1.0,-8.5,0.0,0.0
ZINC000000815090,EOS2001,1.0,-8.5,0.0,0.0
ZINC000098208742,EOS101302,1.0,-8.5,0.0,0.0
