ZINC,ECBD,mode,affinity,rmsd l.b.,rmsd u.b.
,EOS1656,1.0,-8.1,0.0,0.0
,EOS208,1.0,-8.1,0.0,0.0
ZINC000040396872,EOS2439,1.0,-8.1,0.0,0.0
ZINC000057376471,EOS1137,1.0,-8.1,0.0,0.0
ZINC000049781343,EOS101270,1.0,-8.1,0.0,0.0
,EOS1851,1.0,-8.1,0.0,0.0
ZINC000068206930,EOS100526,1.0,-8.1,0.0,0.0
,EOS839,1.0,-8.1,0.0,0.0
ZINC000012168718,EOS223,1.0,-8.1,0.0,0.0
ZINC000045946328,EOS1693,1.0,-8.1,0.0,0.0
ZINC000096324929,EOS855,1.0,-8.1,0.0,0.0
ZINC000095576405,EOS100318,1.0,-8.1,0.0,0.0
ZINC000065362303,EOS2413,1.0,-8.1,0.0,0.0
ZINC000068198368,EOS101220,1.0,-8.1,0.0,0.0
ZINC000064966981,EOS869,1.0,-8.1,0.0,0.0
ZINC000019819407,EOS291,1.0,-8.1,0.0,0.0
,EOS100142,1.0,-8.1,0.0,0.0
ZINC000012004104,EOS1810,1.0,-8.1,0.0,0.0
,EOS205,1.0,-8.1,0.0,0.0
,EOS2226,1.0,-8.1,0.0,0.0
ZINC000019818821,EOS2323,1.0,-8.1,0.0,0.0
ZINC000063539231,EOS100834,1.0,-8.1,0.0,0.0
,EOS1310,1.0,-8.1,0.0,0.0
ZINC000009526598,EOS811,1.0,-8.1,0.0,0.0
,EOS2246,1.0,-8.1,0.0,0.0
ZINC000043200921,EOS100413,1.0,-8.1,0.0,0.0
ZINC000028957444,EOS100638,1.0,-8.1,0.0,0.0
ZINC000036377992,EOS101151,1.0,-8.1,0.0,0.0
ZINC000021155985,EOS808,1.0,-8.1,0.0,0.0
ZINC000028363953,EOS100477,1.0,-8.1,0.0,0.0
ZINC000005049171,EOS1887,1.0,-8.1,0.0,0.0
ZINC000016975705,EOS890,1.0,-8.1,0.0,0.0
ZINC000066066132,EOS100263,1.0,-8.1,0.0,0.0
,EOS1542,1.0,-8.1,0.0,0.0
ZINC000035481776,EOS1715,1.0,-8.1,0.0,0.0
ZINC000097151852,EOS1388,1.0,-8.1,0.0,0.0
ZINC000096177816,EOS100848,1.0,-8.1,0.0,0.0
,EOS100040,1.0,-8.1,0.0,0.0
ZINC000016890767,EOS1732,1.0,-8.1,0.0,0.0
,EOS100930,1.0,-8.1,0.0,0.0
ZINC000015962722,EOS964,1.0,-8.1,0.0,0.0
ZINC000000005936,EOS100751,1.0,-8.1,0.0,0.0
ZINC000035481777,EOS1717,1.0,-8.1,0.0,0.0
ZINC000009503677,EOS1052,1.0,-8.1,0.0,0.0
ZINC000013513592,EOS101109,1.0,-8.1,0.0,0.0
ZINC000011906090,EOS697,1.0,-8.1,0.0,0.0
ZINC000064889596,EOS1751,1.0,-8.1,0.0,0.0
ZINC000094566092,,1.0,-8.1,0.0,0.0
ZINC000065361916,EOS2376,1.0,-8.1,0.0,0.0
ZINC000065311610,EOS1345,1.0,-8.1,0.0,0.0
ZINC000035404738,EOS1740,1.0,-8.1,0.0,0.0
ZINC000045946600,EOS1694,1.0,-8.1,0.0,0.0
ZINC000068203217,EOS101305,1.0,-8.1,0.0,0.0
ZINC000072315647,EOS100462,1.0,-8.1,0.0,0.0
ZINC000068249103,EOS100618,1.0,-8.1,0.0,0.0
ZINC000064788086,EOS652,1.0,-8.1,0.0,0.0
ZINC000097956664,EOS100772,1.0,-8.1,0.0,0.0
ZINC000016652544,EOS2183,1.0,-8.1,0.0,0.0
ZINC000013831791,EOS98642,1.0,-8.1,0.0,0.0
ZINC000051133897,,1.0,-8.1,0.0,0.0
ZINC000035801098,EOS100013,1.0,-8.1,0.0,0.0
ZINC000003830441,,1.0,-8.1,0.0,0.0
ZINC000033307557,EOS1210,1.0,-8.1,0.0,0.0
ZINC000009660504,EOS1731,1.0,-8.1,0.0,0.0
,EOS1657,1.0,-8.1,0.0,0.0
ZINC000003841590,EOS100855,1.0,-8.1,0.0,0.0
ZINC000000897089,,1.0,-8.1,0.0,0.0
ZINC000003816310,EOS100538,1.0,-8.1,0.0,0.0
,EOS100277,1.0,-8.1,0.0,0.0
ZINC000015767738,EOS760,1.0,-8.1,0.0,0.0
ZINC000002869049,EOS1904,1.0,-8.1,0.0,0.0
ZINC000000643138,,1.0,-8.1,0.0,0.0
ZINC000004213946,,1.0,-8.1,0.0,0.0
ZINC000003831151,,1.0,-8.1,0.0,0.0
ZINC000035775080,EOS1778,1.0,-8.1,0.0,0.0
ZINC000003989268,,1.0,-8.1,0.0,0.0
ZINC000034602275,EOS100702,1.0,-8.1,0.0,0.0
ZINC000097949367,EOS100212,1.0,-8.1,0.0,0.0
ZINC000057407777,EOS100255,1.0,-8.1,0.0,0.0
ZINC000017322922,EOS100644,1.0,-8.1,0.0,0.0
,EOS98598,1.0,-8.1,0.0,0.0
,EOS210,1.0,-8.1,0.0,0.0
ZINC000065197960,EOS1263,1.0,-8.1,0.0,0.0
ZINC000006746433,EOS488,1.0,-8.1,0.0,0.0
ZINC000218321954,EOS116,1.0,-8.1,0.0,0.0
ZINC000003925861,EOS101802,1.0,-8.1,0.0,0.0
ZINC000008584686,EOS1909,1.0,-8.0,0.0,0.0
ZINC000052509385,EOS101287,1.0,-8.0,0.0,0.0
,EOS1639,1.0,-8.0,0.0,0.0
ZINC000043207238,EOS101757,1.0,-8.0,0.0,0.0
ZINC000065060916,EOS1124,1.0,-8.0,0.0,0.0
ZINC000033277989,EOS1101,1.0,-8.0,0.0,0.0
ZINC000065197394,EOS1261,1.0,-8.0,0.0,0.0
ZINC000014952096,EOS100737,1.0,-8.0,0.0,0.0
,EOS100925,1.0,-8.0,0.0,0.0
ZINC000065197743,EOS1262,1.0,-8.0,0.0,0.0
ZINC000220641923,EOS100311,1.0,-8.0,0.0,0.0
ZINC000207101276,EOS100045,1.0,-8.0,0.0,0.0
ZINC000001129314,EOS2266,1.0,-8.0,0.0,0.0
ZINC000095670835,EOS100401,1.0,-8.0,0.0,0.0
ZINC000011904308,EOS684,1.0,-8.0,0.0,0.0
ZINC000072401593,EOS248,1.0,-8.0,0.0,0.0
ZINC000064889603,EOS1758,1.0,-8.0,0.0,0.0
ZINC000064889588,EOS1749,1.0,-8.0,0.0,0.0
,EOS1305,1.0,-8.0,0.0,0.0
ZINC000004749738,EOS1963,1.0,-8.0,0.0,0.0
,EOS100256,1.0,-8.0,0.0,0.0
ZINC000065196502,EOS1255,1.0,-8.0,0.0,0.0
ZINC000065251218,EOS1361,1.0,-8.0,0.0,0.0
,EOS1561,1.0,-8.0,0.0,0.0
ZINC000013688150,EOS2181,1.0,-8.0,0.0,0.0
ZINC000004839644,EOS2092,1.0,-8.0,0.0,0.0
ZINC000087493318,EOS100507,1.0,-8.0,0.0,0.0
ZINC000021703985,EOS1094,1.0,-8.0,0.0,0.0
ZINC000033309189,EOS1217,1.0,-8.0,0.0,0.0
ZINC000005439106,EOS324,1.0,-8.0,0.0,0.0
ZINC000040396852,EOS2444,1.0,-8.0,0.0,0.0
ZINC000000615865,EOS1882,1.0,-8.0,0.0,0.0
,EOS1634,1.0,-8.0,0.0,0.0
ZINC000012324534,EOS1800,1.0,-8.0,0.0,0.0
ZINC000215969064,EOS100705,1.0,-8.0,0.0,0.0
ZINC000115705166,EOS100016,1.0,-8.0,0.0,0.0
ZINC000116473771,,1.0,-8.0,0.0,0.0
ZINC000000643153,EOS101378,1.0,-8.0,0.0,0.0
ZINC000041470892,EOS100830,1.0,-8.0,0.0,0.0
ZINC000003944221,EOS101258,1.0,-8.0,0.0,0.0
ZINC000043467997,EOS100144,1.0,-8.0,0.0,0.0
,EOS1672,1.0,-8.0,0.0,0.0
ZINC000011677857,EOS101381,1.0,-8.0,0.0,0.0
ZINC000021156222,EOS832,1.0,-8.0,0.0,0.0
ZINC000027990463,EOS101685,1.0,-8.0,0.0,0.0
,EOS100049,1.0,-8.0,0.0,0.0
ZINC000063298074,EOS98633,1.0,-8.0,0.0,0.0
ZINC000003816287,EOS98623,1.0,-8.0,0.0,0.0
ZINC000028821265,EOS100928,1.0,-8.0,0.0,0.0
ZINC000031773123,EOS230,1.0,-8.0,0.0,0.0
,EOS101091,1.0,-8.0,0.0,0.0
,EOS100761,1.0,-8.0,0.0,0.0
ZINC000033359652,EOS2341,1.0,-8.0,0.0,0.0
,EOS217,1.0,-8.0,0.0,0.0
ZINC000019819405,EOS290,1.0,-8.0,0.0,0.0
ZINC000111460375,,1.0,-8.0,0.0,0.0
ZINC000100378061,,1.0,-8.0,0.0,0.0
ZINC000204073689,,1.0,-8.0,0.0,0.0
ZINC000100018854,,1.0,-8.0,0.0,0.0
,EOS1620,1.0,-8.0,0.0,0.0
ZINC000006753927,EOS461,1.0,-8.0,0.0,0.0
ZINC000000601305,,1.0,-8.0,0.0,0.0
ZINC000000000347,,1.0,-8.0,0.0,0.0
ZINC000006578083,EOS466,1.0,-8.0,0.0,0.0
,EOS101070,1.0,-8.0,0.0,0.0
ZINC000032996209,EOS1736,1.0,-8.0,0.0,0.0
ZINC000065362133,EOS2393,1.0,-8.0,0.0,0.0
ZINC000016975620,EOS929,1.0,-8.0,0.0,0.0
,EOS1532,1.0,-8.0,0.0,0.0
,EOS498,1.0,-8.0,0.0,0.0
ZINC000065131195,EOS1191,1.0,-8.0,0.0,0.0
ZINC000064889617,EOS1760,1.0,-8.0,0.0,0.0
,EOS1160,1.0,-8.0,0.0,0.0
ZINC000034642570,EOS101183,1.0,-8.0,0.0,0.0
ZINC000020603642,EOS818,1.0,-8.0,0.0,0.0
ZINC000096273105,EOS100969,1.0,-8.0,0.0,0.0
ZINC000100087000,EOS1021,1.0,-8.0,0.0,0.0
ZINC000252286877,,1.0,-8.0,0.0,0.0
ZINC000008736267,EOS1769,1.0,-8.0,0.0,0.0
ZINC000015779830,EOS807,1.0,-8.0,0.0,0.0
ZINC000003939511,EOS100376,1.0,-8.0,0.0,0.0
ZINC000033275747,EOS1078,1.0,-8.0,0.0,0.0
ZINC000033141609,EOS1146,1.0,-8.0,0.0,0.0
,EOS101063,1.0,-8.0,0.0,0.0
ZINC000065308039,EOS1330,1.0,-8.0,0.0,0.0
ZINC000004099008,,1.0,-8.0,0.0,0.0
ZINC000003959536,EOS101311,1.0,-8.0,0.0,0.0
,EOS211,1.0,-8.0,0.0,0.0
,EOS1309,1.0,-8.0,0.0,0.0
ZINC000033003818,EOS633,1.0,-8.0,0.0,0.0
,EOS101292,1.0,-8.0,0.0,0.0
ZINC000065246632,EOS1344,1.0,-8.0,0.0,0.0
ZINC000238809663,,1.0,-8.0,0.0,0.0
ZINC000150601177,,1.0,-8.0,0.0,0.0
ZINC000001548097,,1.0,-8.0,0.0,0.0
,EOS1654,1.0,-8.0,0.0,0.0
ZINC000021928730,EOS795,1.0,-8.0,0.0,0.0
ZINC000013986815,EOS100598,1.0,-8.0,0.0,0.0
ZINC000064889583,EOS1747,1.0,-8.0,0.0,0.0
ZINC000004213474,EOS100725,1.0,-8.0,0.0,0.0
,EOS101005,1.0,-8.0,0.0,0.0
ZINC000065249856,EOS1357,1.0,-8.0,0.0,0.0
ZINC000010737214,EOS1690,1.0,-8.0,0.0,0.0
ZINC000013368624,EOS506,1.0,-8.0,0.0,0.0
ZINC000003977981,EOS101482,1.0,-8.0,0.0,0.0
ZINC000040388291,EOS2361,1.0,-8.0,0.0,0.0
ZINC000021714236,EOS1133,1.0,-8.0,0.0,0.0
ZINC000009877852,EOS614,1.0,-8.0,0.0,0.0
ZINC000003962535,EOS100860,1.0,-8.0,0.0,0.0
ZINC000065101075,EOS1145,1.0,-8.0,0.0,0.0
,EOS712,1.0,-8.0,0.0,0.0
ZINC000012003328,EOS1774,1.0,-8.0,0.0,0.0
ZINC000003832372,EOS101092,1.0,-8.0,0.0,0.0
,EOS1416,1.0,-8.0,0.0,0.0
ZINC000006718813,EOS98637,1.0,-8.0,0.0,0.0
ZINC000065004973,EOS1073,1.0,-8.0,0.0,0.0
ZINC000004778259,EOS1930,1.0,-8.0,0.0,0.0
ZINC000006530913,EOS465,1.0,-8.0,0.0,0.0
,EOS743,1.0,-8.0,0.0,0.0
ZINC000024608124,EOS648,1.0,-8.0,0.0,0.0
ZINC000022010574,EOS101114,1.0,-8.0,0.0,0.0
ZINC000019819334,EOS288,1.0,-8.0,0.0,0.0
,EOS100599,1.0,-8.0,0.0,0.0
ZINC000040847911,EOS100243,1.0,-7.9,0.0,0.0
ZINC000004426660,EOS100209,1.0,-7.9,0.0,0.0
,EOS100965,1.0,-7.9,0.0,0.0
,EOS1658,1.0,-7.9,0.0,0.0
ZINC000102249129,EOS100074,1.0,-7.9,0.0,0.0
ZINC000009606234,EOS451,1.0,-7.9,0.0,0.0
ZINC000001529323,EOS101066,1.0,-7.9,0.0,0.0
,EOS1533,1.0,-7.9,0.0,0.0
ZINC000000223670,EOS2011,1.0,-7.9,0.0,0.0
ZINC000003812869,EOS98592,1.0,-7.9,0.0,0.0
ZINC000043100709,EOS101324,1.0,-7.9,0.0,0.0
,EOS1675,1.0,-7.9,0.0,0.0
ZINC000009607462,EOS453,1.0,-7.9,0.0,0.0
ZINC000008844805,EOS1804,1.0,-7.9,0.0,0.0
ZINC000065100150,EOS1142,1.0,-7.9,0.0,0.0
ZINC000020280363,EOS485,1.0,-7.9,0.0,0.0
ZINC000003920266,,1.0,-7.9,0.0,0.0
ZINC000205767583,EOS100036,1.0,-7.9,0.0,0.0
ZINC000068203100,EOS100891,1.0,-7.9,0.0,0.0
ZINC000009135209,EOS1806,1.0,-7.9,0.0,0.0
ZINC000084758235,,1.0,-7.9,0.0,0.0
ZINC000016652562,EOS2187,1.0,-7.9,0.0,0.0
ZINC000064889599,EOS1754,1.0,-7.9,0.0,0.0
ZINC000043203531,EOS100864,1.0,-7.9,0.0,0.0
ZINC000003915154,,1.0,-7.9,0.0,0.0
ZINC000013523855,EOS1039,1.0,-7.9,0.0,0.0
ZINC000029053046,EOS100845,1.0,-7.9,0.0,0.0
ZINC000000794096,EOS2236,1.0,-7.9,0.0,0.0
ZINC000005108029,EOS526,1.0,-7.9,0.0,0.0
ZINC000001051984,EOS1959,1.0,-7.9,0.0,0.0
,EOS1796,1.0,-7.9,0.0,0.0
,EOS1015,1.0,-7.9,0.0,0.0
,EOS98568,1.0,-7.9,0.0,0.0
ZINC000001010677,EOS1894,1.0,-7.9,0.0,0.0
ZINC000003916214,EOS100992,1.0,-7.9,0.0,0.0
,EOS101216,1.0,-7.9,0.0,0.0
ZINC000002870763,EOS1920,1.0,-7.9,0.0,0.0
ZINC000001506059,EOS1897,1.0,-7.9,0.0,0.0
ZINC000101068595,EOS100182,1.0,-7.9,0.0,0.0
ZINC000012379421,EOS2124,1.0,-7.9,0.0,0.0
ZINC000090485237,EOS101267,1.0,-7.9,0.0,0.0
ZINC000084712890,EOS101256,1.0,-7.9,0.0,0.0
ZINC000020731869,EOS277,1.0,-7.9,0.0,0.0
,EOS2396,1.0,-7.9,0.0,0.0
ZINC000043128366,EOS100953,1.0,-7.9,0.0,0.0
ZINC000013983251,EOS101179,1.0,-7.9,0.0,0.0
,EOS1393,1.0,-7.9,0.0,0.0
ZINC000096397828,EOS1349,1.0,-7.9,0.0,0.0
,EOS853,1.0,-7.9,0.0,0.0
ZINC000005439208,EOS321,1.0,-7.9,0.0,0.0
ZINC000002585546,EOS100876,1.0,-7.9,0.0,0.0
ZINC000022453679,EOS101312,1.0,-7.9,0.0,0.0
ZINC000028950516,EOS100057,1.0,-7.9,0.0,0.0
ZINC000000643143,,1.0,-7.9,0.0,0.0
ZINC000035902489,EOS98636,1.0,-7.9,0.0,0.0
ZINC000043199890,EOS100601,1.0,-7.9,0.0,0.0
ZINC000028049078,EOS458,1.0,-7.9,0.0,0.0
ZINC000000425648,EOS2383,1.0,-7.9,0.0,0.0
ZINC000064998918,EOS1066,1.0,-7.9,0.0,0.0
,EOS903,1.0,-7.9,0.0,0.0
ZINC000068205235,EOS101304,1.0,-7.9,0.0,0.0
ZINC000095478699,EOS155,1.0,-7.9,0.0,0.0
ZINC000068201066,EOS101110,1.0,-7.9,0.0,0.0
ZINC000012000439,EOS1786,1.0,-7.9,0.0,0.0
ZINC000252679615,,1.0,-7.9,0.0,0.0
ZINC000020731417,EOS278,1.0,-7.9,0.0,0.0
ZINC000003861470,EOS100168,1.0,-7.9,0.0,0.0
ZINC000003813083,,1.0,-7.9,0.0,0.0
ZINC000072405010,EOS170,1.0,-7.9,0.0,0.0
ZINC000049410061,EOS1325,1.0,-7.9,0.0,0.0
ZINC000096231684,EOS52,1.0,-7.9,0.0,0.0
,EOS189,1.0,-7.9,0.0,0.0
ZINC000096224167,EOS108,1.0,-7.9,0.0,0.0
,EOS1595,1.0,-7.9,0.0,0.0
ZINC000021165772,EOS539,1.0,-7.9,0.0,0.0
,EOS580,1.0,-7.9,0.0,0.0
,EOS142,1.0,-7.9,0.0,0.0
,EOS8,1.0,-7.9,0.0,0.0
ZINC000035556610,EOS921,1.0,-7.9,0.0,0.0
ZINC000065240031,EOS1335,1.0,-7.9,0.0,0.0
ZINC000087723492,EOS100094,1.0,-7.9,0.0,0.0
ZINC000013818943,EOS100766,1.0,-7.9,0.0,0.0
,EOS216,1.0,-7.9,0.0,0.0
ZINC000065171005,EOS1231,1.0,-7.9,0.0,0.0
ZINC000005348391,EOS573,1.0,-7.9,0.0,0.0
,EOS145,1.0,-7.9,0.0,0.0
ZINC000067602084,EOS2424,1.0,-7.9,0.0,0.0
,EOS1125,1.0,-7.9,0.0,0.0
ZINC000008584047,EOS404,1.0,-7.9,0.0,0.0
ZINC000004809387,EOS2073,1.0,-7.9,0.0,0.0
,EOS100088,1.0,-7.9,0.0,0.0
,EOS1035,1.0,-7.9,0.0,0.0
ZINC000033171235,EOS1173,1.0,-7.9,0.0,0.0
ZINC000089221712,EOS101076,1.0,-7.9,0.0,0.0
ZINC000230478986,EOS100031,1.0,-7.9,0.0,0.0
ZINC000013980035,EOS100578,1.0,-7.9,0.0,0.0
,EOS1585,1.0,-7.9,0.0,0.0
ZINC000085616684,EOS1739,1.0,-7.9,0.0,0.0
,EOS225,1.0,-7.9,0.0,0.0
ZINC000001530947,,1.0,-7.9,0.0,0.0
ZINC000006681794,EOS2193,1.0,-7.9,0.0,0.0
ZINC000002841084,EOS2261,1.0,-7.9,0.0,0.0
ZINC000001548806,EOS100388,1.0,-7.9,0.0,0.0
,EOS1599,1.0,-7.9,0.0,0.0
ZINC000003874496,EOS100585,1.0,-7.9,0.0,0.0
ZINC000068251434,EOS101210,1.0,-7.9,0.0,0.0
ZINC000065215176,EOS1284,1.0,-7.9,0.0,0.0
ZINC000021537156,EOS740,1.0,-7.9,0.0,0.0
,EOS100240,1.0,-7.9,0.0,0.0
ZINC000005053893,EOS518,1.0,-7.9,0.0,0.0
ZINC000072318121,,1.0,-7.9,0.0,0.0
ZINC000065135113,EOS1199,1.0,-7.9,0.0,0.0
ZINC000208076131,EOS100179,1.0,-7.9,0.0,0.0
,EOS2257,1.0,-7.9,0.0,0.0
ZINC000000652090,EOS100534,1.0,-7.9,0.0,0.0
,EOS1034,1.0,-7.9,0.0,0.0
,EOS1562,1.0,-7.9,0.0,0.0
ZINC000065361826,EOS2363,1.0,-7.9,0.0,0.0
,EOS1671,1.0,-7.9,0.0,0.0
ZINC000065362438,EOS2425,1.0,-7.9,0.0,0.0
ZINC000000538415,EOS101048,1.0,-7.9,0.0,0.0
,EOS1040,1.0,-7.9,0.0,0.0
,EOS357,1.0,-7.9,0.0,0.0
ZINC000000075126,,1.0,-7.9,0.0,0.0
ZINC000002881143,EOS2033,1.0,-7.9,0.0,0.0
ZINC000017041065,EOS920,1.0,-7.9,0.0,0.0
ZINC000075475766,EOS955,1.0,-7.9,0.0,0.0
ZINC000001485409,EOS100452,1.0,-7.9,0.0,0.0
,EOS100175,1.0,-7.9,0.0,0.0
ZINC000006802896,EOS522,1.0,-7.9,0.0,0.0
ZINC000015736464,EOS758,1.0,-7.9,0.0,0.0
ZINC000000538550,,1.0,-7.9,0.0,0.0
ZINC000034587071,EOS100616,1.0,-7.9,0.0,0.0
ZINC000065210201,EOS1273,1.0,-7.9,0.0,0.0
,EOS558,1.0,-7.9,0.0,0.0
ZINC000064889595,EOS1750,1.0,-7.9,0.0,0.0
ZINC000040391558,EOS2450,1.0,-7.9,0.0,0.0
ZINC000019203131,EOS100715,1.0,-7.8,0.0,0.0
,EOS1630,1.0,-7.8,0.0,0.0
ZINC000000601316,,1.0,-7.8,0.0,0.0
ZINC000003918087,,1.0,-7.8,0.0,0.0
ZINC000004952788,EOS514,1.0,-7.8,0.0,0.0
ZINC000046016759,EOS846,1.0,-7.8,0.0,0.0
ZINC000100002087,EOS100297,1.0,-7.8,0.0,0.0
ZINC000065097548,EOS1139,1.0,-7.8,0.0,0.0
ZINC000100370145,,1.0,-7.8,0.0,0.0
,EOS1590,1.0,-7.8,0.0,0.0
ZINC000084617535,EOS100003,1.0,-7.8,0.0,0.0
ZINC000004097383,,1.0,-7.8,0.0,0.0
ZINC000003882036,,1.0,-7.8,0.0,0.0
ZINC000011906596,EOS2156,1.0,-7.8,0.0,0.0
ZINC000015785859,EOS860,1.0,-7.8,0.0,0.0
ZINC000004840509,EOS2104,1.0,-7.8,0.0,0.0
ZINC000102930548,EOS100664,1.0,-7.8,0.0,0.0
ZINC000064951849,EOS744,1.0,-7.8,0.0,0.0
ZINC000009723418,EOS473,1.0,-7.8,0.0,0.0
ZINC000001554274,EOS100150,1.0,-7.8,0.0,0.0
ZINC000067602201,EOS2446,1.0,-7.8,0.0,0.0
,EOS708,1.0,-7.8,0.0,0.0
ZINC000019625731,EOS986,1.0,-7.8,0.0,0.0
ZINC000065202367,EOS1269,1.0,-7.8,0.0,0.0
ZINC000019201545,EOS371,1.0,-7.8,0.0,0.0
,EOS1592,1.0,-7.8,0.0,0.0
,EOS85,1.0,-7.8,0.0,0.0
,EOS1947,1.0,-7.8,0.0,0.0
ZINC000020860043,EOS509,1.0,-7.8,0.0,0.0
ZINC000001488366,EOS100044,1.0,-7.8,0.0,0.0
ZINC000065213839,EOS1280,1.0,-7.8,0.0,0.0
ZINC000002879761,EOS2023,1.0,-7.8,0.0,0.0
ZINC000045945706,EOS1691,1.0,-7.8,0.0,0.0
ZINC000020984973,EOS735,1.0,-7.8,0.0,0.0
,EOS403,1.0,-7.8,0.0,0.0
ZINC000006660631,EOS2410,1.0,-7.8,0.0,0.0
ZINC000012225183,EOS224,1.0,-7.8,0.0,0.0
ZINC000064963732,EOS845,1.0,-7.8,0.0,0.0
ZINC000203005669,EOS100124,1.0,-7.8,0.0,0.0
ZINC000065154142,EOS1223,1.0,-7.8,0.0,0.0
ZINC000017355584,EOS1312,1.0,-7.8,0.0,0.0
,EOS100433,1.0,-7.8,0.0,0.0
ZINC000075505233,EOS1253,1.0,-7.8,0.0,0.0
,EOS1558,1.0,-7.8,0.0,0.0
ZINC000014554106,EOS2302,1.0,-7.8,0.0,0.0
ZINC000016052804,EOS100515,1.0,-7.8,0.0,0.0
,EOS175,1.0,-7.8,0.0,0.0
ZINC000003986735,,1.0,-7.8,0.0,0.0
,EOS213,1.0,-7.8,0.0,0.0
,EOS2256,1.0,-7.8,0.0,0.0
ZINC000028563889,EOS101113,1.0,-7.8,0.0,0.0
ZINC000012445792,EOS1767,1.0,-7.8,0.0,0.0
,EOS100174,1.0,-7.8,0.0,0.0
ZINC000006019135,EOS101061,1.0,-7.8,0.0,0.0
ZINC000001060854,EOS1883,1.0,-7.8,0.0,0.0
ZINC000003964126,EOS100821,1.0,-7.8,0.0,0.0
ZINC000004757593,EOS1976,1.0,-7.8,0.0,0.0
ZINC000009573229,EOS948,1.0,-7.8,0.0,0.0
,EOS1529,1.0,-7.8,0.0,0.0
ZINC000000590964,EOS100970,1.0,-7.8,0.0,0.0
ZINC000068248353,EOS101272,1.0,-7.8,0.0,0.0
ZINC000032951226,EOS424,1.0,-7.8,0.0,0.0
ZINC000065215309,EOS1285,1.0,-7.8,0.0,0.0
ZINC000068204830,,1.0,-7.8,0.0,0.0
ZINC000004214700,,1.0,-7.8,0.0,0.0
ZINC000039963740,EOS2407,1.0,-7.8,0.0,0.0
ZINC000024020547,EOS139,1.0,-7.8,0.0,0.0
,EOS100529,1.0,-7.8,0.0,0.0
ZINC000020418978,EOS1902,1.0,-7.8,0.0,0.0
ZINC000064889575,EOS1742,1.0,-7.8,0.0,0.0
,EOS871,1.0,-7.8,0.0,0.0
ZINC000003833823,EOS101106,1.0,-7.8,0.0,0.0
,EOS100306,1.0,-7.8,0.0,0.0
ZINC000038228051,EOS100589,1.0,-7.8,0.0,0.0
ZINC000068247898,EOS100423,1.0,-7.8,0.0,0.0
ZINC000001996117,,1.0,-7.8,0.0,0.0
ZINC000000445251,EOS1030,1.0,-7.8,0.0,0.0
,EOS1560,1.0,-7.8,0.0,0.0
,EOS344,1.0,-7.8,0.0,0.0
,EOS1382,1.0,-7.8,0.0,0.0
ZINC000001552174,EOS100707,1.0,-7.8,0.0,0.0
ZINC000014960788,EOS100185,1.0,-7.8,0.0,0.0
ZINC000004791587,EOS415,1.0,-7.8,0.0,0.0
ZINC000022067501,EOS100024,1.0,-7.8,0.0,0.0
ZINC000036359205,EOS58,1.0,-7.8,0.0,0.0
ZINC000003860715,EOS100342,1.0,-7.8,0.0,0.0
ZINC000028232755,,1.0,-7.8,0.0,0.0
ZINC000033359679,EOS2342,1.0,-7.8,0.0,0.0
ZINC000049402751,EOS1242,1.0,-7.8,0.0,0.0
,EOS207,1.0,-7.8,0.0,0.0
ZINC000020889021,EOS603,1.0,-7.8,0.0,0.0
ZINC000001851149,EOS101100,1.0,-7.8,0.0,0.0
ZINC000001530579,,1.0,-7.8,0.0,0.0
ZINC000000537964,,1.0,-7.8,0.0,0.0
ZINC000096272772,EOS101475,1.0,-7.8,0.0,0.0
ZINC000073096242,EOS100812,1.0,-7.8,0.0,0.0
,EOS100763,1.0,-7.8,0.0,0.0
ZINC000046145051,EOS1081,1.0,-7.8,0.0,0.0
ZINC000003920657,,1.0,-7.8,0.0,0.0
,EOS867,1.0,-7.8,0.0,0.0
ZINC000004316948,EOS941,1.0,-7.8,0.0,0.0
ZINC000035636075,EOS100852,1.0,-7.8,0.0,0.0
ZINC000028251831,EOS2320,1.0,-7.8,0.0,0.0
,EOS101383,1.0,-7.8,0.0,0.0
ZINC000009407353,EOS543,1.0,-7.8,0.0,0.0
ZINC000098023188,EOS101219,1.0,-7.8,0.0,0.0
ZINC000003842037,EOS100481,1.0,-7.8,0.0,0.0
ZINC000064889578,EOS1744,1.0,-7.8,0.0,0.0
ZINC000044460257,EOS100270,1.0,-7.8,0.0,0.0
ZINC000065118627,EOS1176,1.0,-7.8,0.0,0.0
ZINC000028900316,EOS29,1.0,-7.8,0.0,0.0
ZINC000020736392,EOS60,1.0,-7.8,0.0,0.0
,EOS1574,1.0,-7.8,0.0,0.0
,EOS100061,1.0,-7.8,0.0,0.0
,EOS100802,1.0,-7.8,0.0,0.0
ZINC000001530977,,1.0,-7.8,0.0,0.0
ZINC000096231953,EOS107,1.0,-7.8,0.0,0.0
ZINC000029046741,EOS100064,1.0,-7.8,0.0,0.0
ZINC000095641943,EOS100955,1.0,-7.8,0.0,0.0
ZINC000003831490,EOS101793,1.0,-7.8,0.0,0.0
ZINC000012194568,EOS323,1.0,-7.8,0.0,0.0
ZINC000001061886,EOS2005,1.0,-7.8,0.0,0.0
ZINC000004539546,EOS2095,1.0,-7.8,0.0,0.0
ZINC000009908494,EOS2301,1.0,-7.8,0.0,0.0
ZINC000145814743,EOS100443,1.0,-7.8,0.0,0.0
ZINC000008844113,EOS569,1.0,-7.8,0.0,0.0
