proteinID,ligandID,runID,affinity,rmsdLB,rmsdUB
7RDY-no-extra,Mrv0541-05151316472D,0,-7.5,0.000,0.000
7RDY-no-extra,Mrv0541-05151316472D,1,-7.5,0.000,0.000
7RDY-no-extra,Mrv0541-05151316472D,2,-7.5,0.000,0.000
7RDY-no-extra,Mrv0541-05151316472D,3,-7.5,0.000,0.000
7RDY-no-extra,Mrv0541-05151316472D,4,-7.5,0.000,0.000
7RDY-no-extra,Mrv0541-05151316472D,5,-7.5,0.000,0.000
7RDY-no-extra,Mrv0541-05151316472D,6,-7.5,0.000,0.000
7RDY-no-extra,Mrv0541-05151316472D,7,-7.5,0.000,0.000
7RDY-no-extra,Mrv0541-05151316472D,8,-7.5,0.000,0.000
7RDY-no-extra,Mrv0541-05151316472D,9,-7.5,0.000,0.000
7RDY-no-extra,Mrv0541-05151316472D,10,-7.5,0.000,0.000
7RDY-no-extra,Mrv0541-05041407402D,0,-7.5,0.000,0.000
7RDY-no-extra,Mrv0541-05041407402D,1,-7.5,0.000,0.000
7RDY-no-extra,Mrv0541-05041407402D,2,-7.5,0.000,0.000
7RDY-no-extra,Mrv0541-05041407402D,3,-7.5,0.000,0.000
7RDY-no-extra,Mrv0541-05041407402D,4,-7.5,0.000,0.000
7RDY-no-extra,Mrv0541-05041407402D,5,-7.5,0.000,0.000
7RDY-no-extra,Mrv0541-05041407402D,6,-7.5,0.000,0.000
7RDY-no-extra,Mrv0541-05041407402D,7,-7.5,0.000,0.000
7RDY-no-extra,Mrv0541-05041407402D,8,-7.5,0.000,0.000
7RDY-no-extra,Mrv0541-05041407402D,9,-7.5,0.000,0.000
7RDY-no-extra,Mrv0541-05041407402D,10,-7.5,0.000,0.000
7RDY-zinc,Mrv0541-05041406392D-1704021546727,0,-12.1,0.000,0.000
7RDY-zinc,Mrv0541-05041406392D-1704021546727,1,-12.1,0.000,0.000
7RDY-zinc,Mrv0541-05041406392D-1704021546727,2,-12.1,0.000,0.000
7RDY-zinc,Mrv0541-05041406392D-1704021546727,3,-12.1,0.000,0.000
7RDY-zinc,Mrv0541-05041406392D-1704021546727,4,-11.9,0.000,0.000
7RDY-zinc,Mrv0541-05041406392D-1704021546727,5,-12.1,0.000,0.000
7RDY-zinc,Mrv0541-05041406392D-1704021546727,6,-12.1,0.000,0.000
