proteinID,ligandID,runID,affinity,rmsdLB,rmsdUB
7RDY-no-extra,Mrv0541-11131316082D,0,-11.0,0.000,0.000
7RDY-no-extra,Mrv0541-11131316082D,1,-11.0,0.000,0.000
7RDY-no-extra,Mrv0541-11131316082D,2,-11.0,0.000,0.000
7RDY-no-extra,Mrv0541-11131316082D,3,-11.0,0.000,0.000
7RDY-no-extra,Mrv0541-11131316082D,4,-11.0,0.000,0.000
7RDY-no-extra,Mrv0541-11131316082D,5,-11.0,0.000,0.000
7RDY-no-extra,Mrv0541-11131316082D,6,-11.0,0.000,0.000
7RDY-no-extra,Mrv0541-11131316082D,7,-11.0,0.000,0.000
7RDY-no-extra,Mrv0541-11131316082D,8,-11.0,0.000,0.000
7RDY-no-extra,Mrv0541-11131316082D,9,-11.0,0.000,0.000
7RDY-no-extra,Mrv0541-11131316082D,10,-11.0,0.000,0.000
7RDY-no-extra,Mrv0541-09071422402D,0,-8.1,0.000,0.000
7RDY-no-extra,Mrv0541-09071422402D,1,-8.1,0.000,0.000
7RDY-no-extra,Mrv0541-09071422402D,2,-8.1,0.000,0.000
7RDY-no-extra,Mrv0541-09071422402D,3,-8.1,0.000,0.000
7RDY-no-extra,Mrv0541-09071422402D,4,-8.1,0.000,0.000
7RDY-no-extra,Mrv0541-09071422402D,5,-8.1,0.000,0.000
7RDY-no-extra,Mrv0541-09071422402D,6,-8.1,0.000,0.000
7RDY-no-extra,Mrv0541-09071422402D,7,-8.1,0.000,0.000
7RDY-no-extra,Mrv0541-09071422402D,8,-8.1,0.000,0.000
7RDY-no-extra,Mrv0541-09071422402D,9,-8.1,0.000,0.000
7RDY-no-extra,Mrv0541-09071422402D,10,-8.1,0.000,0.000
7RDY-zinc,Mrv1572004221604482D,0,-7.7,0.000,0.000
7RDY-zinc,Mrv1572004221604482D,1,-7.7,0.000,0.000
7RDY-zinc,Mrv1572004221604482D,2,-7.7,0.000,0.000
7RDY-zinc,Mrv1572004221604482D,3,-7.7,0.000,0.000
7RDY-zinc,Mrv1572004221604482D,4,-7.7,0.000,0.000
7RDY-zinc,Mrv1572004221604482D,5,-7.6,0.000,0.000
7RDY-zinc,Mrv1572004221604482D,6,-7.6,0.000,0.000
7RDY-zinc,Mrv1572004221604482D,7,-7.7,0.000,0.000
7RDY-zinc,Mrv1572004221604482D,8,-7.7,0.000,0.000
7RDY-zinc,Mrv1572004221604482D,9,-7.7,0.000,0.000
7RDY-zinc,Mrv1572004221604482D,10,-7.7,0.000,0.000
7RDY-no-extra,Mrv1533005111513522D,0,-6.3,0.000,0.000
7RDY-no-extra,Mrv1533005111513522D,1,-6.3,0.000,0.000
7RDY-no-extra,Mrv1533005111513522D,2,-6.3,0.000,0.000
7RDY-no-extra,Mrv1533005111513522D,3,-6.3,0.000,0.000
7RDY-no-extra,Mrv1533005111513522D,4,-6.3,0.000,0.000
7RDY-no-extra,Mrv1533005111513522D,5,-6.3,0.000,0.000
7RDY-no-extra,Mrv1533005111513522D,6,-6.3,0.000,0.000
7RDY-no-extra,Mrv1533005111513522D,7,-6.3,0.000,0.000
7RDY-no-extra,Mrv1533005111513522D,8,-6.3,0.000,0.000
7RDY-no-extra,Mrv1533005111513522D,9,-6.3,0.000,0.000
7RDY-no-extra,Mrv1533005111513522D,10,-6.3,0.000,0.000
7RDY-no-extra,Mrv1572004111620042D,0,-6.6,0.000,0.000
7RDY-no-extra,Mrv1572004111620042D,1,-6.6,0.000,0.000
7RDY-no-extra,Mrv1572004111620042D,2,-6.6,0.000,0.000
7RDY-no-extra,Mrv1572004111620042D,3,-6.6,0.000,0.000
7RDY-no-extra,Mrv1572004111620042D,4,-6.6,0.000,0.000
7RDY-no-extra,Mrv1572004111620042D,5,-6.6,0.000,0.000
7RDY-no-extra,Mrv1572004111620042D,6,-6.6,0.000,0.000
7RDY-no-extra,Mrv1572004111620042D,7,-6.6,0.000,0.000
7RDY-no-extra,Mrv1572004111620042D,8,-6.6,0.000,0.000
7RDY-no-extra,Mrv1572004111620042D,9,-6.6,0.000,0.000
7RDY-no-extra,Mrv1572004111620042D,10,-6.6,0.000,0.000
7RDY-zinc,Mrv1572004221605152D,0,-9.0,0.000,0.000
7RDY-zinc,Mrv1572004221605152D,1,-9.0,0.000,0.000
7RDY-zinc,Mrv1572004221605152D,2,-9.0,0.000,0.000
7RDY-zinc,Mrv1572004221605152D,3,-9.0,0.000,0.000
7RDY-zinc,Mrv1572004221605152D,4,-9.0,0.000,0.000
7RDY-zinc,Mrv1572004221605152D,5,-9.0,0.000,0.000
7RDY-zinc,Mrv1572004221605152D,6,-9.0,0.000,0.000
7RDY-zinc,Mrv1572004221605152D,7,-9.0,0.000,0.000
7RDY-zinc,Mrv1572004221605152D,8,-9.0,0.000,0.000
7RDY-zinc,Mrv1572004221605152D,9,-9.0,0.000,0.000
7RDY-zinc,Mrv1572004221605152D,10,-9.0,0.000,0.000
7RDY-no-extra,Mrv0541-09241312552D,0,-6.5,0.000,0.000
7RDY-no-extra,Mrv0541-09241312552D,1,-6.5,0.000,0.000
7RDY-no-extra,Mrv0541-09241312552D,2,-6.5,0.000,0.000
7RDY-no-extra,Mrv0541-09241312552D,3,-6.5,0.000,0.000
7RDY-no-extra,Mrv0541-09241312552D,4,-6.5,0.000,0.000
