proteinID,ligandID,runID,affinity,rmsdLB,rmsdUB
7RDY-no-extra,Mrv1652310201623112D-1704021546304,0,-9.5,0.000,0.000
7RDY-no-extra,Mrv1652310201623112D-1704021546304,1,-9.5,0.000,0.000
7RDY-no-extra,Mrv1652310201623112D-1704021546304,2,-9.5,0.000,0.000
7RDY-no-extra,Mrv1652310201623112D-1704021546304,3,-9.5,0.000,0.000
7RDY-no-extra,Mrv1652310201623112D-1704021546304,4,-9.5,0.000,0.000
7RDY-no-extra,Mrv1652310201623112D-1704021546304,5,-9.5,0.000,0.000
7RDY-no-extra,Mrv1652310201623112D-1704021546304,6,-9.5,0.000,0.000
7RDY-no-extra,Mrv1652310201623112D-1704021546304,7,-9.5,0.000,0.000
7RDY-no-extra,Mrv1652310201623112D-1704021546304,8,-9.5,0.000,0.000
7RDY-no-extra,Mrv1652310201623112D-1704021546304,9,-9.5,0.000,0.000
7RDY-no-extra,Mrv1652310201623112D-1704021546304,10,-9.5,0.000,0.000
7RDY-zinc,Mrv1652310201623292D,0,-10.0,0.000,0.000
7RDY-zinc,Mrv1652310201623292D,1,-10.0,0.000,0.000
7RDY-zinc,Mrv1652310201623292D,2,-10.1,0.000,0.000
7RDY-zinc,Mrv1652310201623292D,3,-10.0,0.000,0.000
7RDY-zinc,Mrv1652310201623292D,4,-10.0,0.000,0.000
7RDY-zinc,Mrv1652310201623292D,5,-10.0,0.000,0.000
7RDY-zinc,Mrv1652310201623292D,6,-10.0,0.000,0.000
7RDY-zinc,Mrv1652310201623292D,7,-10.0,0.000,0.000
7RDY-zinc,Mrv1652310201623292D,8,-10.0,0.000,0.000
7RDY-zinc,Mrv1652310201623292D,9,-9.7,0.000,0.000
7RDY-zinc,Mrv1652310201623292D,10,-10.0,0.000,0.000
7RDY-no-extra,Mrv1652310201623112D-1704021546315,0,-9.6,0.000,0.000
7RDY-no-extra,Mrv1652310201623112D-1704021546315,1,-9.6,0.000,0.000
7RDY-no-extra,Mrv1652310201623112D-1704021546315,2,-9.6,0.000,0.000
7RDY-no-extra,Mrv1652310201623112D-1704021546315,3,-9.6,0.000,0.000
7RDY-no-extra,Mrv1652310201623112D-1704021546315,4,-9.6,0.000,0.000
7RDY-no-extra,Mrv1652310201623112D-1704021546315,5,-9.6,0.000,0.000
7RDY-no-extra,Mrv1652310201623112D-1704021546315,6,-9.6,0.000,0.000
7RDY-no-extra,Mrv1652310201623112D-1704021546315,7,-9.6,0.000,0.000
7RDY-no-extra,Mrv1652310201623112D-1704021546315,8,-9.6,0.000,0.000
7RDY-no-extra,Mrv1652310201623112D-1704021546315,9,-9.6,0.000,0.000
7RDY-no-extra,Mrv1652310201623112D-1704021546315,10,-9.6,0.000,0.000
7RDY-zinc,Mrv1652310201622552D,0,-8.8,0.000,0.000
7RDY-zinc,Mrv1652310201622552D,1,-8.8,0.000,0.000
7RDY-zinc,Mrv1652310201622552D,2,-8.8,0.000,0.000
7RDY-zinc,Mrv1652310201622552D,3,-8.8,0.000,0.000
7RDY-zinc,Mrv1652310201622552D,4,-8.8,0.000,0.000
7RDY-zinc,Mrv1652310201622552D,5,-8.8,0.000,0.000
7RDY-zinc,Mrv1652310201622552D,6,-8.8,0.000,0.000
7RDY-zinc,Mrv1652310201622552D,7,-8.8,0.000,0.000
7RDY-zinc,Mrv1652310201622552D,8,-8.8,0.000,0.000
7RDY-zinc,Mrv1652310201622552D,9,-8.8,0.000,0.000
7RDY-zinc,Mrv1652310201622552D,10,-8.8,0.000,0.000
7RDY-zinc,Mrv1652310201623132D-1704021546327,0,-7.2,0.000,0.000
7RDY-zinc,Mrv1652310201623132D-1704021546327,1,-7.2,0.000,0.000
7RDY-zinc,Mrv1652310201623132D-1704021546327,2,-7.4,0.000,0.000
7RDY-zinc,Mrv1652310201623132D-1704021546327,3,-7.2,0.000,0.000
7RDY-zinc,Mrv1652310201623132D-1704021546327,4,-7.2,0.000,0.000
7RDY-zinc,Mrv1652310201623132D-1704021546327,5,-7.4,0.000,0.000
7RDY-zinc,Mrv1652310201623132D-1704021546327,6,-7.2,0.000,0.000
7RDY-zinc,Mrv1652310201623132D-1704021546327,7,-7.2,0.000,0.000
7RDY-zinc,Mrv1652310201623132D-1704021546327,8,-7.3,0.000,0.000
7RDY-zinc,Mrv1652310201623132D-1704021546327,9,-7.4,0.000,0.000
7RDY-zinc,Mrv1652310201623132D-1704021546327,10,-7.2,0.000,0.000
7RDY-no-extra,Mrv1652310201622542D-1704021546120,0,-7.3,0.000,0.000
7RDY-no-extra,Mrv1652310201622542D-1704021546120,1,-7.3,0.000,0.000
7RDY-zinc,Mrv1652310211600012D,0,-9.5,0.000,0.000
7RDY-zinc,Mrv1652310211600012D,1,-9.5,0.000,0.000
7RDY-zinc,Mrv1652310211600012D,2,-9.5,0.000,0.000
7RDY-zinc,Mrv1652310211600012D,3,-9.5,0.000,0.000
7RDY-zinc,Mrv1652310211600012D,4,-9.5,0.000,0.000
7RDY-zinc,Mrv1652310211600012D,5,-9.5,0.000,0.000
7RDY-zinc,Mrv1652310211600012D,6,-9.5,0.000,0.000
7RDY-zinc,Mrv1652310211600012D,7,-9.5,0.000,0.000
7RDY-zinc,Mrv1652310211600012D,8,-9.5,0.000,0.000
7RDY-zinc,Mrv1652310211600012D,9,-9.5,0.000,0.000
7RDY-zinc,Mrv1652310211600012D,10,-9.5,0.000,0.000
7RDY-no-extra,Mrv1652310201623572D-1704021546662,0,-8.2,0.000,0.000
7RDY-no-extra,Mrv1652310201623572D-1704021546662,1,-8.1,0.000,0.000
7RDY-no-extra,Mrv1652310201623572D-1704021546662,2,-8.5,0.000,0.000
7RDY-no-extra,Mrv1652310201623572D-1704021546662,3,-8.3,0.000,0.000
7RDY-no-extra,Mrv1652310201623572D-1704021546662,4,-8.3,0.000,0.000
7RDY-no-extra,Mrv1652310201623572D-1704021546662,5,-8.5,0.000,0.000
7RDY-no-extra,Mrv1652310201623572D-1704021546662,6,-8.1,0.000,0.000
7RDY-no-extra,Mrv1652310201623572D-1704021546662,7,-8.3,0.000,0.000
7RDY-no-extra,Mrv1652310201623572D-1704021546662,8,-8.2,0.000,0.000
7RDY-no-extra,Mrv1652310201623572D-1704021546662,9,-8.5,0.000,0.000
7RDY-no-extra,Mrv1652310201623572D-1704021546662,10,-8.2,0.000,0.000
7RDY-no-extra,Mrv1652306231722472D-1704021548385,0,-6.3,0.000,0.000
7RDY-no-extra,Mrv1652306231722472D-1704021548385,1,-6.3,0.000,0.000
7RDY-no-extra,Mrv1652306231722472D-1704021548385,2,-6.3,0.000,0.000
7RDY-no-extra,Mrv1652306231722472D-1704021548385,3,-6.3,0.000,0.000
7RDY-no-extra,Mrv1652306231722472D-1704021548385,4,-6.3,0.000,0.000
7RDY-no-extra,Mrv1652306231722472D-1704021548385,5,-6.3,0.000,0.000
7RDY-no-extra,Mrv1652306231722472D-1704021548385,6,-6.3,0.000,0.000
7RDY-no-extra,Mrv1652306231722472D-1704021548385,7,-6.3,0.000,0.000
7RDY-no-extra,Mrv1652306231722472D-1704021548385,8,-6.3,0.000,0.000
7RDY-no-extra,Mrv1652306231722472D-1704021548385,9,-6.3,0.000,0.000
7RDY-no-extra,Mrv1652306231722472D-1704021548385,10,-6.3,0.000,0.000
7RDY-no-extra,Mrv1652310201622512D,0,-13.8,0.000,0.000
7RDY-no-extra,Mrv1652310201622512D,1,-13.8,0.000,0.000
7RDY-no-extra,Mrv1652310201622512D,2,-13.8,0.000,0.000
7RDY-no-extra,Mrv1652310201622512D,3,-13.8,0.000,0.000
7RDY-no-extra,Mrv1652310201622512D,4,-13.8,0.000,0.000
7RDY-no-extra,Mrv1652310201622512D,5,-13.8,0.000,0.000
7RDY-no-extra,Mrv1652310201622512D,6,-13.8,0.000,0.000
7RDY-no-extra,Mrv1652310201622512D,7,-13.8,0.000,0.000
7RDY-no-extra,Mrv1652310201622512D,8,-13.8,0.000,0.000
7RDY-no-extra,Mrv1652310201622512D,9,-13.8,0.000,0.000
7RDY-no-extra,Mrv1652310201622512D,10,-13.8,0.000,0.000
7RDY-zinc,Mrv1652310201622562D,0,-10.3,0.000,0.000
7RDY-zinc,Mrv1652310201622562D,1,-10.3,0.000,0.000
7RDY-zinc,Mrv1652310201622562D,2,-10.3,0.000,0.000
7RDY-zinc,Mrv1652310201622562D,3,-10.3,0.000,0.000
7RDY-zinc,Mrv1652310201622562D,4,-10.3,0.000,0.000
7RDY-zinc,Mrv1652310201622562D,5,-10.3,0.000,0.000
7RDY-zinc,Mrv1652310201622562D,6,-10.3,0.000,0.000
7RDY-zinc,Mrv1652310201622562D,7,-10.3,0.000,0.000
7RDY-zinc,Mrv1652310201622562D,8,-10.3,0.000,0.000
7RDY-zinc,Mrv1652310201622562D,9,-10.3,0.000,0.000
7RDY-zinc,Mrv1652310201622562D,10,-10.3,0.000,0.000
7RDY-zinc,Mrv1652310201623242D-1704021546455,0,-7.4,0.000,0.000
7RDY-zinc,Mrv1652310201623242D-1704021546455,1,-7.4,0.000,0.000
7RDY-zinc,Mrv1652310201623242D-1704021546455,2,-7.4,0.000,0.000
7RDY-zinc,Mrv1652310201623242D-1704021546455,3,-7.4,0.000,0.000
7RDY-zinc,Mrv1652310201623242D-1704021546455,4,-7.4,0.000,0.000
7RDY-zinc,Mrv1652310201623242D-1704021546455,5,-7.4,0.000,0.000
7RDY-zinc,Mrv1652310201623242D-1704021546455,6,-7.4,0.000,0.000
7RDY-zinc,Mrv1652310201623242D-1704021546455,7,-7.4,0.000,0.000
7RDY-zinc,Mrv1652310201623242D-1704021546455,8,-7.4,0.000,0.000
7RDY-zinc,Mrv1652310201623242D-1704021546455,9,-7.4,0.000,0.000
7RDY-zinc,Mrv1652310201623242D-1704021546455,10,-7.4,0.000,0.000
7RDY-no-extra,Mrv1652310201623382D-1704021546540,0,-8.5,0.000,0.000
7RDY-no-extra,Mrv1652310201623382D-1704021546540,1,-8.5,0.000,0.000
7RDY-no-extra,Mrv1652310201623382D-1704021546540,2,-8.5,0.000,0.000
7RDY-no-extra,Mrv1652310201623382D-1704021546540,3,-8.5,0.000,0.000
7RDY-no-extra,Mrv1652310201623382D-1704021546540,4,-8.5,0.000,0.000
7RDY-no-extra,Mrv1652310201623382D-1704021546540,5,-8.5,0.000,0.000
7RDY-no-extra,Mrv1652310201623382D-1704021546540,6,-8.5,0.000,0.000
7RDY-no-extra,Mrv1652310201623382D-1704021546540,7,-8.5,0.000,0.000
7RDY-no-extra,Mrv1652310201623382D-1704021546540,8,-8.4,0.000,0.000
7RDY-no-extra,Mrv1652310201623382D-1704021546540,9,-8.4,0.000,0.000
7RDY-no-extra,Mrv1652310201623382D-1704021546540,10,-8.5,0.000,0.000
7RDY-zinc,Mrv1652310201623212D-1704021546414,0,-10.1,0.000,0.000
7RDY-zinc,Mrv1652310201623212D-1704021546414,1,-10.1,0.000,0.000
7RDY-zinc,Mrv1652310201623212D-1704021546414,2,-10.1,0.000,0.000
7RDY-zinc,Mrv1652310201623212D-1704021546414,3,-10.1,0.000,0.000
7RDY-zinc,Mrv1652310201623212D-1704021546414,4,-10.1,0.000,0.000
7RDY-zinc,Mrv1652310201623212D-1704021546414,5,-10.1,0.000,0.000
7RDY-zinc,Mrv1652310201623212D-1704021546414,6,-10.1,0.000,0.000
7RDY-zinc,Mrv1652310201623212D-1704021546414,7,-10.1,0.000,0.000
7RDY-zinc,Mrv1652310201623212D-1704021546414,8,-10.1,0.000,0.000
7RDY-zinc,Mrv1652310201623212D-1704021546414,9,-10.1,0.000,0.000
