proteinID,ligandID,runID,affinity,rmsdLB,rmsdUB
7RDY-no-extra,FRY,0,-9.6,0.000,0.000
7RDY-no-extra,FRY,1,-9.7,0.000,0.000
7RDY-no-extra,FRY,2,-9.7,0.000,0.000
7RDY-no-extra,FRY,3,-9.7,0.000,0.000
7RDY-no-extra,FRY,4,-9.6,0.000,0.000
7RDY-no-extra,FRY,5,-9.7,0.000,0.000
7RDY-no-extra,FRY,6,-9.6,0.000,0.000
7RDY-no-extra,FRY,7,-9.7,0.000,0.000
7RDY-no-extra,FRY,8,-9.6,0.000,0.000
7RDY-no-extra,FRY,9,-9.6,0.000,0.000
7RDY-no-extra,FRY,10,-9.6,0.000,0.000
7RDY-zinc,D15,0,-10.0,0.000,0.000
7RDY-zinc,D15,1,-10.0,0.000,0.000
7RDY-zinc,D15,2,-10.1,0.000,0.000
7RDY-zinc,D15,3,-10.0,0.000,0.000
7RDY-zinc,D15,4,-10.0,0.000,0.000
7RDY-zinc,D15,5,-9.9,0.000,0.000
7RDY-zinc,D15,6,-10.0,0.000,0.000
7RDY-zinc,D15,7,-10.2,0.000,0.000
7RDY-zinc,D15,8,-10.0,0.000,0.000
7RDY-zinc,D15,9,-10.1,0.000,0.000
7RDY-zinc,D15,10,-10.0,0.000,0.000
7RDY-zinc,GK4,0,-10.0,0.000,0.000
7RDY-zinc,GK4,1,-9.9,0.000,0.000
7RDY-zinc,GK4,2,-10.1,0.000,0.000
7RDY-zinc,GK4,3,-10.0,0.000,0.000
7RDY-zinc,GK4,4,-10.0,0.000,0.000
7RDY-zinc,GK4,5,-10.0,0.000,0.000
7RDY-zinc,GK4,6,-10.0,0.000,0.000
7RDY-zinc,GK4,7,-10.0,0.000,0.000
7RDY-zinc,GK4,8,-10.0,0.000,0.000
7RDY-zinc,GK4,9,-10.0,0.000,0.000
7RDY-zinc,GK4,10,-10.0,0.000,0.000
7RDY-zinc,F21,0,-9.6,0.000,0.000
7RDY-zinc,F21,1,-9.6,0.000,0.000
7RDY-zinc,F21,2,-9.6,0.000,0.000
7RDY-zinc,F21,3,-9.6,0.000,0.000
7RDY-zinc,F21,4,-9.6,0.000,0.000
7RDY-zinc,F21,5,-9.6,0.000,0.000
7RDY-zinc,F21,6,-9.6,0.000,0.000
7RDY-zinc,F21,7,-9.6,0.000,0.000
7RDY-zinc,F21,8,-9.6,0.000,0.000
7RDY-zinc,F21,9,-9.6,0.000,0.000
7RDY-zinc,F21,10,-9.6,0.000,0.000
7RDY-no-extra,DHG,0,-6.2,0.000,0.000
7RDY-no-extra,DHG,1,-6.2,0.000,0.000
7RDY-no-extra,DHG,2,-6.3,0.000,0.000
7RDY-no-extra,DHG,3,-6.3,0.000,0.000
7RDY-no-extra,DHG,4,-6.3,0.000,0.000
7RDY-no-extra,DHG,5,-6.2,0.000,0.000
7RDY-no-extra,DHG,6,-6.3,0.000,0.000
7RDY-no-extra,DHG,7,-6.2,0.000,0.000
7RDY-no-extra,DHG,8,-6.2,0.000,0.000
7RDY-no-extra,DHG,9,-6.3,0.000,0.000
7RDY-no-extra,DHG,10,-6.2,0.000,0.000
7RDY-no-extra,HHG,0,-7.4,0.000,0.000
7RDY-no-extra,HHG,1,-7.4,0.000,0.000
7RDY-no-extra,HHG,2,-7.3,0.000,0.000
7RDY-no-extra,HHG,3,-7.4,0.000,0.000
7RDY-no-extra,HHG,4,-7.4,0.000,0.000
7RDY-no-extra,HHG,5,-7.4,0.000,0.000
7RDY-no-extra,HHG,6,-7.4,0.000,0.000
7RDY-no-extra,HHG,7,-7.4,0.000,0.000
7RDY-no-extra,HHG,8,-7.4,0.000,0.000
7RDY-no-extra,HHG,9,-7.4,0.000,0.000
7RDY-no-extra,HHG,10,-7.4,0.000,0.000
7RDY-no-extra,FXG,0,-9.4,0.000,0.000
7RDY-no-extra,FXG,1,-9.4,0.000,0.000
7RDY-no-extra,FXG,2,-9.4,0.000,0.000
7RDY-no-extra,FXG,3,-9.5,0.000,0.000
7RDY-no-extra,FXG,4,-9.4,0.000,0.000
7RDY-no-extra,FXG,5,-9.4,0.000,0.000
7RDY-no-extra,FXG,6,-9.5,0.000,0.000
7RDY-no-extra,FXG,7,-9.5,0.000,0.000
7RDY-no-extra,FXG,8,-9.5,0.000,0.000
7RDY-no-extra,FXG,9,-9.5,0.000,0.000
7RDY-no-extra,FXG,10,-9.4,0.000,0.000
7RDY-zinc,D5G,0,-7.4,0.000,0.000
7RDY-zinc,D5G,1,-7.4,0.000,0.000
7RDY-zinc,D5G,2,-7.4,0.000,0.000
7RDY-zinc,D5G,3,-7.3,0.000,0.000
7RDY-zinc,D5G,4,-7.4,0.000,0.000
7RDY-zinc,D5G,5,-7.3,0.000,0.000
7RDY-zinc,D5G,6,-7.3,0.000,0.000
7RDY-zinc,D5G,7,-7.3,0.000,0.000
7RDY-zinc,D5G,8,-7.2,0.000,0.000
7RDY-zinc,D5G,9,-7.3,0.000,0.000
7RDY-zinc,D5G,10,-7.4,0.000,0.000
7RDY-no-extra,HZ3,0,-8.4,0.000,0.000
7RDY-no-extra,HZ3,1,-8.4,0.000,0.000
7RDY-no-extra,HZ3,2,-8.4,0.000,0.000
7RDY-no-extra,HZ3,3,-8.4,0.000,0.000
7RDY-no-extra,HZ3,4,-8.4,0.000,0.000
7RDY-no-extra,HZ3,5,-8.4,0.000,0.000
7RDY-no-extra,HZ3,6,-8.4,0.000,0.000
7RDY-no-extra,HZ3,7,-8.4,0.000,0.000
7RDY-no-extra,HZ3,8,-8.4,0.000,0.000
7RDY-no-extra,HZ3,9,-8.4,0.000,0.000
7RDY-no-extra,HZ3,10,-8.4,0.000,0.000
7RDY-zinc,I84,0,-9.5,0.000,0.000
7RDY-zinc,I84,1,-9.5,0.000,0.000
7RDY-zinc,I84,2,-9.5,0.000,0.000
7RDY-zinc,I84,3,-9.6,0.000,0.000
7RDY-zinc,I84,4,-9.5,0.000,0.000
7RDY-zinc,I84,5,-9.5,0.000,0.000
7RDY-zinc,I84,6,-9.5,0.000,0.000
7RDY-zinc,I84,7,-9.5,0.000,0.000
7RDY-zinc,I84,8,-9.5,0.000,0.000
7RDY-zinc,I84,9,-9.5,0.000,0.000
7RDY-zinc,I84,10,-9.5,0.000,0.000
7RDY-no-extra,HQL,0,-9.8,0.000,0.000
7RDY-no-extra,HQL,1,-9.7,0.000,0.000
7RDY-no-extra,HQL,2,-9.8,0.000,0.000
7RDY-no-extra,HQL,3,-9.7,0.000,0.000
7RDY-no-extra,HQL,4,-9.8,0.000,0.000
7RDY-no-extra,HQL,5,-9.7,0.000,0.000
7RDY-no-extra,HQL,6,-9.8,0.000,0.000
7RDY-no-extra,HQL,7,-9.8,0.000,0.000
