ligandID,7RDX - rank,7RDX - mean,7RDY - rank,7RDY - mean,7RDZ - rank,7RDZ - mean,7RE0 - rank,7RE0 - mean
Mrv1909-09132216432D-1704021550567,54.0,-13.15227272727273,57,-13.140909090909092,40.0,-12.852272727272728,56.0,-12.5
Mrv1909-05212014182D,55.0,-13.1,84,-12.829545454545457,,,61.0,-12.318181818181818
Mrv1909-03022014522D,56.0,-13.1,60,-13.1,67.0,-11.65,74.0,-11.770454545454545
Mrv1909-05141920162D,57.0,-13.02727272727273,95,-12.70909090909091,50.0,-12.534090909090908,60.0,-12.35
Mrv1909-12231902552D,58.0,-13.009090909090908,69,-12.981818181818182,36.0,-12.925,53.0,-12.602272727272728
Mrv1652310211601282D,59.0,-13.0,54,-13.25,49.0,-12.570454545454544,69.0,-11.963636363636365
Mrv0541-05041401352D,60.0,-12.952272727272726,79,-12.852272727272728,60.0,-12.118181818181816,62.0,-12.293181818181818
Mrv1652305011717592D,61.0,-12.95,62,-13.061363636363636,43.0,-12.829545454545457,58.0,-12.461363636363636
Mrv1909-02102018162D,62.0,-12.945454545454544,65,-13.05,52.0,-12.45,46.0,-12.747727272727271
Mrv1652310211604462D,63.0,-12.927272727272726,59,-13.102272727272728,33.0,-13.1,54.0,-12.597727272727274
Mrv1652310201623012D-1704021546192,64.0,-12.611363636363636,71,-12.95,62.0,-12.00681818181818,75.0,-11.66590909090909
Mrv1652310211600112D-1704021546740,65.0,-12.556818181818182,61,-13.1,51.0,-12.513636363636364,52.0,-12.65
Mrv1572001261621122D,66.0,-12.502272727272729,86,-12.802272727272726,63.0,-11.922727272727274,63.0,-12.272727272727272
Mrv1909-12181921482D,67.0,-12.5,92,-12.759090909090908,55.0,-12.304545454545456,68.0,-12.05
Mrv1652306231722482D,68.0,-12.46818181818182,73,-12.95,57.0,-12.206818181818182,72.0,-11.85
Mrv1652310211602442D-1704021547279,69.0,-12.40227272727273,76,-12.890909090909092,59.0,-12.15,71.0,-11.931818181818182
Mrv1718009221814542D,70.0,-12.372727272727271,83,-12.836363636363636,38.0,-12.895454545454545,64.0,-12.263636363636364
Mrv1909-10091921542D,,,0,-17.74705882352941,,,,
Mrv1909-08181923252D,,,2,-15.5,,,,
Mrv1909-12152018162D-1704021550240,,,5,-14.770454545454545,,,,
Mrv1909-11142221202D,,,7,-14.50681818181818,,,6.0,-14.073333333333332
Mrv1652306131722002D-1704021541914,,,11,-14.43409090909091,,,,
Mrv0541-02241205522D,,,12,-14.413636363636364,,,,
Mrv1652310211600032D,,,22,-13.85,,,,
Mrv1572004031622122D,,,24,-13.8,,,,
Mrv1909-07282218542D,,,25,-13.797727272727274,,,66.0,-12.138095238095238
Mrv1909-01142022502D,,,26,-13.704545454545457,3.0,-14.6,2.0,-14.227272727272728
Mrv1718003261822352D,,,28,-13.65227272727273,,,,
Mrv1572004221603202D,,,29,-13.643181818181818,,,,
Mrv0541-05031422282D,,,30,-13.604545454545455,,,,
Mrv1909-02062023042D,,,32,-13.55,,,21.0,-13.595454545454544
Mrv0541-04191212132D-1704021535776,,,35,-13.543181818181818,,,,
Mrv0541-05041408582D,,,42,-13.397727272727272,,,,
Mrv1909-01032022272D,,,45,-13.386363636363637,,,,
Mrv1909-12152018152D,,,46,-13.385185185185184,,,,
Mrv1652306231722402D-1704021547864,,,47,-13.35,,,,
Mrv1909-12091921202D,,,49,-13.3,,,,
Mrv1909-02092017092D,,,50,-13.279545454545454,,,48.0,-12.715909090909092
Mrv1909-10091920162D,,,56,-13.172727272727274,,,,
Mrv1909-03102001362D,,,67,-13.00681818181818,,,,
Mrv1652310211602132D-1704021547211,,,68,-13.0,,,,
Mrv1909-01172019092D,,,72,-12.95,,,73.0,-11.806818181818182
Mrv1652310171623502D-1704021545870,,,75,-12.919444444444444,,,,
Mrv1718008191817332D,,,77,-12.886363636363637,,,43.0,-12.754545454545456
Mrv1572004221603192D-1704021548029,,,78,-12.879545454545456,,,,
Mrv0541-05031422022D,,,99,-12.668181818181818,,,,
Mrv1909-05201914432D-1704021549333,,,100,-12.654545454545454,,,,
