ligandID,7RDX - rank,7RDX - mean,7RDY - rank,7RDY - mean,7RDZ - rank,7RDZ - mean,7RE0 - rank,7RE0 - mean,Variance of Affinity Scores,Variance of Rankings,Mean Ranking,Mean Affinity Score,Max Affinity ID,Min Affinity ID,Max Rank ID,Min Rank ID
Mrv0541-02231214492D,0.0,-16.513636363636365,1,-15.847727272727274,1.0,-15.55,0.0,-14.9,0.4487650654269982,0.3333333333333333,0.5,-15.702840909090911,7RE0,7RDX,7RDY,7RDX
Mrv0541-02231215202D,1.0,-15.552272727272726,4,-14.772727272727272,6.0,-14.311363636363636,3.0,-14.20909090909091,0.37439049586776746,4.333333333333333,3.5,-14.711363636363636,7RE0,7RDX,7RDZ,7RDX
Mrv0541-02231215192D,2.0,-15.464,3,-14.802272727272726,,,,,0.21894149173553834,0.5,2.5,-15.133136363636364,7RDY,7RDX,7RDY,7RDX
Mrv1718007201812002D,3.0,-15.45,15,-14.34772727272727,26.0,-13.320454545454544,5.0,-14.170454545454543,0.766368371212122,111.58333333333333,12.25,-14.32215909090909,7RDZ,7RDX,7RDZ,7RDX
Glycyrrhetinic-acid-ChEBI,4.0,-15.418181818181818,9,-14.445454545454544,18.0,-13.693181818181818,9.0,-13.9,0.5944090048209363,34.0,10.0,-14.364204545454545,7RDZ,7RDX,7RDZ,7RDX
Mrv1718005171816422D,5.0,-15.168181818181818,20,-14.125,16.0,-13.747727272727271,1.0,-14.85,0.4241769972451796,80.33333333333333,10.5,-14.472727272727273,7RDZ,7RDX,7RDY,7RE0
Mrv1909-11222222552D,6.0,-15.090909090909092,6,-14.552272727272726,8.0,-14.0,7.0,-14.05,0.2602905475206612,0.9166666666666666,6.75,-14.423295454545453,7RDZ,7RDX,7RDZ,7RDX
Mrv1909-11302222542D,7.0,-14.96818181818182,13,-14.354545454545455,7.0,-14.304545454545456,4.0,-14.202272727272726,0.11997718663911916,14.25,7.75,-14.457386363636365,7RE0,7RDX,7RDY,7RE0
Mrv1909-05201915042D-1704021549506,8.0,-14.95,93,-12.731818181818182,46.0,-12.720454545454546,28.0,-13.240909090909092,1.111864238980715,1318.9166666666667,43.75,-13.410795454545454,7RDZ,7RDX,7RDY,7RDX
Mrv0541-02231216202D-1704021538337,9.0,-14.9,55,-13.25,,,,,1.3612500000000005,1058.0,32.0,-14.075,7RDY,7RDX,7RDY,7RDX
Mrv1572004191602432D,10.0,-14.85,44,-13.388636363636364,4.0,-14.431818181818182,26.0,-13.327272727272726,0.57843104338843,321.3333333333333,21.0,-13.999431818181819,7RE0,7RDX,7RDY,7RDZ
Mrv1909-06162017422D,11.0,-14.734090909090908,39,-13.477272727272728,9.0,-13.909090909090908,11.0,-13.9,0.27676437672176196,206.33333333333334,17.5,-14.005113636363635,7RDY,7RDX,7RDY,7RDZ
Mrv0541-08301318242D,12.0,-14.563636363636364,43,-13.393181818181818,17.0,-13.72272727272727,20.0,-13.647727272727272,0.2579166666666675,188.66666666666666,23.0,-13.831818181818182,7RDY,7RDX,7RDY,7RDX
Mrv1572004221606122D,13.0,-14.554545454545456,88,-12.797727272727274,2.0,-15.5,49.0,-12.7,1.8809551480716262,1514.0,38.0,-13.888068181818184,7RE0,7RDZ,7RDY,7RDZ
Mrv1909-05201914272D-1704021549171,14.0,-14.470454545454546,23,-13.85,14.0,-13.78181818181818,12.0,-13.888636363636364,0.10127066115702522,24.25,15.75,-13.997727272727273,7RDZ,7RDX,7RDY,7RE0
Mrv0541-04191212162D-1704021536512,15.0,-14.461363636363636,8,-14.477272727272728,12.0,-13.84772727272727,14.0,-13.78181818181818,0.14357610192837575,9.583333333333334,12.25,-14.142045454545453,7RE0,7RDY,7RDX,7RDY
Mrv1909-07152216002D,16.0,-14.447727272727274,18,-14.15,32.0,-13.10681818181818,19.0,-13.65,0.3463601928374667,52.916666666666664,21.25,-13.838636363636363,7RDZ,7RDX,7RDZ,7RDX
Mrv1652310211601272D-1704021547068,17.0,-14.411363636363635,38,-13.497727272727271,42.0,-12.85,13.0,-13.861363636363636,0.429143853305785,213.66666666666666,27.5,-13.655113636363636,7RDZ,7RDX,7RDZ,7RE0
Mrv1909-12101919052D,18.0,-14.35,31,-13.6,41.0,-12.85,17.0,-13.7,0.3775,130.91666666666666,26.75,-13.625,7RDZ,7RDX,7RDZ,7RE0
Mrv1909-03042003442D,19.0,-14.24318181818182,10,-14.445454545454544,22.0,-13.46818181818182,24.0,-13.445454545454544,0.26945721418732765,38.25,18.75,-13.900568181818182,7RE0,7RDY,7RE0,7RDY
Mrv1718006121812052D,20.0,-14.195454545454544,53,-13.254545454545456,45.0,-12.727272727272728,16.0,-13.75,0.4007300275482077,333.6666666666667,33.5,-13.481818181818182,7RDZ,7RDX,7RDY,7RE0
Mrv1909-02212019082D,21.0,-14.195454545454544,98,-12.693181818181818,29.0,-13.234090909090908,34.0,-13.043181818181818,0.4133587293388419,1253.6666666666667,45.5,-13.29147727272727,7RDY,7RDX,7RDY,7RDX
Mrv1909-05201915052D-1704021549512,22.0,-14.134090909090908,17,-14.25,27.0,-13.302272727272726,8.0,-13.956818181818182,0.1791128615702483,65.66666666666667,18.5,-13.910795454545454,7RDZ,7RDY,7RDZ,7RE0
Mrv1652310201622512D,23.0,-14.090909090909092,33,-13.55,31.0,-13.127272727272729,29.0,-13.2,0.19344869146005525,18.666666666666668,29.0,-13.492045454545455,7RDZ,7RDX,7RDY,7RDX
Lupeol,24.0,-14.05,41,-13.4,65.0,-11.85,41.0,-12.86818181818182,0.8651015840220392,284.25,42.75,-13.042045454545455,7RDZ,7RDX,7RDZ,7RDX
1199,25.0,-13.977272727272728,21,-14.08409090909091,34.0,-13.063636363636364,27.0,-13.25,0.26223613980716315,29.583333333333332,26.75,-13.59375,7RDZ,7RDY,7RDZ,7RDY
Mrv1909-07282220332D,26.0,-13.95,74,-12.947727272727274,64.0,-11.854545454545455,38.0,-12.95,0.7325460571625335,497.0,50.5,-12.925568181818182,7RDZ,7RDX,7RDY,7RDX
Mrv0541-02231216492D-1704021539189,27.0,-13.943181818181818,19,-14.145454545454545,5.0,-14.4,59.0,-12.363636363636363,0.8442506026170801,523.6666666666666,27.5,-13.71306818181818,7RE0,7RDZ,7RE0,7RDZ
Mrv1909-12171921492D,28.0,-13.93103448275862,63,-13.05909090909091,,,18.0,-13.693181818181818,0.20315512778307224,558.3333333333333,36.333333333333336,-13.561102403343783,7RDY,7RDX,7RDY,7RE0
Mrv1572004101615042D,29.0,-13.893181818181818,27,-13.68409090909091,15.0,-13.75,15.0,-13.770454545454545,0.00762525826446269,57.0,21.5,-13.774431818181817,7RDY,7RDX,7RDX,7RDZ
Mrv0541-04191212112D,30.0,-13.745454545454544,89,-12.795454545454543,19.0,-13.640909090909089,40.0,-12.888636363636364,0.24474647038567476,953.6666666666666,44.5,-13.267613636363636,7RDY,7RDX,7RDY,7RDZ
Mrv1909-05201914582D-1704021549449,31.0,-13.74318181818182,36,-13.54090909090909,61.0,-12.079545454545457,65.0,-12.172727272727274,0.7742596418732773,296.9166666666667,48.25,-12.88409090909091,7RDZ,7RDX,7RE0,7RDX
Mrv1572004221603222D,32.0,-13.740909090909092,16,-14.318181818181818,30.0,-13.195454545454544,37.0,-12.965909090909092,0.36443655303030337,80.91666666666667,28.75,-13.555113636363638,7RE0,7RDY,7RE0,7RDY
Mrv1652306231722452D-1704021548255,33.0,-13.68409090909091,51,-13.270454545454545,44.0,-12.825,31.0,-13.104545454545455,0.12909220041322364,88.91666666666667,39.75,-13.221022727272729,7RDZ,7RDX,7RDY,7RE0
Mrv1652310211604252D-1704021547515,34.0,-13.65,52,-13.268181818181818,23.0,-13.418181818181818,25.0,-13.390909090909089,0.025413223140496034,175.0,33.5,-13.431818181818182,7RDY,7RDX,7RDY,7RDZ
Mrv1909-05212117472D,35.0,-13.634090909090908,14,-14.35,0.0,-15.95,10.0,-13.9,1.0759723657024793,216.91666666666666,14.75,-14.458522727272728,7RDX,7RDZ,7RDX,7RDZ
Mrv1909-05201915082D-1704021549536,36.0,-13.611363636363636,58,-13.104545454545455,21.0,-13.525,55.0,-12.502272727272729,0.25665762741046766,300.3333333333333,42.5,-13.185795454545456,7RE0,7RDX,7RDY,7RDZ
E04,37.0,-13.6,81,-12.85,66.0,-11.811363636363636,70.0,-11.954545454545457,0.6975288395316795,352.3333333333333,63.5,-12.553977272727273,7RDZ,7RDX,7RDY,7RDX
Mrv1572012161520342D,38.0,-13.6,97,-12.7,39.0,-12.854545454545455,45.0,-12.75,0.17712637741046824,802.9166666666666,54.75,-12.976136363636364,7RDY,7RDX,7RDY,7RDX
Mrv1652310201623072D-1704021546258,39.0,-13.595454545454544,34,-13.55,58.0,-12.15,51.0,-12.65,0.5004407713498616,120.33333333333333,45.5,-12.986363636363636,7RDZ,7RDX,7RDZ,7RDY
Mrv1909-08212014252D,40.0,-13.588636363636365,70,-12.954545454545457,48.0,-12.6,57.0,-12.5,0.2422430268595048,165.58333333333334,53.75,-12.910795454545456,7RE0,7RDX,7RDY,7RDX
Mrv1652306131722012D-1704021542073,41.0,-13.584090909090907,82,-12.85,28.0,-13.252272727272729,50.0,-12.65227272727273,0.17318310950413132,529.5833333333334,50.25,-13.084659090909092,7RE0,7RDX,7RDY,7RDZ
Mrv1652310211600172D,42.0,-13.481818181818182,85,-12.811363636363636,54.0,-12.311363636363636,36.0,-13.0,0.2342854683195598,476.25,54.25,-12.901136363636363,7RDZ,7RDX,7RDY,7RE0
Mrv0541-04191212172D,43.0,-13.47272727272727,64,-13.05,53.0,-12.429545454545456,67.0,-12.09772727272727,0.3799535123966939,120.25,56.75,-12.7625,7RE0,7RDX,7RE0,7RDX
Mrv1909-10112218212D,44.0,-13.393181818181818,37,-13.5,56.0,-12.206818181818182,47.0,-12.74318181818182,0.36451231060605993,62.0,46.0,-12.960795454545455,7RDZ,7RDY,7RDZ,7RDY
Mrv1652310211600202D-1704021546784,45.0,-13.393181818181818,94,-12.71818181818182,47.0,-12.7,44.0,-12.752272727272729,0.11259297520661109,593.6666666666666,57.5,-12.89090909090909,7RDZ,7RDX,7RDY,7RE0
Mrv1909-09142016392D,46.0,-13.35,40,-13.4,24.0,-13.388636363636364,39.0,-12.909090909090908,0.0557898588154272,87.58333333333333,37.25,-13.261931818181818,7RE0,7RDY,7RDX,7RDZ
Mrv1909-09102114432D,47.0,-13.3,90,-12.793181818181818,11.0,-13.85,22.0,-13.488636363636363,0.1938378099173553,1229.6666666666667,42.5,-13.357954545454547,7RDY,7RDZ,7RDY,7RDZ
Mrv1909-03072017262D,48.0,-13.3,96,-12.7,10.0,-13.85,23.0,-13.477272727272728,0.22995867768595066,1438.9166666666667,44.25,-13.331818181818182,7RDY,7RDZ,7RDY,7RDZ
Mrv1909-12152020022D-1704021550328,49.0,-13.21818181818182,91,-12.761363636363637,35.0,-13.0,32.0,-13.104545454545455,0.03790418388429782,739.5833333333334,51.75,-13.02102272727273,7RDY,7RDX,7RDY,7RE0
Mrv1909-10112218422D,50.0,-13.202272727272726,48,-13.35,20.0,-13.547727272727274,30.0,-13.195454545454544,0.02735709366391223,209.33333333333334,37.0,-13.323863636363637,7RE0,7RDZ,7RDX,7RDZ
Mrv1652310201623482D-1704021546611,51.0,-13.2,80,-12.85,25.0,-13.363636363636363,33.0,-13.05,0.04783057851239664,594.9166666666666,47.25,-13.115909090909089,7RDY,7RDZ,7RDY,7RDZ
Mrv1909-03182218372D,52.0,-13.19772727272727,87,-12.8,37.0,-12.897727272727272,42.0,-12.75681818181818,0.03948820592286483,508.3333333333333,54.5,-12.91306818181818,7RE0,7RDX,7RDY,7RDZ
Mrv1572004111623132D,53.0,-13.179545454545456,66,-13.036363636363635,13.0,-13.788636363636364,35.0,-13.02727272727273,0.1300292699724517,528.9166666666666,41.75,-13.257954545454547,7RE0,7RDZ,7RDY,7RDZ
Mrv1909-09132216432D-1704021550567,54.0,-13.15227272727273,57,-13.140909090909092,40.0,-12.852272727272728,56.0,-12.5,0.09448002754820985,62.916666666666664,51.75,-12.911363636363637,7RE0,7RDX,7RDY,7RDZ
